,company,headline,date,overall_rating,author_position,pros,cons
0,Robinhood,Avoid,2022-04-22,2.0,Anonymous Employee,"Some kind colleagues, expanding into crypto, disruptive product","Bad culture, low relative pay, lots of thrash"
1,Robinhood,Great!,2022-04-20,5.0,Customer Service Advocate,"Great benefits
Great support from managers",Don’t mess up at all
2,Robinhood,Great company culture,2022-04-20,5.0,Registered CXR Representative,People make you feel very comfortable and accepted,The kindness feels forced at times
3,Robinhood,Good Beneftis,2022-04-19,3.0,Manager,Work from home and good benefits,Twenty four seven customer experience support
4,Robinhood,Love this company,2022-04-19,4.0,Anonymous Employee,Work life balance great benefits.,The pay is terrible for the work we do.
5,Robinhood,Avoid the Research Team,2022-04-18,1.0,Researcher,"If you join the research team at Robinhood, your therapist will finally be able to buy that vacation home they've been dreaming about (because you will be needing daily counseling sessions).","Joining the research team at Robinhood was one of the worst decisions I've made in my career. But here's the good news - you can learn from my mistake. If you receive an email from a Robinhood recruiter, delete it. If you receive an offer from the research team, throw it in the trash. You'll thank me later. Robinhood might look like a good option on paper, but beneath the surface it is a garbage fire and joining this company could turn your life upside down. Our stock is performing like a lead balloon (currently down 75%) because the company is so poorly-managed. The research team is no exception. The org structure is a mess. There's no strategic vision. There's a lack of prioritization and planning. There's a lack of support from leadership. There's a lack of transparency, especially surrounding major decisions. The internal politics are nonstop. Budgets are decreasing rapidly. There's an emphasis on quantity over quality and ""taking orders"" from stakeholders. Researchers are burnt out due to unevenly distributed workloads, aggressive deadlines, a lack of resources, absentee Directors, and a lack of scoping. Research projects at Robinhood can be especially stressful because the company is constantly shifting its priorities and strategies... and the executives tend to trust their gut more than they trust research. Internal surveys show the research team has poor work-life balance, low morale, and a lack of psychological safety. But these problems have been largely ignored. When researchers raise concerns, they face retaliation. A cloud of fear hangs over the team. Due to the leadership and the culture, most of the researchers are miserable. It's one of the most discouraged research teams I've ever seen and people are running for the exits so fast you would think someone yelled ""fire"" in a crowded theater. One third of the team has resigned in the past six months (since the new Head of Research took over). Two-thirds of the managers have resigned. Our team has one of the highest levels of turnover in the entire company. And the mood on the team has only gotten worse over time. Do yourself a favor and avoid the research team at Robinhood unless you want a front row seat to the sinking of the Titanic."
6,Robinhood,see below,2022-04-17,4.0,Options Support Representative,very good work life balance.,advancement opportunities can be tough to come by
7,Robinhood,culture,2022-04-13,2.0,Anonymous Employee,"great people, warm environment - smart and driven individuals","shifting priorities, constantly changing direction, poor communication and clarity of direction"
8,Robinhood,"Great benefits, terrible morality",2022-04-13,2.0,Customer Experience Representative,"Competitive pay compared to other broker-dealers. Unbelievable benefits: all insurance premiums paid by company, Vanguard 401k, and stipend for gym and internet while WFH.",Questionable leadership. The CEOs have no finance background and all major players are Ivy League comp sci folks. Not focused on the client or client experience. Focused on asset gathering and getting clients to be more active in accounts.
9,Robinhood,na,2022-04-07,5.0,AML Investigator,everything is good so far,there is no con about the company
10,Robinhood,It was nice,2022-04-07,4.0,Fall Intern,It was a really great experience,"No cons, great place to work."
11,Robinhood,It's about the expectation,2022-04-06,4.0,Anonymous Employee,"Young company with potential
Good career growth","Tech debts
Company needs to grow more mature"
12,Robinhood,Recruiting Leader,2022-04-06,4.0,Recruiting Leadership,"Growth mode, ability to impact, innovative culture and great people",Rapid growth creates challenges and it's at the size where people are working in silos and politics are creeping in
13,Robinhood,Potential lost,2022-04-03,3.0,Learning and Delivery,"Benefits 
Co workers
Casual environment
Work from home","It’s tough to put a rating on Robinhood. At first everything was exciting and different. Then leading up to IPO and post IPO things began to change quickly. In a recent meeting Vlad said his CEO rating was going down probably because of the current stock price. At that moment I realized he had no finger on the pulse of the company any more. The reason his rating is going down is because so many peole that were loyal and believed in the mission have been taken advantage of. They had their equity comp taken from them and been passed for promotions by outside hiring time and time again. Only to train their new boss and have roles and responsibilities taken from them. 

The environment that use to feel fun now feels corporate and leaderships answer to make everyone feel better is shipping products. The ones that care and try to voice concerns of employees turnover only get candid answers from leadership saying it’s natural from company growth. People really don’t voice how they feel because they need a job and the benefits.

First rule of business. Take care of your people. Robinhood will continue to stand out from traditional brokerages because the competition is infamous for burn out, poor ethics, pushy sales, and shady business. However has time goes by the employees who helped Robinhood pre IPO see the signs of it becoming the same."
14,Robinhood,Great work life balance,2022-03-31,4.0,Learning Delivery Specialist,We’re constantly innovating and shipping new products.,"Customer Service agents used to have a voice, but that voice is getting quieter and quieter."
15,Robinhood,Great,2022-03-31,5.0,Registered CXR Representative,"Everything. Free food, great pay, work life balance.",Very few. Constant change due to new company.
16,Robinhood,good job,2022-03-29,5.0,CXA,"pay
benefits
stipends
community
awards
team work continued success with team environment","busy
fast paced
sometimes stressful
goal oriented 
reviews"
17,Robinhood,flexibile job,2022-03-29,4.0,Customer Experience Representative,great people and great company culture. benefits are a+. very laid-back start-up type of environment which you can watch transforming to a more traditional corporate environment in real-time. you can move up in the company quickly if you focus on networking and being friends with the right people.,overly staffed - not a lot of job security knowing that there is not enough work to fill the day - other employees feel the same. a lot of growing pains- policies are constantly changing. being a technology company it is painful to see degreed finance professionals getting paid less than half of what software engineers are paid.
18,Robinhood,Great place to work,2022-03-29,5.0,Associate,"Awesome culture, excellent work life balance, amazing benefits, minimal micro management, everyone is unique and extremely intelligent, leaders are easily accessible","Recent and Rapid growth has made it harder to stand out, Pay is a bit below industry standard, Annual review/ perf program may not be the fairest"
19,Robinhood,Amazin benefits and coworkers,2022-03-28,5.0,Customer Experience Associate,"Great pay and benefits
snacks and meals in office",pay increases and incentive pay seem to come and go
20,Robinhood,Best employer ever,2022-03-23,5.0,Anonymous Employee,"fair compensation that they re-evaluate often, and tons of growth opportunities. really interesting projects with a powerful mission",The high growth has made it feel like too many cooks in the kitchen on some projects post-IPO
21,Robinhood,Good,2022-03-23,5.0,Design Manager,work life balance and comp,tough to grow during WFH
22,Robinhood,So much potential,2022-03-18,3.0,Team Manager,"The people are incredible, the benefits are great, and the flexible work environment is a huge attraction. The firm has a huge focus on tapping into groups of individuals not largely represented in the financial industry, leading to an incredibly diverse employment base. The innovation for the product is top notch, and so exciting to be a part of!","There is no clear direction from upper leadership where the client experience division can truly be innovative. While the tech and product side is constantly evolving, the live client support group is being built up in the vein of every other brokerage firm, when there is untapped potential to be something totally different. Due to this lack of a clear vision for the client experience division, leaders are made to coach to ambiguous goals with minimal transparency to communicate clear performance standards to their teams. Leaders also have very little discretion in how their agents are paid for performance, and no insight into how compensation decisions are made."
23,Robinhood,All good,2022-03-18,5.0,Python Developer,"Good atmosphere, in time salary, off job activities",No no no no no
24,Robinhood,"Great company, good benefits",2022-03-17,5.0,Senior Software Engineer,"- lots of impact
- learning opportunities
- great culture",- experience may depend on the team but it is probably like everywhere else
25,Robinhood,Great!,2022-03-17,5.0,Customer Service Representative,"Amazing work life balance, low stress environment, friendly and open, room for growth, startup feel environment","Difficult customers and mostly work from home, training is not very robust."
26,Robinhood,Overview,2022-03-16,4.0,Options Support Representative,"Great culture, benies :), and pay. Probably top in the industry",A lot of moving parts in an early company. Always having to adjust a lot of issues pop and are expected to be ready to tackle them at any point. Staffing is a bit of an issue as well.
27,Robinhood,You will not feel challenged! If that's your thing...,2022-03-10,1.0,Registered CXR Representative,"Benefits, accepting culture, nice offices.",The product is not competitive and management is not interested in financial service.
28,Robinhood,"Flexible work schedule, company going through a lot of growing pains",2022-03-09,3.0,Recruiter,"smart co-workers
mission driven company
flexible work environment","compensation- lower than a lot of competitors on cash
company is experiencing a lot of attrition right now"
29,Robinhood,not good people culture,2022-03-07,2.0,Eng Manager,"- good compensation 
- shipping some new products","- bad senior leadership
- lack of diversity 
- chaotic"
