,company,headline,date,overall_rating,author_position,pros,cons
0,Roche,Fantastic company,2022-04-09,5.0,Senior Medical Director,Great company  and great culture. Roche family guarantees a long term vision,Too large and a bit too risk averse
1,Roche,all right,2022-04-09,3.0,Anonymous Employee,people were nice and pleasant to b e around,the benefits weren't the best
2,Roche,Nice company,2022-04-09,4.0,Data Scientistst,People are nice and balance lie and work,Compensation is market average. Too many layers
3,Roche,9/10 Overall,2022-04-08,5.0,Senior Laboratory Technician,"Great culture, room to climb the company ladder, 401k plan","Very competitive, some days have to work overtime"
4,Roche,Either great place or hell depending on your manager,2022-04-08,2.0,Senior Director,"colleagues, opportunities, exposure, learning and development","Your environment is too dependent on your direct manager, HR is not there for the employee."
5,Roche,Nice place to work,2022-04-08,5.0,BI Developer,"Enviroment
Development Career
Salary is good
Benefits package is also good",Sometimes regions don't feel well coordinated.
6,Roche,developer java  kubectl AWS ...,2022-04-07,4.0,Senior Developer,"no too much pressure, good culture",no too much freedom to developr in your own way
7,Roche,"Great opportunity, employee-focused",2022-04-06,4.0,Anonymous Employee,"Focus on the employee growth
Possibility to connect
Open to new propositions and change",Positions can be susceptible to company policy change
8,Roche,Solid Employer,2022-04-06,4.0,People Consultant,"good office, atmosphere, positive and nice people","Always undergoing multiple ""change"" experiences."
9,Roche,n/a,2022-04-05,4.0,Diagnostic Technician,good health package and good pay,no comment i am just starting
10,Roche,Worst Organization for a career,2022-04-05,1.0,Customer Value Specialist,"Perks and Benefits are more than industry standards,","Operations are different than many other companies, change in strategies every 2 years and sudden corrections destroys many high flying careers."
11,Roche,Good place to work,2022-04-04,5.0,Scientific Data Curator,good salary good balance work-life,no corporate plan for grow
12,Roche,overall good company teamwork for,2022-04-04,4.0,,"good work-life balance
good benefits","rate of changing internal processes is too steep
pay isn't great"
13,Roche,Too much transformation,2022-04-04,4.0,Analyst,salary and benefit wise is good,too much transformation happening each year that might lead to employee getting confused and seems like the boss want to make them look like they did something with this confusing internal transformation.
14,Roche,"Great culture, slow pace",2022-04-04,5.0,International Product Manager,"Great culture, opportunities for development",slow paced due to regulatory environment and size of the company
15,Roche,Company culture,2022-04-04,4.0,Senior Sales Executive,Better than average remuneration and company benefits.,"Poor local management team with flip-flop directions. An overall perception that showmanship is more important than workmanship. Too many dinosaurs in the company, no significant progress due to chronic comfort zone."
16,Roche,Product management,2022-04-04,4.0,Anonymous Employee,Nice reform for agile ways of working initiated,Limited job opportunities at local affiliates
17,Roche,Pharmaceutical company,2022-04-04,4.0,Anonymous Employee,Great work culture and people are very friendly,Too many systems that need to be simplified and be user friendly.
18,Roche,"Big company, good benefits",2022-04-03,3.0,Field Engineering Specialist,"Big company, good benefits, lots of travel","Lack of organization, long hours"
19,Roche,Great Place to work,2022-04-03,5.0,Customer Care Lead,"Diversity, culture, value and sustainability",Great place to work at
20,Roche,Great place to work,2022-04-03,5.0,Anonymous Employee,"Great people
Gives opportunity to develop your skills
Good for start your career in IT",Sometimes year goals doesn't match your actual work.
21,Roche,Good company to work for if you are looking for good work-life balance,2022-04-02,3.0,Financial Controller,"Good work-life balance, generous compensation even for career starter, good non-financial compensation such as gym, hospital, medicine etc.","Not inspiring if you look for challenges, highly political, too many layers of management"
22,Roche,n/a,2022-04-02,5.0,Medical Laboratory Scientist,"Great location, super close to home",below average pay rate for the position
23,Roche,Excellent company for working.,2022-04-01,5.0,Medical Manager,Good salary. Car program and health insurance included. Frequent education training and courses.,Too many paper works. Lot of bureaucratic processes.
24,Roche,RDC,2022-04-01,4.0,Sales Manager,Huge company great products mission,Corp culture and insiders club
25,Roche,Great environment / Not so good development program,2022-04-01,4.0,User Experience Designer,"Great environment
Loads of flexibility (working hours, projects, etc)","Not so good development program
Especially for contractors, it's very difficult to grow within the company"
26,Roche,One of the best Lifesciences company to work for,2022-04-01,5.0,Anonymous Employee,". Want people to have a life beyond work and allow you to balance your work load;
. Give people and teams autonomy to make decisions and allow them to learn from mistakes.
. Excellent pay and benefits (salary, bonus, car, health / life insurances..)","You can get overwhelmed by the amount of training / internal meetings you get pulled in to;
Company is still adjusting to new operational mode and organizational changes, so people are still figuring out their best approach to the new roles;
It as a lot of solutions, services and products to offer but a somewhat disconnected value prop for customers - its changing but still a lot of work to do"
27,Roche,Best company,2022-03-31,5.0,Field Service Engineer,"Resilient, fair, individual, best colleagues","Hard work, insufficient man power,"
28,Roche,Company Culture,2022-03-31,2.0,Field Service Engineer,It is a great place to work for.,Changing on management now and then.
29,Roche,Great company,2022-03-31,5.0,Anonymous Employee,"The benefits, the mentality and the care for patients",Slow progression to grow into other roles
30,Roche,Great company culture,2022-03-30,4.0,Regulatory Affairs Intern,"everyone is friendly and helpful and the corporate benefits are amazing, even as an intern.",learning curve was not steep anymore after 12 months of interning
31,Roche,Great place to work,2022-03-29,4.0,Manager,Great colleagues and work environment,continuous transformation that is so hectic
32,Roche,"Very fair, value focused Company with great atmosphere at work",2022-03-29,4.0,Business Team Manager,"Mission: focus on patients (not just money)
Great focus on staff
Collaboration is expected and provided
Continuous development","Enormous amount of meetings, communication etc. 
Plenty of squads, KPI teams without clear empowerment and usually partially implemented outcome"
33,Roche,Good company to work for!,2022-03-29,4.0,"Manager, Facility Operations","Career opportunities all over the world, great benefits, get to work with smart people","Mandated COVID vaccinations, pay isn't keeping up with market, innovation is slow"
34,Roche,Best company,2022-03-29,5.0,Documentation Manager,Pay and benefits are good. Great company values and culture. International environment. MAny opportunities to grow and develop.,"Not easy to get internal. Many positions are contractors. However, good work will take you there."
35,Roche,Good Company to work with,2022-03-28,5.0,Project Manager,Good Company to work with,nOTHING AS SUCH I KNW
36,Roche,Intern at Roche (pRED),2022-03-28,5.0,Intern,"Fully paid apartment, various benefits, professional working environment",High living cost in the city
37,Roche,Best company,2022-03-27,5.0,Field Service Engineer (FSE),I really like the way how we work,It is a pleasure to work in Roche
38,Roche,Innovative Personalized Healthcare Company with Patient-focused Mission,2022-03-27,4.0,Senior Scientist,Supportive and inclusive working environment .,Staffing shortages sometimes stretch existing resources.
39,Roche,Top workplace globally,2022-03-27,4.0,Anonymous Employee,"- Ethics
- Advantages + Trainings
- Resources available
- Moving towards self-management","- Highly political
- Slow decission making (sometimes)"
