,company,headline,date,overall_rating,author_position,pros,cons
0,Salesforce,Well intentioned,2022-04-06,4.0,Anonymous Employee,"Really great intentions, try to focus on employees. Adapt to changes. Make great investments",Constant reorganization. Pretty political in senior roles. Acquire innovation rather than sponsoring it
1,Salesforce,"Great WLB, Great benefits, but poor engineering culture",2022-04-06,4.0,Senior Member of Technical Staff,"Work Life Balance is great
Good pay
Great Benefits
Great Employee culture","Engineering Culture is lacking
Too many reorgs
Attrition rate is quite high
No refreshers"
2,Salesforce,Great!,2022-04-06,4.0,BDR Representative,awesome! very fun very good,sometimes not awesome not very fun not very good
3,Salesforce,Just Bad,2022-04-06,1.0,Account Executive,"Not many. Nobody makes money, growth by acquisition. Terrible culture. For ever 1 good manager, there's 25 bad ones.","Make no money, each year they make it harder to make money. No multi-year payout. To many things to list. Just dont work here, you'll learn some, but will hate your life after about 3 months"
4,Salesforce,Great place to work!,2022-04-06,5.0,Account Executive,"Great benefits
Great people
Great pay
Great culture","Constantly changing things, hard to keep up sometimes with so much innovation!"
5,Salesforce,Experience,2022-04-06,5.0,Recruiting Coordinator,Love the culture of the company,Still working on DEI work
6,Salesforce,Values and clear objectives,2022-04-06,5.0,Strategic Account Executive,"The values of Salesforce was clear observed in people I've been interacting, but the process prove it too. Their commitment with information transparency and the clear objectives for company momentum explicits their focus.",Nothing contrary to alert. They still right on the way.
7,Salesforce,Monitoring Job,2022-04-05,3.0,Proactive Monitoring Engineer,"Good salary and perks , management is good","Work is monitoring only , Scope of learning is very less."
8,Salesforce,Great job,2022-04-05,5.0,Business Analyst,Great environment to work in,Not enough training to work
9,Salesforce,Absolutely incredible,2022-04-05,5.0,Account Executive,"- company actually stands behind its values
- they genuinely want the best for the employees and don't set crazy quotas
- everybody is so nice",- moving up in a large company is more difficult than a smaller company
10,Salesforce,Great Company,2022-04-05,5.0,Senior Product Analyst,"Benefits, culture, CEO, health reimbursement, VTO",I don't think they are up to par with market value of salaries right now
11,Salesforce,One of best places to work with,2022-04-05,5.0,Associate Systems Engineer,"Work life 
Wellness 
Stocks
Lunch breakfast dinner
Barista",No cons ao far in 5 years
12,Salesforce,Best Company to Work,2022-04-05,5.0,Senior Analyst,Disneyland of the tech space. Very friendly colleagues working at one of the most well known Technology companies,"Can be a challenge to navigating the large org, need to be resourceful but plenty of people to help point in the right direction"
13,Salesforce,good,2022-04-05,3.0,Inside Sales,good good good good good,It was the great job.
14,Salesforce,Amazing place to work!,2022-04-05,5.0,Account Executive,"- Management Structure 
- Flexibility 
- Benefits 
- Compensation","- Things can change too quickly sometimes 
- A lot of ""noise"" internally"
15,Salesforce,Awesome Workplace Environment,2022-04-05,5.0,Customer Success Manager,-Great Learning and Development Opportunities,Workload can be overwhelming. But work/life balance is a priority
16,Salesforce,Best company ever,2022-04-05,5.0,Member of Technical Staff(MTS),"Great work culture
Helpful colleagues
Interesting projects",I have not seen anything bad yet
17,Salesforce,Great Company,2022-04-04,5.0,Senior Software Engineer,Great culture and amazing perks.,Stingy with giving out stock
18,Salesforce,Looking for working in Salesforce....here are my review,2022-04-04,5.0,Technical Support Engineer,Training is very good and efficient,"No cons till now , everything is good"
19,Salesforce,Sales mgr,2022-04-04,5.0,Sales Manager,"Hours, work life balance great job",Nothing at all I love it
20,Salesforce,Good place depending on your territory,2022-04-04,5.0,Account Executive,The 401k and ESPP are good value added benefits. Remote work as well,"Often times it's all about Territory, Timing, Talent"
21,Salesforce,Challenging Role,2022-04-04,3.0,Business Development Representative,Competitive pay and good resources available to BDR's,"Culture is biased, long hours, difficult to get promoted or change department."
22,Salesforce,Great Place to Work,2022-04-04,5.0,Sales Compensation Analyst,"The pros of Salesforce are Company Culture, Innovation, and Collaboration.",The con of Salesforce is the compensation is a bit on the lower end.
23,Salesforce,Great company!,2022-04-04,5.0,Member of Technical Staff(MTS),"Benefits, salary, work environment, room for growth.","Not many cons, but often a lot of work is expected from you, i.e. 50-60 hrs/week."
24,Salesforce,It was okay,2022-04-04,3.0,"Director, Digital Marketing",Cool vibe in the company over all. Tech company with a great product.,Poor management in my area
25,Salesforce,Pretty good gig,2022-04-04,4.0,Site Reliability Operations Engineer,"ESPP plan, cushy offices, intensely collaborative environment","Managers seem to be promoted at a far greater rate than individual contributors, ""Salesforce from Anywhere"" is a sham, compensation is dictated and (in my opinion) below average for the role I was in, vaccine mandates are garbage - regardless of stance, forcing medical decisions on people is WRONG"
26,Salesforce,Salary doesn't match fang but good learning opportunity,2022-04-04,5.0,Technical Lead,The benefits are amazing !,"Lower pay than FAANG 
Hard to get to senior positions"
27,Salesforce,Stay away,2022-04-04,1.0,Marketing Cloud Support Engineer,"none, the only positive thing is the day I'm leaving","The so acclaimed company culture does not extend to Technical teams, it appears to be great for sales teams, but all other employees I've spoken to in my segment are unanimous on this perception
Customers are rude and you are suppose to just put up with it for the sake for a CSAT
The fake Hawaii culture of ""Ohana"" is all performative , your day to day is basically dealing with people that don't how to do their job"
28,Salesforce,Salesforce/Mulesoft is on a different level (Best Employer),2022-04-04,4.0,Principal Systems Engineer,"Salesforce/Mulesoft is the best employer l have had the privilege of working for, l knew it was a good employer but after joining - l would definitely say the grass is greener on this side. Starting from the interview process, onboarding and initial team meeting/orientation has been awesome and the work/life balance is on a whole different level.",Nothing l can think of right now.
29,Salesforce,Great Place to Start your Sales Career,2022-04-04,5.0,Sales Development Representative,"Work Life balance
Management team
Benefits, 401K match, ESPP",Salary + Signing bonus is lower compared to surrounding market
30,Salesforce,Couldn't get any better,2022-04-04,5.0,Senior Solution Consultant,Great Benefits Work Life Balance Salary,Sometimes Stressful but no side-eye when you need a break
31,Salesforce,Good culture,2022-04-04,5.0,Sales,Good culture and diverse environment,Pay is not competitive enough
32,Salesforce,"Great company, culture & start for your career",2022-04-04,5.0,Business Development Representative,"Offers great education & wellness budgets, allows you to grow within the company (even between different departments) and overall very kind and helpful people",I haven't discovered any cons
33,Salesforce,BDR,2022-04-04,5.0,Business Development Representative,"Reasonable KPI and Flexibility, work from anywhere.","Not really much but, BDR seems to have only opportunity to promote to AE only."
34,Salesforce,Not as great as previously thought.,2022-04-03,2.0,,"Very inclusive, which is important to me,  as a gay man.","My supervisor directly created a hostile work environment for me. I already have PTSD, so I was always on high alert, which is exhausting and detrimental to my mental and physical health."
35,Salesforce,It is a very good company.,2022-04-03,5.0,Associate Account Partner,It is a very good starting point for service sales.,Routine works took up much time.
36,Salesforce,Great corporate job,2022-04-03,5.0,Enterprise Contract Specialist,"Very good pay, health insurance + more, generous time off, flex options, fully paid parental and family leave above industry standards","Work culture not always as great as touted, burn out factor depending on the role"
37,Salesforce,Very competitive benefits/company,2022-04-03,5.0,Senior Technical Consultant,"- Health insurance
- Car allowance
etc.","None at the moment, can't evaluate it."
38,Salesforce,Great place to work,2022-04-03,5.0,Solution Advisor,"Benefits and salary
Uncle benny’s expenses",Shark tank sales environment can be stressful
