,company,headline,date,overall_rating,author_position,pros,cons
0,Scheels,It's a retail job. Keep expectations realistic,2022-04-06,3.0,Store Support Team Member,"The discount is amazing,. 
Scheels does contribute to your HSA if you have one. 
You can work overtime and there's no questions asked. 
They are very flexible with schedules.","They expect employee's at least 15 minutes early to every shift. 
Management doesn't really listen to support when you tell them we need xyz to get this product on the floor.  My personal con is the store is closed on Easter, but there's no holiday pay. Any write up you receive will stay on your record permanently.  Also there is a gender pay gap."
1,Scheels,Issues everywhere,2022-04-05,2.0,Anonymous Employee,Discount is the only good thing,"You will be micromanaged, management doesn't care about any issues in the store, and you will constantly be staying up to an hour late every shift. I have yet to receive a W-2 due to their errors and now I will have to pay money out of my pocket to figure out their mistake. Avoid at all costs."
2,Scheels,Great Company to Work For,2022-04-04,5.0,Manager,"People, Culture, Environment, Long Term Outlook, Growth.","At times retail hours can be difficult, but you can adjust your life and scheduling is good."
3,Scheels,See it for what it is,2022-03-31,4.0,Anonymous Employee,"Flexible with school schedule and during the high sales months (November through February, you can make as a part time salesman $800 to $1000 a month in commission.","Have to work weekends and holidays. There is also a lot of people who try to get you as a part timer to become a lifer at Scheels. It's okay to reach out to people but once you know they have in mind something else, leave them alone."
4,Scheels,Great place to work,2022-03-30,5.0,Sales Associate/Cashier,"Friendly employees
Career development opportunities
Flexible schedule","Short staffed at times 
Strict dress code"
5,Scheels,Pretty Good,2022-03-28,4.0,Overnight Stocker,"Great atmosphere 
Good discount
Good pay","Scheduling
Too many managers
Micro managing
A lot of walking and physical labor"
6,Scheels,Great Company to work for!,2022-03-27,4.0,Cashier,Employees are generally treated well. Employer has high standards for all employees. Discount on employee purchases is fantastic. Pay is better than average for retail.,Sales commissions could be higher. Pushing credit cards onto customers is uncomfortable. Christian values are implicitly required to work there long term.
7,Scheels,Scheels cashier,2022-03-24,4.0,Cashier,Good management. Opportunity to advance.,"Inconsistent scheduling hours, especially for weekends."
8,Scheels,Good part time job,2022-03-23,4.0,Customer Service,"Benefits, good people, flexible, and dependable","Work every other weekend, long hours on the weekend, some small store drama"
9,Scheels,Beat place to work!,2022-03-23,5.0,Human Resource Associate,"The culture feels like a big family, everyone is happy and engaging!",Continue to strive to be the best and hold expectations across all employees.
10,Scheels,Scheels,2022-03-23,5.0,Sales Associate,Good people and fun environment,Product knowledge is hard to remember at times
11,Scheels,just doing this,2022-03-21,5.0,Anonymous Employee,good place to work at,there are none that I know of
12,Scheels,Good place to work if your white and republican,2022-03-18,1.0,Sales Manager,"Good employee discount 
Lots of product","If your white ( particularly white and male ) you would do well here. 
They have no interest in diversity and inclusion or hiring anyone but white people. Are we surprised considering this is a Christian company that openly gave money to Trump campaigns? No. It all makes sense. 
They have extremely out of date sales systems AS400 if ya know what I mean. 

They say their competition is Dicks sporting goods but if they keep running the company the way they are, using out of date sales systems, no sensoring items at all in the store, and continue to have no interest in diversity and inclusion, they will be no competition for anyone eventually. They openly supported trump but do not openly support anything with lgbtq, or diversity. So it’s another company made by white men run by white men and throw in some religion ( all they play is disgusting old Christian music in the stores) and this is the company you get, it appeals to only the privileged. Even working there I did not hear of anyone actually enjoying working there. I know I did not and I felt very out of place is a female and part of the LGBTQ community. I could keep going on about my disappointment in this company but hopefully time will tell for everyone to see the true colors of the company. 
I’d work for Dicks any day because they truly care about employees, pay well, and are very invested in diversity and inclusion."
13,Scheels,Part time,2022-03-17,3.0,Anonymous Employee,Flexible schedule while going to college,"commission based sales position, Tuesday meetings at 9pm"
14,Scheels,3/5,2022-03-17,3.0,Customer Service Representative,"Short shifts which are good for high school students, good discount","9+ hour shifts with one break (or no breaks at all)
Managers always side with each other, even if they’re in the wrong"
15,Scheels,Good,2022-03-16,5.0,Anonymous Employee,You gain experience in customer service,Hard to stay busy when it’s slow
16,Scheels,Opportunity and Advancement,2022-03-16,5.0,Assistant Manager,"This is a company that cares about the development of the crew. Training meetings, seminars, hands on learning with product, leadership topics are top priority . There is a culture of promoting from within and opportunity to transfer to other locations when new locations are opened.","A retail schedule included nights and weekends for most positions. Not a con for everyone, but it's not for everyone"
17,Scheels,Shop Manager,2022-03-15,5.0,Anonymous Employee,"Full control of ordering
Responsible for how much you sell
Great culture","Hours are demanding during peak season
Weekends are required 
Uniforms are horrible"
18,Scheels,Review,2022-03-15,5.0,Stocker,All employees are extremely friendly and helpful. The atmosphere is a great one to work in.,"The hours are retail hours. You should know this going in, it is a negative."
19,Scheels,Good money but definitely an individualistic work environment,2022-03-13,1.0,Retail Sales Associate,"If you work in sales and work hard, you can make a decent salary.","Hazing, gaslighting, passive aggressive, and selfish tendencies/actions when working in sales here. Constantly have to reiterate your availability times even though you haven't had to change them. For example, you'll tell them you can only work a certain x amount of hours and x days and they'll schedule you outside of that consistently."
20,Scheels,Good part-time gig to learn,2022-03-11,5.0,Service Technician,"Learned a lot, flexible scheduling, good people.","Rigid in structure, not great pay."
21,Scheels,Enjoyable atmosphere to work in,2022-03-10,5.0,Sales Associate/Stock/Footwear Specialist,"Benefits for FT employees
Uplifting Management team","Retail Hours
Customers can be difficult"
22,Scheels,Retail Done Differently,2022-03-08,5.0,Specialty Shop Manager,"-positive atmosphere, knowledgable staff, energetic team","-inclusive yet exclusive (open to team members of varied socio-economic backgrounds; however, less than 2% employees of color)."
23,Scheels,Love This Company,2022-02-28,4.0,Visual Display Associate,"Great employee discount, everyone treats you like family, overall great/fun work environment, very fast-paced","Always on your feet, lack of communication within the store I currently work in, ASL team is mostly popularity based"
24,Scheels,Great Company,2022-02-26,5.0,Events Coordinator,"Competent management 
Great Employees
Employee Discount 
Fun Events",Work a lot of weekends
25,Scheels,Love this company,2022-02-25,5.0,Sales Associate,Everyone at Scheels truly makes you feel like family. I love all of my coworkers and managers. There is plenty of opportunity to make Scheels a career and move up in the company. The employee discount is also pretty great!,"long hours around holiday season, work every other weekend"
26,Scheels,Solid side job,2022-02-25,3.0,Retail Sales Associate,"Fun job, good people, easygoing atmosphere. Really good customer service training",The usual retail drawbacks: tight management & lots of policies (to be expected)
27,Scheels,Best Company hands down,2022-02-24,5.0,Sales Associate,"Worked with scheduling, respectful management",None what so ever nothing
28,Scheels,Great Company,2022-02-23,5.0,Fishing Manager,"Great benefits, Great retirement plan. Great people with similar passions.",The hours and weekends get long.
29,Scheels,Good,2022-02-20,5.0,Bike Technician,Everything is great here at scheels,None nothing zip zero nada
30,Scheels,Awesome benefits,2022-02-18,3.0,Cafe Barista,"- Super awesome benefits, solid salary, employee owned company","- Can’t accept tips
- management of the actual cafe can be difficult"
31,Scheels,Good variety,2022-02-18,4.0,Customer Service Manager,"Managers are nice. Lots of variety in the workplace, you get to meet people with all kinds of hobbies and passions.",There can be some micromanaging.
32,Scheels,A fun atmosphere to work in,2022-02-18,4.0,Anonymous Employee,fun benefits like free coffee and potlucks,"not many, rude customers sometimes"
33,Scheels,Hardlines,2022-02-16,4.0,Anonymous Employee,"Employee Discount, Commission, ability to test products","Hours, having to work weekends"
34,Scheels,Great place to make a career.,2022-02-14,5.0,Sales Associate,Great company with a great culture.,None come to mind right now.
35,Scheels,Great place to work as a college student,2022-02-09,5.0,Sale Associate,"Flexible hours that work around your schedule 
Fun and friendly work environment 
Great personal discounts on items","Working longer hours during the holiday season
Working every other weekend"
36,Scheels,great place,2022-02-08,4.0,Sales Associate,the people and the culture,limited hours during slow times
37,Scheels,Great opportunity,2022-02-08,5.0,Bike Specialist,Great place to work. Great management. Always new training opportunities. Great pay and discounts.,None that stick out of the ordinary
38,Scheels,It was a good job to learn about another culture,2022-02-08,3.0,Cashier,"Understanding
learn new lessons
ok paycheck 
make your own schedule","Lack of Communication
Lack of teamwork 
Somehow managers are racist
lack of acceptance
gossip a lot"
39,Scheels,Good part time job,2022-02-07,4.0,Cafe Associate,Good pay and discount on clothes,Long hours and a lot of holidays worked
40,Scheels,Best College job you could possibly have,2022-02-07,5.0,Sales Associate,Culture Discount Time off Pay learning,Competition Hours expectations (not bad) devotion
41,Scheels,Wnvironment,2022-02-04,5.0,Sales,Great place to work and enjoy,Hours are nice but I worked a lot of weekend
42,Scheels,Alright,2022-02-04,3.0,Cafe Associate,Nice customers & managers. Fun environment to work in.,Managers sometimes play favorites. Raises are conditional. Other employees are rude to you when they order food at the cafe.
43,Scheels,Midlines Sales,2022-02-04,5.0,Upper Midlines Sales Associate,"Good pay, discount, products, people, benefits","Not many hours, uniform, somewhat strict, slow months, 2% commission"
44,Scheels,Scheels review,2022-02-04,4.0,Anonymous Employee,Great culture. Good benefits. Lots of locations,Scheels stock program can be used to try to pay employees a wage less then other companies
45,Scheels,One of the top 3 retailers to work at but,2022-02-04,4.0,Sales,Rewards for doing really well. Friendly people. Scheels is one of the best in retail to work for. But that's like saying you've found the best restaurant to eat a turd sandwich at. Don't work retail if you can avoid it.,"If you fall into at least 3 of these categories you will fit into Scheels and enjoy a vast career at Scheels:
-voted for Trump
-practicing christian
-white male
-anti vax or pro vax choice
-anti mask or pro mask choice
-hunter
-fisher
-enjoy giving micro aggressions

If you don't fit into some of these categories and you still are dead set on working retail consider a career at Target (left wing) or Kwik trip."
46,Scheels,Gina’s cafe,2022-02-02,5.0,Gina’s Cafe,"Great cafe, employees are amazing and all around a place you want to be.",There are no cons at Scheels
47,Scheels,Great People,2022-01-31,3.0,Specialty Shop Manager,The people that work at Scheels tend to be amazing product people who love to help customers.,The amount of work and time commitment the job requires does not equal what we are paid.
48,Scheels,High energy,2022-01-28,5.0,Shop Manager,"High energy, passionate employees, professional experts",Not easy for people who aren’t active or willing to walk and push themselves.
49,Scheels,Great People,2022-01-28,4.0,Service Shop Technician,Friendly co-workers and great benefits.,"Although benefits are great, base pay is not so great."
50,Scheels,Best Retail Part-Time Job,2022-01-25,5.0,Retail Sales Representative,"The hours are flexible and open to negotiation, with most of the managers being helpful and providing constructive criticism. They are open to talk to, and in retail where customers are often harsh to the employees, the managers will have your back unless you somehow have screwed up. 
The pay is also good if you are working with commission and you are provided other outlets to make non-taxed money. 
For a college student or a full-timer who needs extra money on the side, this place is the best retail job.
All in all, the environment is also welcoming and pleasant to work in. The only reason someone would not like working here is because it is retail so you have to deal with some rude and insane customers.

Also, you get an insane discount, which is enough to consider working here.","These cons are strictly part-time, and not full-time.

You are required to go to weekly/bi-weekly 1 hour trainings to learn about the product you are selling and selling routines/practices. This may be a con for some people, and most may not enjoy it. However, I actually find this very helpful and would have put this in the pros, but I know some may not like this.

The only con that would make someone not want to work here is that you are required to work your two weekends in the month. Of course, you can always ask someone to work it for you, or if it is impossible for you, I think they are open to workarounds."
51,Scheels,Solid Place to Work,2022-01-25,4.0,Anonymous Employee,Coworkers and management are very friendly,Have to work weekends and nights
52,Scheels,Web,2022-01-24,4.0,Seasonal Web Shopper,Getting to learn about shipping and product quality assurance,Not as much interaction with customers as sales
53,Scheels,Traditional Sporting Goods Store,2022-01-20,3.0,Anonymous Employee,"Great Commission when the store is busy. 
Great Work Environment.","Management is customer first and does not stand up for its employees.
Slow hours mean long workdays and not making as much money.
Wages do not meet the minimum and you rely on sales to make a living.
Customers can be rude and obnoxious."
54,Scheels,Indifference,2022-01-19,3.0,Support Worker,"Good stepping-stone job. Great place to make friends, build relationships and customer service experience.","Poor leadership, considerably low and unlivable wages even though the company continuously brags about how much money they are making."
55,Scheels,Practice what you preach,2022-01-16,2.0,Office Assistant,They had a really good discount,Actions speak louder than words.
56,Scheels,Average,2022-01-16,4.0,Shop Manager,Welcoming staff community. Pay is livable.,Difficult to utilize PTO. Have to work every other weekend.
57,Scheels,Family Friendly and Flexible,2022-01-14,3.0,Corporate,Good to work with when it comes to schedule and flexibility.,Payscale is not the best.
58,Scheels,Average,2022-01-13,3.0,Support Worker,"Good work environment, average communication",Work every other weekend and close once a week
59,Scheels,Amazing place to work at!,2022-01-12,4.0,Mens Clothing Sales Associate,"Great discount
Culture is very friendly and fun",You have to hit the sales quotas as part-time
60,Scheels,Scheels,2022-01-08,3.0,Department Manager,The discount was great that’s about it.,"ASL’s micromanage you, so if you don’t mind that then it’s your job"
61,Scheels,Pay,2022-01-05,5.0,Food Service Worker,Good pay nice people and environment,"None, none, none, none, none"
62,Scheels,Visual merchandiser,2022-01-04,5.0,Visual Merchandiser,"Wonderful environment, wouldn’t change a thing.",Nothing. Highly recommend for anyone .
63,Scheels,Schedule,2022-01-03,3.0,Traineeship SSM,"ESOP retirement
Benefits 
Discount 
Good coworkers","Schedule, demanding.
No vision insurance option"
64,Scheels,Not bad,2021-12-28,3.0,Anonymous Employee,The people. Got to work with some really awesome people.,Too much micromanaging to the point of almost feeling like you’re being babysat.
65,Scheels,Good experience for a college student,2021-12-27,4.0,Customer Service Representative,Really flexible schedule that’s perfect for a college student. Friendly coworkers and great atmosphere.,"Can get a little busy, especially around the holidays, but that is pretty normal for retail and a popular business."
66,Scheels,Great first job! Would highly recommend this job to personable individuals.,2021-12-23,4.0,Cashier,"As a cashier, I was responsible for greeting customers and addressing customer inquiries. I thoroughly enjoyed spending my downtime conversing with my fellow cashiers. The fast-paced environment made my days fly by.",I sometimes had trouble finding someone to cover a weekend shift if I was unavailable to work.
67,Scheels,Culture,2021-12-21,4.0,Specialty Shop Manager,The people you work with are great.,The schedule is not ideal.
68,Scheels,Good,2021-12-20,5.0,Support Worker,"friendly atmosphere
consistent hours
 great co-workers",expect work to be #1 priority all the time
69,Scheels,Great Place for a Career,2021-12-20,5.0,Assistant Manager,Great culture and people to work with daily.,None that I can think of at this point.
