,company,headline,date,overall_rating,author_position,pros,cons
0,St. Jude Children's Research Hospital,Great place to work,2022-04-04,5.0,Bioinformatics Research Scientist,St. Jude is a great place to work because it has a very positive and clean environment with many convenient settings. The work here is rewarding. Dr. Downing is an excellent CEO and leader.,"Parking may be a problem, however, St. Jude is working on expanding and building more garages."
1,St. Jude Children's Research Hospital,Great job overall,2022-03-31,5.0,Anonymous Employee,Positive and engaging environment. Rewarding work.,Not one I can think of!
2,St. Jude Children's Research Hospital,Working,2022-03-27,4.0,Research Scientist,Good working environment. People are nice.,Average salary and benefits are not great.
3,St. Jude Children's Research Hospital,Great company to work for,2022-03-22,5.0,Accountant,Great Benefits and flexible work schedule,there are a lot of manual processes
4,St. Jude Children's Research Hospital,Great place,2022-03-22,4.0,Anonymous Employee,"Mission statement
The campus is beautiful",The pay is not a lot compared to competition
5,St. Jude Children's Research Hospital,It could be better,2022-03-22,3.0,Anonymous Employee,They have good health insurance,"Location is the worst, can’t work remotely when others are in the same company when you’re not in direct patient care really is unfair. The drive is too long and stressful. Manager is not the best."
6,St. Jude Children's Research Hospital,great,2022-03-20,5.0,Sales Assistant,it helps improve communication skills,The research hospital doesn't pay high
7,St. Jude Children's Research Hospital,Great place to work with decent benefits,2022-03-11,5.0,Anonymous Employee,"Good work environment
Decent benefits
Socially conscious leaders","Work/life balance is mostly dependent on the department and type of role
Limited remote based jobs"
8,St. Jude Children's Research Hospital,Good place to work,2022-03-08,5.0,Clinical Research Associate,Good salary and holiday for FTE,Some departments are over worked and toxic
9,St. Jude Children's Research Hospital,Overall Great Place to Work!,2022-03-05,5.0,Anonymous Employee,"Great place to work, great benefits, great people and cause!","It is often difficult to advance, especially for minorities."
10,St. Jude Children's Research Hospital,"I wouldn't recommend IT to women, may be better in other areas",2022-03-03,3.0,IT Professional,"CEO is great at this company and cares about employees, but this doesn't always trickle down to other leadership.","Trickle down leadership is stuck in the past with technological advancements, even in IT. Staff wants to move forward, but because leadership is stifled in their thinking, progress was often slow or none existent in the IT department. IT is not a promote based on merit environment, but on who do you like. 
Doesn't really matter if the people are qualified as leaders. Also, pay disparity exists between women and men. I would look elsewhere if this is important to you."
11,St. Jude Children's Research Hospital,Culture forward,2022-03-02,5.0,Anonymous Employee,Psychologically safe department with open leadership,Too much to do and not enough resources
12,St. Jude Children's Research Hospital,Great place to work depending on your boss.,2022-03-01,3.0,Apheresis RN,Great people and Amazing patients.,Bosses are power hungry (not all). Some try to play games and will lie to your face.
13,St. Jude Children's Research Hospital,The best place I have ever worked.,2022-03-01,5.0,Administrative Specialist,"There is a comradery here unlike anywhere else. Everyone, and I do mean everyone, wants you to succeed and will help in any way they can. The benefits are outstanding and the overall work environment is beyond expectations. I cannot say enough good things about St Jude.",I have not found any yet.
14,St. Jude Children's Research Hospital,Great place to work,2022-02-27,5.0,Lab Manager,"Employee-oriented employer, great atmosphere to work in",None to mention for this employer.
15,St. Jude Children's Research Hospital,Great Place To Work,2022-02-24,5.0,Human Resources Specialist,"Beyond the mission, St. Jude really cares about their employees. Communication from top leadership is like nothing I have seen anywhere else, and it is clear that every voice counts.","I love Memphis, but I wish it were closer to the ocean!"
16,St. Jude Children's Research Hospital,great place to work!,2022-02-23,5.0,Scientist,great environment with great people,nothing is negative. St Jude is the great place.
17,St. Jude Children's Research Hospital,Nice role,2022-02-23,5.0,Software Engineer,Nice role to learn lot of new things in research evironment,"Small team, lack of guidance"
18,St. Jude Children's Research Hospital,Not bad in overall,2022-02-18,4.0,Scientist,"Great benefit, great spirit for saving children, great research resources, kind people in general","The campus itself is safe but high crime rate nearby, lots of politics/drama going on"
19,St. Jude Children's Research Hospital,Ok,2022-02-17,3.0,Medical Physics Assistant,Really good health insurance and vacation,It's OK not that great
20,St. Jude Children's Research Hospital,Very nice work environment and work life balance,2022-02-14,4.0,Research Analyst,The work balance is really good.,"I moved from east coast to center US. TBH, the location is less favorable for me."
21,St. Jude Children's Research Hospital,"Great benefits, working for a great cause",2022-02-14,4.0,Pediatric Oncology Nurse,Obviously working for a great cause. The benefits are some of the best. Cafeteria is very nice. Get to park inside a garage if you want to. Plenty of opportunities for further education,Nothing sticks out in my mind
22,St. Jude Children's Research Hospital,Volunteer,2022-02-12,5.0,Remote Customer Service Representative,Helped gain money for children in need,A bit far From home
23,St. Jude Children's Research Hospital,h,2022-01-25,4.0,Executive Director Technician,pay is good it’s been good,management is iffy okay yeah
24,St. Jude Children's Research Hospital,Transparency,2022-01-21,3.0,Hard Working Employee,"The benefits are absolutely great! If not for the benefits, I would have given it 2 stars…",There is too much micromanaging in certain positions or it could be that certain races are micromanaged. Not paid for my experience level. Burn out is real! The job isn’t hard. It’s the people that make it hard. They talk about diversity and inclusion but is it only for the LGBTQ community? Could be better with work-life balance.
25,St. Jude Children's Research Hospital,Good place for research work,2022-01-17,4.0,Bioinformatics Research Scientist,"- If you like academia, this is a great place to do cutting edge research and publish your work.

- They provide good health insurance.","- St. Jude claims industry level salary for Bioinformatics Research Scientist. However, I am really underpaid when I compare my current salary with what Glassdoor shows for the average salary of Bioinformatics Research Scientist at St. Jude.

-No option or initiative from St. Jude for hybrid or remote work.

- Be prepared to drive for at least 30 min each way if you want to live with family in a safe place with good schools."
26,St. Jude Children's Research Hospital,My experience at St. Jude!,2022-01-13,5.0,Security Officer,"St. Jude is like one BIG family. The environment is like no other. I can assure you, St. Jude take care of its people. There isn't a person I have met who wasn't inviting and helpful. Positive vibes at St. Jude for sure.",There are no cons at St. Jude.
27,St. Jude Children's Research Hospital,Advancing treatment for children with catastrophic diseases,2022-01-13,5.0,Scientist,"Inclusion, Diversity, Work collaboratively and help others to succeed, Embrace the challenge to create a new tomorrow.",The only disadvantage is when you join here you will not think about changing place.
28,St. Jude Children's Research Hospital,I love working for St. Jude,2022-01-13,5.0,Credentialing Specialist,"St. Jude has amazing benefits, the campus is amazing and everyone is friendly. The best part of working here is being part of a mission to help our patients and their families while they are going through something no one can imagine",Can't think of any honestly
29,St. Jude Children's Research Hospital,Great Organization and Incredible Mission,2022-01-12,5.0,Bioinformatics Research Scientist,"1. Incredible Mission
2. Like minded scientists interested in advancing science
3. Impact of science easily seen in translation
4. Solving some of the most challenging problems in life sciences with cutting-edge data-driven tools
5. Great computational infrastructure and beyond amazing Center for Applied Bioinformatics
6. Great benefits and very progressive senior management","1. Better to be part of core computational teams than individual lab (more exposure, learning and possibility for developing cutting-edge data-driven techniques. Also, better trajectory for career progression)"
30,St. Jude Children's Research Hospital,Great place to work!!,2022-01-12,5.0,Systems Administrator,"Awesome place.
The mission is second to none. Benefits and pay are top notch.",The only negative is Mgmt has not embraced the hybrid work model.
31,St. Jude Children's Research Hospital,Loved it,2022-01-10,5.0,Anonymous Employee,Saving lives for generations to come,There are no cons here
32,St. Jude Children's Research Hospital,Mission-driven work that is led with strategy and compassion,2022-01-10,5.0,"Director, Corporate Communications","The organization really focuses on employee culture, values and its mission. The benefits are great. I feel leadership cares for employees, as seen in their benefits, communications and professional development opportunities. They have a leadership program that teaches management skills for potential and existing managers. They also encourage big ideas and strategic growth.","The work can be difficult at times, which is understandable considering our mission."
33,St. Jude Children's Research Hospital,Incredible place to work,2021-12-09,5.0,Postdoctoral Fellow,"This organization is managed extremely well from the top level execs down. With a people first mentality, they are always putting their employees at the center of every operation.",Nothing. Literally not a single thing.
34,St. Jude Children's Research Hospital,Unexperienced,2021-12-09,5.0,Doctor,very nice and friendly environment,im tired now and will be tommorrow
35,St. Jude Children's Research Hospital,Great Organization for Cancer Treatment - NOT advancement,2021-11-20,2.0,ICU Registered Nurse,"Great pay, great work for LGBTQ+, women, and minorities","Lack of opportunities for advancement, Racism/Sexism in promoting, questionable hiring practices, lack of transparency"
36,St. Jude Children's Research Hospital,great place to work,2021-11-19,5.0,MRI Technologist,St Jude genuinely care about employees,"location, middle of downtown Memphis so can be tough with traffic"
37,St. Jude Children's Research Hospital,Great Company,2021-11-18,5.0,Registered Nurse,The company's mission. Work/life balance. Benefits,None to mention at this time
38,St. Jude Children's Research Hospital,Best Place I've Ever Served,2021-11-12,5.0,Staff Chaplain,"There is a overall spirit of comradery and joy in supporting children and families.
There is an openness to new ideas. 
The benefits are phenomenal!",There are absolutely no cons to working/serving at St. Jude.
39,St. Jude Children's Research Hospital,Good service,2021-10-30,5.0,Child and Adolescent Psychiatrist,The best reason to work at this hospital is helping adolescents and kids.,"The schedules change often, and I thinks that’s pretty much."
40,St. Jude Children's Research Hospital,a good place to work,2021-10-29,5.0,Statistical Analyst,"good working environment, life and work balance",the city is for someone in favor of megacities
41,St. Jude Children's Research Hospital,Great company to work for!,2021-10-28,5.0,Researcher,"Great pay for the location
Great benefits
Fair annual pay increases
Provides you with ample career and professional development opportunities
There is a lot of collaboration
Overall treats their employees fairly","It seems advancing up the career ladder is slower but you’re not stuck. 

I have honestly had a really great time with my lab but friends in other labs have brought up really strict and overbearing PIs. A lot of people I’ve talked to have also mentioned a very competitive environment. 

I will say that since it is more of an academic institution, the publish or perish mindset can lead to a lot of over-working."
42,St. Jude Children's Research Hospital,Great,2021-10-26,2.0,Research Assistant,Working Environment is good and f,"Multitasking , You can be assigned tasks way over"
43,St. Jude Children's Research Hospital,Good place to work,2021-10-24,4.0,Scientist,Nice research environment.good salary and benefit in academia.,Not enough room to grow for research staffs.
44,St. Jude Children's Research Hospital,Great Work Environment,2021-10-19,5.0,Grants & Contracts Specialist,"The environment could be stressful given the nature of the population we are trying to serve, but the ambience is very peaceful- from the manicured lawns, gardens, butterflies, food trucks, Ben &Jerry's Days, to a personal pet just for us to help alleviate work related and personal stressors. Having the opportunity to continuously learn new information, is a plus for me . Working at St. Jude is like winning the lottery. It started with the recruitment staff. I will forever remember how wonderful it was to even be considered for a position within such a profound organization of professionals.",Nothing horrible about working here.
