,company,headline,date,overall_rating,author_position,pros,cons
0,Standard Bank Group,Great Company to work for,2022-04-06,4.0,Business Analyst,"room for growth
room to work on your own",a lot of pressure in the environment
1,Standard Bank Group,REVIEW FOR MY CAREER,2022-04-06,5.0,Human Resource Officer,the goal to be number 1,the environment brings the career down
2,Standard Bank Group,For your information,2022-04-05,3.0,Business Banker,"Good benefits
Cultural diversity in the group","No unity of purpose
Too political
Complex processes for customers
No accountability by senior management.
Too manual"
3,Standard Bank Group,Working at Standard Bank,2022-04-04,3.0,Credit Analyst,"big organisation
exposure to interesting transactions
lots of talented people
good systems, processes and procedures","big organisation
not easy to move between different departments - gatekeeping"
4,Standard Bank Group,NA,2022-04-02,5.0,Business Analyst,A very good work life balance,No con at this moment
5,Standard Bank Group,One if the best place to work,2022-04-02,5.0,IT Manager,"Good working culture
Great place to grow",None. No bad word about my employer
6,Standard Bank Group,It's okay,2022-04-01,3.0,Anonymous Employee,It's okay company to work for,Very corporate and can get quite cold and impersonal
7,Standard Bank Group,Great organization!,2022-03-31,5.0,Graduate Trainee,"Best work culture ever
Competitive salary
Understanding management","Difficult growth trajectory
Could become boring if in front-office positions"
8,Standard Bank Group,"Good place to work, lost to learn, great teams, using new tech",2022-03-31,4.0,Software Developer,"Bank benefits, remote work, provide macbooks",there are no cons so far
9,Standard Bank Group,Leading company,2022-03-30,3.0,Fleet Manager,Leading innovative bank in Africa,Some legacy silos still exists but they are getting removed
10,Standard Bank Group,Best company to work for,2022-03-29,5.0,Payment Officer,The culture and the people are awesome to work with,There are no cons on my side
11,Standard Bank Group,Role Diversity in Technology,2022-03-29,5.0,Anonymous Employee,There are numerous opportunities from learning and growth across the Group,Need more structure and form around career advancement
12,Standard Bank Group,Review,2022-03-28,4.0,Senior Software Engineer,A good place to work and build your career,Nothing that I know of
13,Standard Bank Group,great place to work,2022-03-26,5.0,Operational Risk Analyst,the company cares about its employees,The working experience is dependent on which unit of the bank you are
14,Standard Bank Group,Great company to work for,2022-03-25,5.0,Account Manager/Consultant,"benefit are amazing 
people culture 

customer centric",growth is a bit slow in the company
15,Standard Bank Group,Good company,2022-03-24,5.0,Business Analyst,"Opportunity to learn on the job.
Possible to get promoted if you put in the work.",None. I can't think of any negative.
16,Standard Bank Group,Great,2022-03-24,4.0,Senior ABAP Developer,"Great working environment
Great culture
open door policy",Loads of work and continuous cost cutting exercises
17,Standard Bank Group,Work conditions,2022-03-23,4.0,Relationship Manager,Collaborating with their several subsidiaries make cross selling easier,Getting promoted in branches is quite slow
18,Standard Bank Group,Company Review,2022-03-23,4.0,Investment Analyst,It is a great place to work,There is a bit of organization politics
19,Standard Bank Group,Good,2022-03-23,4.0,Relationship Manager,Great work environment good culture,low Work life balance people
20,Standard Bank Group,Good place,2022-03-22,3.0,Internal Control Officer,Very good at training staff.,improvement on work-life balance is required.
21,Standard Bank Group,Great Employer,2022-03-22,5.0,Integration Engineer,"Skills Development, Learning Encouraged, Bursaries, Graduate Programmes, Fair performance-based incentives process","Long work hours when there are issues or outages,  pay gaps, opportunity gaps"
22,Standard Bank Group,Work life balance,2022-03-22,5.0,Manager,"growth, collaboration, learning, skills, time management","personal development, politics, hierarchy, colleague ambition"
23,Standard Bank Group,Job review,2022-03-22,1.0,Software Engineer,Good place for beginners to learn and grow.,Low pay to staff compare to other banks.
24,Standard Bank Group,Great Place To Work,2022-03-22,4.0,Senior Cyber Security Analyst,"good culture, respect and togetherness",delay in making decisions due to centralized approach
25,Standard Bank Group,Teller at Standard bank,2022-03-22,3.0,Teller,"Benefits and working diversity , job security",Long hours and no social life
26,Standard Bank Group,Standard Bank,2022-03-20,5.0,Fund Administrator,Great opportunities for self development,Low income at entry level
27,Standard Bank Group,Stanbic IBTC ex employee,2022-03-20,5.0,Anonymous Employee,"Great culture, Great people, Great teams.",A wide gap in bonuses paid to members of different departments.
28,Standard Bank Group,Good company,2022-03-18,3.0,Software Developer,"Excellent organisational culture
Good leadership
Robust medical aid
Agile mindset",Salary increase is low compared to other regional markets
29,Standard Bank Group,A good place to work,2022-03-17,4.0,Software Developer,The company culture is great and it is faster to get promoted compared to other banks in Nigeria,The bank is largely okay
30,Standard Bank Group,Employer of choice,2022-03-17,5.0,Head,Growth  Ambitious Future Vibrant Development,Opportunity  Growth Future Drive Talent
31,Standard Bank Group,StanbicIBTC Bank,2022-03-17,5.0,Business Analyst,"- SIBTC is a good place to work, with a great work culture.",- Risk appetite of the bank conflicts with growth plans sometimes
32,Standard Bank Group,A good foot in the door,2022-03-15,3.0,Business Development Manager,Flexible working hours; good travel opportunities; strong brand in Africa,Very political; poor earning potential before you are an executive
33,Standard Bank Group,Career growth,2022-03-15,4.0,Anonymous Employee,Diverse skills and career opportunities,Management system is very biased
34,Standard Bank Group,Review,2022-03-14,5.0,Graduate Trainee,"Competitive salary, great company overall",Direct management ruins the reputation of the company
35,Standard Bank Group,Professional Teams,2022-03-13,4.0,Client Analyst,"Bonuses
Culture
Autonomy to work
Collaboration with other teams
Professional environment",Work life balance not great
36,Standard Bank Group,culture,2022-03-12,5.0,Manager,company pay very Good salary,there is too much hierarchy
37,Standard Bank Group,Benefits,2022-03-12,4.0,Client Service Executive,"Performance Bonus and steady salary increase
Business Casual Environment makes the work place fun",Monotonous work pattern and holding daily meetings
38,Standard Bank Group,Great company,2022-03-09,5.0,IT Support Officer,"The benefits are great
Nice work environment",Nothing I can think of that unpleasant or otherwise.
39,Standard Bank Group,Great Work Place,2022-03-09,4.0,Associate,"Good workplace culture
Opportunities for career growth",Really poor work life balance
40,Standard Bank Group,Manager,2022-03-09,3.0,Manager,"Remote work
Friendly coworkers 
Meeting free Wednesday","Hours long, not agile
Silo work
Lack teamwork"
41,Standard Bank Group,Good Employer,2022-03-09,4.0,Learning and Development,"Great Benefits
Good Staff Support
Great Teams
Good Culture",Slow Growth at times which makes you feel you not getting anywhere
42,Standard Bank Group,Just okay,2022-03-09,4.0,Sales Consultant,"Leave: vocational or sick leave as well as family responsibility 
Weekend off
Holidays off","Contract Expired 
Impossible targets
No profit share if not permanent"
43,Standard Bank Group,stanbicIBTC,2022-03-08,4.0,Relationship Manager,The firm provide training for all and sundry to enhance job delivery.,Caucuses that may influence promotion over shadow actual performance.
44,Standard Bank Group,Good place to work,2022-03-07,4.0,Senior Business Analyst,A very good place to start your career,The department you are in determines a lot
45,Standard Bank Group,They are ok,2022-03-07,3.0,Audit Manager,Ok to work there. It depends,Depends on what you are looking at
46,Standard Bank Group,A mix bag of emotions,2022-03-07,3.0,Machine Learning Engineer,"Great incentives, appreciation of staff by the use of awards","A highly political environment, red tape in many areas."
47,Standard Bank Group,Wonderful culture and many opportunities,2022-03-07,4.0,Group Content and Internal Communications Manager,"Being a large corporate with a footprint across many regions and requiring many skills to operate, it is possible to be employed doing anything from interior design to sound engineering for town hall and webinar sessions. The company is well-structured with business units dedicated to organisation design and jobs are constantly evaluated and updated, which means it is possible to expand your role and be promoted. Generally, leadership creates a positive culture around life-work balance and wellbeing and the benefits are fantastic.","Simultaneously, being such a large company means that processes approvals and implementations can be slow. Change takes an enormous amount of effort and time and such a large workforce means that employees are not at the same levels of maturity. For this reason, business units do not always work in synchronicity and this means that standards, approaches and adoption are not uniform."
48,Standard Bank Group,Very professional,2022-03-06,5.0,Call Center Representative,Room For Growth and learning,Very difficult to enter when unemployed
49,Standard Bank Group,Great place to work,2022-03-03,4.0,Head Contact Center,"Stanbic IBTC Asset Management Limited is a wonderful place to work as it gives you room to learn and grow.
The leadership is interested in staff growth and development and embodies the values of the company",There could be micromanaging by the line mangers
50,Standard Bank Group,Great culture and community,2022-03-02,4.0,Department Head,"Great culture, good values, team spirit. 
Looks after employees","Top heavy leadership structures
Focus on full value chain"
51,Standard Bank Group,Asset Custodian,2022-03-02,4.0,Asset Custodian,"Trainings, company's values and benefits.","Role might involve ATM weekend duties. However, there is provision for standby allowance."
52,Standard Bank Group,Great place,2022-03-02,4.0,Head User Experience Manager,"Culture, benefits, work ethic, fast paced",not great at allowing remote working
53,Standard Bank Group,Interview,2022-02-28,5.0,Anonymous Employee,Safe department and team mates,Safe environment and healthy life style
54,Standard Bank Group,Good employer,2022-02-27,5.0,Automation Manager,"Best employer with medical aid, employees benefits and hybrid working","Leadership lack structure, it’s hard to climb the ladder and some executives don’t what they are doing."
55,Standard Bank Group,Salary,2022-02-27,5.0,Bank Teller,Great management by managers and supervisors,Sales was a problem for me
56,Standard Bank Group,Leadership,2022-02-26,4.0,Transaction Management Analyst,"Access to learning opportunities
Staff rates","Poor communication skill from leadership in some areas
Mico management in operational areas"
57,Standard Bank Group,Overall good time during my stay.,2022-02-24,4.0,Anonymous Employee,"Yearly pay rise based on performance
Career growth","Excess workload
Excessive cost saving on personnel"
58,Standard Bank Group,Great employer & culture,2022-02-23,4.0,Tech Lead,"Growth opportunities, young blood in high ranks",Can be at the mercy of your leadership playing ball with others to remain up to date with environmental movements and projects. Can have disintegration from the rest depending on your leadership.
59,Standard Bank Group,A great place to work,2022-02-23,5.0,Credit Analyst,"Great work ethics
Possibilities for growth
A great brand in Africa",The large size of the company often results in bureaucratic bottlenecks.
60,Standard Bank Group,Great culture but overworked and underpaid,2022-02-23,3.0,Quantitative Analyst,Great culture. People are generally very helpful.,Overworked often for very little incentive. Promotions are very difficult to achieve and office politics play a large role in that.
