,company,headline,date,overall_rating,author_position,pros,cons
0,United Overseas Bank,Good Company to work with,2022-04-08,3.0,Software Developer,Good teams to help if you have any problems,Don't have any contrains for me
1,United Overseas Bank,Good career start,2022-04-06,4.0,KYC Officer,"Good benefits, work life balance, iron rice bowl","Cons depends on your boss, outdated systems"
2,United Overseas Bank,Good,2022-04-06,3.0,Relationship Manager,"good pay
many benefits
good training provided","Stressful
long hours
management is demanding at times"
3,United Overseas Bank,KYC,2022-04-06,3.0,AML/KYC Officer,Flexible working hours at UOB,Systems & certain processes are too manual
4,United Overseas Bank,MA program is not well executed,2022-04-06,3.0,Management Associate,"Many opportunities with senior management 
Job rotations 
Limelight is on you as an MA 
Above average pay as a fresher 
Guaranteed promotion upon completion of MA program","Outdated technology 
MAs might be placed into function that is unsuitable for their experience 
Overworked"
5,United Overseas Bank,N/A,2022-04-05,3.0,Vice President,"stable, good and large local bank","conservative, family manage business mode"
6,United Overseas Bank,Not Too Bad,2022-04-04,4.0,Manager,Not Too Bad to work in.,"Too busy and stressful, lower payment than industry (compared to other local banks)"
7,United Overseas Bank,Micro Manage environment,2022-04-04,3.0,Financial Analyst,Nothing nice to say in regards to the pros to be honest,Micro managers in the department who track you for toilet breaks. Do no recommend going in this department. Low paid and Low bonus
8,United Overseas Bank,Good,2022-04-04,5.0,Software Test Engineer,Good place to work at,Nothing to say about this
9,United Overseas Bank,Bias Review,2022-04-04,3.0,Manager,acceptable working life balance and leave benefits,"bias review base on boss favoritism
bad system"
10,United Overseas Bank,Company Review,2022-04-03,4.0,Vice President,Great place to work and learn new things.,Don't have nany cons for me
11,United Overseas Bank,Working in UOB,2022-04-03,4.0,Anonymous Employee,Benefit considered ok compared to other local banks,Working in Financial institution is competitive
12,United Overseas Bank,Thoughts after 4 years here,2022-04-01,4.0,Product Manager,"Understanding bosses who will support the initiatives carried out

Generally people are nice and help each other out","Red tape and hierarchy differences are still seen

High KPIs"
13,United Overseas Bank,Work,2022-03-31,3.0,Business Manager,A place to gain experience,"Turnover rate too high, effort vs return is not met."
14,United Overseas Bank,The best,2022-03-31,5.0,Programmer Analyst,Really fun and high paying job plus great boss,Tiring and stressful. Teammates are incompetent
15,United Overseas Bank,Good,2022-03-30,4.0,Call Centre Agent,the company is pretty good and motivative,i think that it can be quite stress sometimes
16,United Overseas Bank,Ok for the hardworking,2022-03-30,2.0,Anonymous Employee,Good benefits like leave and flexi,"Prepare to give long hours, bosses take it for granted"
17,United Overseas Bank,Benefits,2022-03-30,3.0,Trade Sales,"Good employee benefits
Flexibility 
Good place to learn
Good bosses
Good reputation","Heavy workload
Lots of reports
System too manual 
Incremental slow
Too many approval required"
18,United Overseas Bank,Nice,2022-03-29,4.0,Anonymous Employee,"Working environment is friendly, colleagues are willing to help.","The system is old, still print and scan."
19,United Overseas Bank,okay,2022-03-29,3.0,Customer Service,competitve salary and alot of benefits.,"once you are very well versed in the processes, it seems like youre the only one doing your job and those who are better at cross selling aregiven more opportunities to be promoted."
20,United Overseas Bank,Company review,2022-03-29,5.0,Vice President,The benefit and working environment are good.,The work is stressful and has long working hours.
21,United Overseas Bank,Review,2022-03-29,3.0,Business Banking,"Good teammates, good leadership and flexible working environment between remote and in office.","Not much increment for the past two years, bonus was not as good as precovid, lack of progression"
22,United Overseas Bank,review,2022-03-28,3.0,Anonymous Employee,"nice colleagues and welfare, ins","change pay structure, depends on boss"
23,United Overseas Bank,Good Place to Work,2022-03-28,4.0,Vice President,"Good working culture
New ideas are welcomed",Too much insistence towards Info Security
24,United Overseas Bank,Positive takeaways,2022-03-27,5.0,Assistant Manager,"Great welfare packages, progression, career development",None i can think of.
25,United Overseas Bank,No support from manager,2022-03-27,3.0,Manager,Great colleagues but no support from managers,"Salary increment is little, no support from boss and system are outdated"
26,United Overseas Bank,Great colleagues to work with but...,2022-03-25,3.0,Anonymous Employee,"Colleagues were friendly and helpful.
Pay was good overall.
Benefits comparable to top 3 banks in the region.","Very hierarchical and autocratic.
Most top level decisions are done by one single individual in the division.
A bit toxic environment. MDs like to cuss to show off their rank.
Yes, nepotism does exist."
27,United Overseas Bank,Personal Banker,2022-03-24,2.0,Personal Banker,"The harder you work, the faster you can promote.",Stressful environment however bosses are helpful. Have to work on Saturdays also.
