,company,headline,date,overall_rating,author_position,pros,cons
0,VMware,Good company,2022-04-08,5.0,Business Analyst II,Good good good good good,Cannot think of anything major
1,VMware,Good Work Life Balance !!,2022-04-08,5.0,Anonymous Employee,Compensation is good in VMware.,Nothing as such all depends on which project you land up.
2,VMware,Amazing Place to work,2022-04-08,4.0,BI Engineer,"Good Work life balance, Good Pay, Snacks, WFH",There is pay discrimination for the same level.
3,VMware,Meh,2022-04-08,1.0,Technical Support Engineer,Remote and flexible work is good.,"You can get more work life balance, and compensation and a permanent role and a better much culture elsewhere. Don’t waste your time

Very overly complicated technology. You can get paid more to sell very basic technology at other companies and have less stress

Managers have a panic attack when you want a career conversation about progression. 

Contractors made pit against each other for full time roles. Majority don’t get converted for years and usually leave."
4,VMware,Cares for employees,2022-04-08,5.0,Anonymous Employee,VMware very much stood by employees during covid pandemic. A safe place that takes care of you to do well and achieve.,Work culture might vary by team
5,VMware,Workspace One UEM - Mobility Solution engineer,2022-04-08,4.0,Technical Support Engineer II,"Good Working environment
Customer oriented
Performance will be appreciated","Work life imbalance
Volatility in Staff at lower hierarchy"
6,VMware,Great company with complex internal processes,2022-04-08,3.0,Enterprise Account Manager,Great company with great values and innovative solutions,Complex and time consuming internal processes to offer and sell the great solutions. Issue identified and will probably be better in the coming years.
7,VMware,Nice place to work,2022-04-07,4.0,Sales Operations Manager,"Great benefits
Generous time off
EPIC2 values","Processes are very manual
Progress takes time"
8,VMware,Job,2022-04-07,3.0,MTS2 Software Engineer,Team and work culture is good,Low pay not competitive to market
9,VMware,Good to work for,2022-04-07,5.0,Senior Member of Technical Staff,"Learning opportunities, building new products and growth opportunities.
If you are an engineer who likes challenging problems and yearn to build solutions and working with algorithms, there are opportunities.
There is work life balance in most of the teams.",Details to be added here.
10,VMware,experience with vmware,2022-04-07,4.0,Senior Software Engineer,work life balance and no politics,"entire team is remote, coordination gets challenging at times, too much dependency on slack"
11,VMware,General feedback,2022-04-07,3.0,SMTS,Brand name in your resume.,"Lot of office politics.
No career growth"
12,VMware,Awesome work place,2022-04-07,5.0,Anonymous Employee,"Good work life balance.
Company policies",No such con I can quote
13,VMware,Job review,2022-04-07,5.0,MTS1 Software Engineer,Best Work life balance in Industry,There is no cons as such.
14,VMware,My review of VMware,2022-04-07,5.0,Staff Engineer,"Work culture, Diversity, Equal opportunities",Products are entering a new transition phase due to disruption from hyper scaler and hence a very challenging business environment
15,VMware,Great company but such a mess,2022-04-06,1.0,Member of Technical Staff(MTS),"Great company, leadership does try to make the most of making sure the staff is well looked after. Good salary, good benefits, medical package is very good. But this is as far as the good goes.","The team i was part from: Very stressful, huge mess, no processes, manager has extremely unprofessional attitude, quite obviously shows preferences from one employee to the other. Has next to none technical knowledge. The manager was inappropriately selected as part of the team, no hierarchy! They don't support you as they should in your work, they they don't provide you what you need as new member of the team. Manager doesn't manage the people in the team! To conclude it was agony working there and the attitude was to say the least, extremely unprofessional. I regret even going there in the first place. Waste of my time!"
16,VMware,Its ok,2022-04-06,2.0,Senior Solution Engineer,decent pay and good people,new upper management is bad
17,VMware,great team,2022-04-06,5.0,Sr. Marketing Manager,"comfortable, work-life balance,  a lot of opportunities to learn and grow, people oriented","I can't name any cons for working at VMware,"
18,VMware,Covid experience,2022-04-06,2.0,Enterprise Account Executive,Appreciated wellbeing days to support priorities and mental health from covid,Heavy pressure for forecasting and sales
19,VMware,Nice place to work,2022-04-06,5.0,Member of Technical Staff II,"Good work environment.
Flexible working hours.
Good management.
Lot of goodies.",Nothing as I can think of now.
20,VMware,Good,2022-04-06,3.0,Senior Pricing Analyst,"Pandemic leave , epic days off",Not that I can think of
21,VMware,Good,2022-04-05,4.0,Business Analyst,Good work life balance and growth,I do not have any
22,VMware,Good company seeking to reinvent itself in the Cloud Era,2022-04-05,3.0,Enterprise Account Executive,Great legacy technology and customers. Very well established benefits and good training ground.,VMware has not made a successful transition to a SaaS based revenue model and that has created a number of issues in the sales teams; particularly between the core seller and the specialist layers. ANZ Sales management tend to paint by numbers rather than add value.
