,company,headline,date,overall_rating,author_position,pros,cons
0,Vans,Company Moral,2022-04-08,3.0,Sales Associate,"- I was around a management team who were able to maintain their professionalism while also engaging with coworkers in a friendly and fun manner
- Out of high school/first job pay was good","- Repetition of the same tasks over and over 
- Lack of communication on how to move up"
1,Vans,Fantastic Job/Few Hours,2022-04-07,4.0,Sales Associate,"Close with co-workers
$14 base pay
Quality Local Management
Quality Upper Management","Part-time employees receive few hours
Little growth room"
2,Vans,Great place to work!,2022-04-07,5.0,Seasonal Sales Associate,"great MGMT, good working environment, very safe",not a lot of hours
3,Vans,"great benefits, bad hours",2022-04-07,3.0,Sale Associate,You get great perks on company merch and teamwork is great,Your hours are not prioritized due to labor flow
4,Vans,The compensation given was great,2022-04-07,5.0,Team Lead,Its best to work at vans because they give growth to you career and compensate salary and benefits well,Some previoue employess take on personally when they have a grudge with someone
5,Vans,Good discount,2022-04-06,5.0,Sales Associate,"Good discount, great work environment, management are very flexible with work and life balance schedule",minimum wage and have to wear all vans
6,Vans,Store manager,2022-04-06,3.0,Manager,They care about their employees,There was a lot of he said/she said
7,Vans,Really awesome place to work at,2022-04-06,5.0,Anonymous Employee,"Super good vibes, management is helpful, a lot of room for growth",Hours can die down sometimes but nothing too bad
8,Vans,Good,2022-04-06,4.0,Window Cleaner,Good work and was quite flexible.,Sometimes worked overtime with no overtime pay.
9,Vans,Loved it,2022-04-06,5.0,Anonymous Employee,Nice people. Good management. Care about the team.,Sometimes we were overworked and had to stay late hours.
10,Vans,Assistant manager,2022-04-06,3.0,Assistant Manager,"Discount
Better work life balance compared to others","Pay
Little hours at times 
Favoritism"
11,Vans,Great time in customer service,2022-04-05,4.0,Sales Associate,"Great employee discount
Love the brand
Excellent company","Leadership varies 
Favoritism depending on location"
12,Vans,Great place,2022-04-04,5.0,Cashier,Super flexible and great staff,"Not enough hours per week, not with the paycheck"
13,Vans,Assistant Store Manager,2022-04-04,4.0,Anonymous Employee,"Great work environment, great products, and mission statement. Vans as a brand had great representation and good people that help support you. It can differ with some of the Store/District/Regional Managers but some of the ones I've worked with have definitely helped me throughout my time here.","In my time, I'd say some of the biggest cons are the unreachable targets set by the company. Meeting these unreachable targets allows us to earn the payroll needed to give some of these associates and others the appropriate hours allocated to complete daily tasks such as shipment, floorset, shipping orders, and etc. Some of which are heavily dependent on traffic which is out of our control especially going into the post-holiday season. Work-life balance is pretty bad since there is no consistent schedule as there is with any retail environment. Must work two years minimum before advancing into a new role."
14,Vans,Great,2022-04-04,5.0,Sales Associate,They’re great to the employees,There aren’t any to be honest.
15,Vans,I like this company and its values,2022-04-04,5.0,Retail Sales Associate,It's fun to have nice coworkers,It's work and that's difficult to do.
16,Vans,"Great retail job, still a retail job though",2022-04-04,4.0,Retail Sales Associate,"Great place to work with cool people
Average pay for the work
Discount and promo opportunities
Positive brand culture 
Relative flexibility in scheduling","No insurance offerings for PT
Average to low pay depending on location 
Limited growth opportunities beyond retail"
17,Vans,Retail Sales Associate,2022-04-04,5.0,Retail Sales Associate,The people and atmosphere were great,Did not get paid enough
18,Vans,Vans,2022-04-04,5.0,Sales Associate,Great starting job to gain experience.,On feet the entire time.
19,Vans,great company,2022-04-04,5.0,Anonymous Employee,"always good vibes
good coworkers and management 
fun environment",couldn't swap shifts if needed once published
20,Vans,Great company culture,2022-04-04,5.0,Sales Associate,"Most stores are enthusiastic. Great people to surround yourself with. Great discounts. If problem occur, HR actually does something about it.",Some managers are awful. Favoritism is rooted in some places.
21,Vans,Stock associate,2022-04-03,4.0,Stock Associate,"Great environment
Flexible schedule
Fun coworkers 
Overall good time",The management was not that great
22,Vans,Accurate,2022-04-02,4.0,Sales Representative,Inviting environment and encourage individuality.,The restriction on hours allowed.
23,Vans,Fun to work at vans,2022-03-31,5.0,Sales Associate,"Friendly and welcoming culture, employee discount",Retail job so you already know what to expect
