,company,headline,date,overall_rating,author_position,pros,cons
0,Workday,Great company to work for,2022-04-09,5.0,Senior Software Engineer,"The company encourages the best of you. The managers and management support you to career progress. I personally feel, i have so much privileage able to make impact in every engineers daily work. I also get the response of the impact made in every engineers everyday work.",Company tries to keep up the original core values. It is unique technology company focus on the employees health. Company always focus on employee work/life balance. Employees mental health. Honestly I have been in workday for 10 year. From the day 1. My managers always suggest to work only 8 hours/5 days a week. If i happen to work extra hours. I always gets compensated.
1,Workday,"Great as a start-up, needs A LOT of work",2022-04-09,2.0,Senior Consultant,"-Culture is good
-Most Coworkers are helpful
-Product is solid","-Still in start-up mode
-Bo solid training or foundation for incoming consultants
-Seriously lack of continuity"
2,Workday,Great culture,2022-04-08,5.0,Anonymous Employee,Great culture and good pay,Big company in transformation so teams are working a lot
3,Workday,Quality,2022-04-07,4.0,Manager,"Employee Centric culture, Growth, inclusivity, Complex problem solving","Pay, skill enhancement, internal mobility"
4,Workday,Great place to work,2022-04-07,5.0,Anonymous Employee,Great people and good career opportunities,Very hectic and busy atmosphere
5,Workday,Incredible company. Truly employee first culture.,2022-04-06,5.0,Anonymous Employee,Employee first culture. Top tier pay. Great benefits,No cons to list here
6,Workday,Good company to work for,2022-04-06,4.0,Principal Software Engineer,They take care of their employees,"It is growing and hence it suffers from the issues of a corporation:
* Internal politics gets in the way at times.
* Rate of change is slowing down significantly."
7,Workday,Rest and Vest,2022-04-05,3.0,P3 Software Engineer,"Rest
Vest
Decent salary and benefits 
Mentoring opportunities",Slow carrier progression and practical/applicable self learning opportunities
8,Workday,Company Culture,2022-04-05,5.0,Senior Software Engineer,"Workday has the best company culture I have encountered in my career. The company's first core value is Employees, and they mean it. In 2021, later half of the year they gave the whole company Thank You Friday holidays almost every other Friday.","Still new at the company, one year sofar. Don't have any complaints."
9,Workday,"Good company,  boring tech",2022-04-05,4.0,Anonymous Employee,"Great WLB, culture, good benefits,","Slow at times, pay, middle management can be bad."
10,Workday,Lack of clarity,2022-04-05,2.0,Analyst,"Amazing product 
Lot of freebie’s","Favouritism
Not so good work culture
Begin judged always"
11,Workday,No complaints!,2022-04-04,5.0,Software Development Engineer,"Great work life balance
Great people, manager seems to really try
Transparency",Big corporation at the end of the day
12,Workday,Company posts fake reviews,2022-04-04,1.0,Sales,Nothing that I can think of,Company posts fake reviews to try to boost scores against competitors.
13,Workday,Best Company in the World,2022-04-03,5.0,Senior Associate Consultant,Started here straight out of college and was immediately skeptical of how much everyone here loved it. After almost 3 years I can confidently say that if you're going to work a corporate tech job this is the company to do it.,I honestly don't have any cons for the company as a whole besides that they're beginning to lessen our stock grants this year.
14,Workday,Boy’s club,2022-04-02,2.0,Senior Account Manager,"Decent product; however, support is lacking.","While WD speaks a big game about value and and belonging, you have to look far and wide to find any diversity in sales management. The boy’s club is alive and well. 

Serious lack of leadership across the board. Company and culture is really keen on talking about making the place a great place to work; however, when corrective action is required, management simply does not know how to manage. 

HR is a bit of a joke - all good folks, but no influence. 

As a company, there’s a lot of lip service given about employee welfare - yet at every turn, they have fallen in line with the woke agenda. The utter lack of support for employee health is troubling. Follow the science people; folks who’ve had COVID are protected. The vaccine mandates are intrusive."
15,Workday,They don’t care about employees,2022-04-02,1.0,Presales Consultant,Nothing that I can think of,"Pay is below average. They took away $7,000 in PSRU stock and tried to cover it up like we are dumb. They claim to do market adjustments but that’s never been do. They claim to do market surveys for salary but they most they give is 3% if you are lucky. They keeping taking stuff away and expect people to be happy. Experiencing above average turnover right now and the only thing they care about is 10 billion."
16,Workday,Culture change,2022-04-01,3.0,SRE Engineer,"They act like they care
Try to have fun","But do they really care?
Poor management 
Doesn't seriously take the feedback"
17,Workday,Great company,2022-04-01,5.0,Anonymous Employee,Culture is awesome at workday,Pay may be lower than other companies
18,Workday,A review,2022-03-31,4.0,Solution Consultant,Great focus on SC enablement at that time I was there and a fun product to work with,"Nothing out of the ordinary, the SC managers were not as familiar with product so could not offer much support. At-bats for the financials part of the Workday solution were limited"
19,Workday,Good company and culture,2022-03-31,4.0,Senior Account Executive,Great culture built around solid values. Great product with many successful and happy customers,Growing very fast and becoming very difficult for many net new sales people to achieve quota.
20,Workday,Great place to work,2022-03-30,4.0,Senior Consultant,Great culture with a focus on employee satisfaction,Growth prospects may be limited.
21,Workday,Sweatshop,2022-03-30,2.0,Supervisor,The pay here is decent,"I hate working here, dont"
22,Workday,Good company. so flexible,2022-03-29,5.0,Data Analyst,everything is great and so flexible.,depends on your manager. it might be some favoritism
23,Workday,Big Company,2022-03-29,3.0,Anonymous Employee,"There are very smart people 
Nice Culture when in office","Big company pains 
Siloed roles"
24,Workday,Great,2022-03-29,5.0,Anonymous Employee,Great work environment and employee treatment.,Nothing bad comes to mind.
25,Workday,Great employer,2022-03-29,5.0,Senior Product Manager,"Fair pay, leadership value feedback, great colleagues and hits a good worklife balance",Some mid level management wwam
26,Workday,Loved my experience there,2022-03-29,5.0,Designer,This is a great place to work,The work was not challenging enough
27,Workday,Great Company and Culture,2022-03-28,5.0,Customer Support Analyst,"Work-life balance, Team work, Opportunity to Grow, and Diversity and Inclusion.",Huge ramping period. There is a LOT to learn and it seems like it keeps on growing.
28,Workday,"Excellent employer, people & culture",2022-03-28,5.0,Senior Solution Consultant,"Good culture, products and people. Very forward thinking",I’d describe it as a high performance place of work so it can feel like a bit of pressure sometimes. But they look after you well.
29,Workday,Wonderful,2022-03-26,4.0,Anonymous Employee,A great place to work,"No cons, a great place to work"
30,Workday,Work life Balance,2022-03-26,5.0,Anonymous Employee,Best in Employee care. Puts Employee first.,Haven’t seen any critical downside
31,Workday,Company was good,2022-03-25,5.0,Customer Service Representative,Pay was good. Work life balance was good,Management could do much better.
32,Workday,Amazing place to work,2022-03-24,5.0,Principal Solutions Consultant,"Amazing culture, people and product. Employees are extremely well taken care of, lots of perks, fantastic events, etc.",Have to be proactive to manage your work-life balance.
33,Workday,Great and very well-organized company,2022-03-24,5.0,Customer Care Analyst,"very well-organized, diverse, engaging environment, great place to work","Nothing at the moment, I will come back later"
34,Workday,Workday is a great company to work,2022-03-24,5.0,Senior Associate Test Automation Engineer,"Friendly people and culture
Nice office
Food",Sometimes you work will be ignored or some other people would add to your work and claim to be done by them
35,Workday,QA,2022-03-24,5.0,QA Engineer,the company has a great culture,i cant think of any
36,Workday,Very caring company,2022-03-23,5.0,Software Development Engineer II,- Amazing work-life balance. People are very welcoming and willing to help you grow in your career.,- Career growth might be a little slower based on the technology used. Not up to date with other companies. Environment is not as fast paced.
37,Workday,Work environment,2022-03-23,5.0,Sales Representative,Workday provided great PTO benefits,Management was not always responsive
38,Workday,Amazing culture!,2022-03-23,5.0,Software Engineer,"Work-life balance 
Great culture/people to work with",Not a super fast paced environment
39,Workday,Amazing Company,2022-03-23,5.0,Senior Consultant,Workday is the best company I've ever worked for,I don't have much to say here
40,Workday,Great company,2022-03-22,5.0,Product Manager,"- All in all, great company
- Really friendly and smart people
- Great company culture and WLB
- Comp is fairly competitive, with yearly automatic bonuses and refreshers and ESPP

This is the kind of company you can see yourself staying at your entire career.","- Things in enterprise software are slower, so product development doesn't have a ""ship fast and often"" and ""break things"" mentality
- Some organizations are disorganized/lack clear vision"
41,Workday,Employee Friendly Place to Work,2022-03-22,4.0,Anonymous Employee,"Great benefits, good culture. Very focused on employee experiences.","Can be a tough place to be a manager, due to the focus on the employee experience. Would still recommend it as a great place to work, even for managers."
42,Workday,"Good work life balance, at cost of below industry standard pay",2022-03-22,4.0,Software Development Engineer II,"They care about their employees & their culture
Many teams at Workday allows for inter company mobility
Good leadership at the C suite level, company direction & growth is great","Below industry standard salary
Most good young engineers leave within a few years because company refuses to pay industry standard (something a lot of companies do that I will never understand, continuity & product knowledge is worth so much)

Promotions are slow to go to the deserving, years at the company is the primary factor. Promotion cycles in general are slow & locked to semi-yearly cycles 

Middle management is murky, not straightforward/honest/realistic about pay structures and hiring practices. Seems as though they are coached to not be transparent

Too much bureaucracy & too many meetings. Lost its startup feel & development can be slow paced at times

Very political about letting employees work remote, very few exceptions granted

Not really allowing remote work"
43,Workday,Turning into the competition,2022-03-21,2.0,Sales,The product is decent and there are some good teammates.,"Where to begin?  The company is more interested in national / global politics than in the company itself. If you are a leftist, this is the place for you. If not, then you will find yourself embarrassed to work here with their constant spouting off on whatever DNCC talking point they receive. 

Pay is mediocre at best.  OTE has not increased in about 10 years (if ever) so there are plenty of other places where the pay is better. They talk about RSUs but those get significantly smaller every year to the point now of barely noticeable.  

Product is still decent but they no longer innovate — except by acquisition which is generally the sign of a company past its prime. The Power of 1 (which used to be a differentiator) is long gone and they have become the same “Frakensoftware”  for which they used to criticize competitors."
