,company,headline,date,overall_rating,author_position,pros,cons
0,AMD,Good Company,2022-03-31,5.0,Sr silicon design engineer,"good team, interesting work, helpful","tough hours, many meetings, big orgs"
1,AMD,Great cultural,2022-03-28,5.0,Data Analytics Engineer,"Great cultural, great company , well diversified","Roles and responsibilities are not clear, no due recognition, long work hours"
2,AMD,AMD is GOOD,2022-03-28,5.0,Software Development Engineer II,Work-life balance is pretty good here.,Documentation is pretty rare in our team.
3,AMD,Great WLB. peanut Pay,2022-04-01,4.0,Senior Supply Chain Specialist,"Great WLB.
colleague and manager are good to work with.","TC is peanut
not RSU in operation before promote to senior. 
Even after promotion, sometime managers might not grant RSU to you. 
Even when grant, RSU is about $10k~$20k, vesting in 3 years."
4,AMD,Good Benefits,2022-03-21,5.0,Anonymous Employee,You get to work with smart people,Work life balance may not be good depending on the team
5,AMD,Good place to work,2022-04-02,4.0,Packaging Engineer,Coworkers are hard working and easy to work with,Pay raises are not very good
6,AMD,Excellent company,2022-03-19,5.0,Comptable,Great company to work for,Less inclined to remote working arrangements
7,AMD,Great Company--Some Work/Life Concerns,2022-03-10,4.0,Product Development Engineer,"-Lots of very smart and friendly folks, great mentorship
-Competitive salaries
-Abundant opportunities for growth if you are willing to put in the time and effort","-Work/life balance has slowly degraded over the last few years. This is largely due to acceleration of project schedules, combined with a lack of investment in new resources
-Annual bonuses + wage adjustments feel somewhat lacking despite AMD's recent growth and success"
8,AMD,Company doing great,2022-03-13,5.0,Firmware Engineer,A lot of things to learn.,A lot of tight schedule and compensation not as good as outside
9,AMD,Good,2022-03-15,5.0,Anonymous Employee,Good work life balance which is very important.,Nothing i can think of.
10,AMD,Values money over ethics,2021-12-29,2.0,Product Development Engineer II,"1) Smart and friendly coworkers
2) Ambitious environment
3) Wages aren't *too* far below the standard
4) Vacation days exist","1) Great work-life balance... if you live to work, hate your family, and have no hobbies
2) Managers are on your side... if you are willing to serve as their internal politics meat shield
3) You can look forward to consistent raises and promotions... a year or two after you make yourself deserving of them
4) The company gives everyone year-round ""recharge days""... taken out of your regular vacation time

Oh yeah, basically everyone there is White or Asian/Indian. I think I've seen at most one or two token Black or LGBTQ+ people in the entire office, and they don't really stay around for long. So much for diversity and inclusion."
11,AMD,White males soar,2022-01-10,2.0,Team Leader,"Really dedicated teammates and the brain trust here is bar none. Pay is decent, RSU values are high, healthcare benefits so so but worsening as the typical plan will have you $5-10k out of pocket AFTER the deduction from your check.","Misogynist CVPs create and enable hostile environments in which their calls end with “you guys will just complain, anyway”. The same only reward and promote their favorites, a tough drinking tough playing set of white men with limited time in role, lower ratings and high attrition. Think you can get an equal opportunity here as a female, a person of color, or otherwise? Not in most groups. Really unfortunate given that the leadership team is largely female."
12,AMD,Pmt,2022-03-14,5.0,Technical Product Manager,Great work life balance here,To much politics around here
13,AMD,Best Culture Ever,2022-03-09,5.0,Director of Talent Acquisition,"Hyper growth = increased market share, increased revenue, increased market capitalization.",Hyper growth = long work hours
14,AMD,Great company to work with,2022-03-07,5.0,Program Manager,"Good Package, Work-life balance, Recognition",There is nothing at the moment. Company is doing good at the moment
15,AMD,Great place to work,2022-03-10,5.0,Anonymous Employee,"Challenging, values employee feedback, great culture",Can't think of any cons
16,AMD,Great place to work at,2022-03-08,5.0,Anonymous Employee,"Flexible environment, good management, good learning",salaries not comparative to the industry
17,AMD,Good Place to work,2022-03-27,4.0,Hardware Engineer,Good working environment and learning opportunity,high stress and require work no than 8 hours
