,company,headline,date,overall_rating,author_position,pros,cons
0,Adobe,BDR Life,2022-03-30,5.0,Business Development Representative,Fantastic company with great benefits,Low commission and intricate products
1,Adobe,Employee focused and socially aware,2022-01-04,5.0,Software Architect,"Adobe has been great to work for, they work very hard to make sure that employees have the resources they need to succeed. I appreciate their aggressive moves towards diversity and pay equality as well as supporting the communities they are in throughout the globe.","Adobe is a very large company and that means that things move slower (career-wise) than they would in a small company, and it suffers from the same thing that many Silicon Valley companies suffer from which is that if you want to progress your career it is faster and more effective to leave the company than to work your way through the internal bureaucracy."
2,Adobe,Good future for the company,2022-02-16,5.0,Senior Program Manager,"Culture takes care of the employees. Lots of learning opportunities and internal movement laterally is highly encouraged. Decent pay and benefits for the area. Historically, the stock benefits kept employees at Adobe longer than most tech companies. Great CEO and company usually stays out of the media compared to other Tech companies. Fantastic work/life balance.","Almost zero vertical mobility. Lots of people leaving for senior leadership roles elsewhere and then some come back years later in higher roles. Utah is still treated low for pay compared to most other places in the US. Given the higher cost to live in Utah now, many want to see a change to this policy."
3,Adobe,The least toxic employer I've ever had,2022-01-14,5.0,Senior Site Reliability Engineer,"The company as a whole is very good about keeping the toxicity common to large corporations at a minimum. Because of its heritage as a software engineering company more than what's considered a ""tech company"" today, there's a very healthy engineering culture with a relatively low level of meddling by upper and middle management in most parts of the company. Employee benefits are very strong and the company is excellent at integrating a remote and geo-diverse workforce, even prior to the pandemic. The headquarters facility is well-run and facility staff (from building operations to kitchens to security and safety) are fantastic.

Incredibly smart people work here and for the most part embody the company's stated value of bringing their genuine selves to work.","Compensation and growth opportunity is not commensurate with the company's stated aims for employees. After a decade of record-breaking years, employee compensation rises quite modestly.

The engineering heritage of the company is eroding a bit. Offices with doors that close and allow engineers to think about problems and solve them were torn out and replaced with open plan spaces that are noisy, busy, and unproductive.

Reorgs are increasing in frequency -- something of a red flag -- and often disruptive."
4,Adobe,An incredible atmosphere for success,2022-03-25,5.0,Business Development Representative,Adobe is constantly working to empower its employees in the pursuit of success and quality of life.,"I have not had any negative experiences working for Adobe. The employees are held to a high standard and therefore there is a competitive work environment, but it is all done in such a positive manner that you will be better for the atmosphere provided."
5,Adobe,Superb Work Environment !,2022-03-22,5.0,Principal Solution Architect,"- Very friendly and cordial work environment where everyone, including management team is very supportive
- Values and respects individuals
- Believes in achieving goals as a team ,where everyone plays their part and supports one another
- Compensation and Benefits are world class !
- Excellent work life balance",- Yet to find one !
6,Adobe,Fun and non-competitive atmosphere,2022-03-29,5.0,Senior Computer Scientist,I really enjoyed my time at Adobe before retirement. Adobe hires quality people and it makes for an interesting place.,Salaries are slightly lower than some of the other major Silicon Valley employers
7,Adobe,"Great support, great company",2022-03-23,5.0,Product Manager,"Great colleagues
Industry-leading products and services
Creativity actively encouraged
Great mentorship options
Very good managers
Very positive work environment
You really can't do better, it's a fantastic place to work","Doesn't allow for personal international relocation, regardless of reason."
8,Adobe,Magento Commerce Group is Toxic,2022-01-05,1.0,Senior Software Architect,"Adobe Brand
Benefits
Good products 
Vacations
Good technology","Magento team is extremely unethical and toxic. They hire outside talent to help them, but they don't have ability to listen new ideas and proven approaches from industry. 

Leadership is unethical, play dirty politics, break promises, lie frequently, play favoritism due to various biases. Seen people there leading engineering teams who has never coded in life, cannot understand complex design discussions and problems but still played their way to higher ranks. It doesn't matter what you know and can do, but it matter who you play with better.

They don't realize that these non technical politically correct people are easily replaceable but not hard working engineers with proven industry experience. 

I have seen more than few people left under extreme depression due to all these politics and toxic culture. Sad part is that even after escalations to higher management by multiple peoole, they didn't do much.  If someone looking for a growth within a company, instead of helping, they are cutting people who are not 100% agreeing with their approach, they need yes man without ability to challenge the status quo.

Even though they have failed strategy for many years now within Magento. They are truly working like an organized gang of people who know each other previously, anyone else coming from outside with high potential is seen as threat to their insecure minds."
9,Adobe,Dream Company to work for,2022-03-28,5.0,Sales Development Representative (SDR),"-Great Benefits
-Wonderful sales Culture
-Exciting opportunities for growth 
-Great work environment
-Great pay",Not any I can think of.
10,Adobe,You have to find the right team,2022-01-20,4.0,Product Marketing Manager,"Great culture, good company morals & ethics, great products, pay was decent, they really celebrate creativity, nice people","You have to get a manager who wants to be a manager. You need them to fight for you, elevate you, highlight your accomplishments to senior management otherwise you get lost in the shuffle. They don't encourage movement to other depts as much as other companies, and it can literally take years to get a promotion. The unspoken rule is you do the job for a year and then get the promotion. Also, be vocal and open with others about equity/stock/shares. I found out it was very unfairly distributed on my old team with some people in management lying about it without even being asked directly."
11,Adobe,Inclusive culture,2022-03-22,5.0,Creative Director,"Good programs to promote inclusivity, a lot of clubs, awareness of equal pay and diversity.",A lot of politics similar to other companies this size.
12,Adobe,"Lovely company, looks after employees and really puts people first",2022-03-15,5.0,Senior Engineering Manager,"Great support network, a number of opportunities and programs to help you grow and be happy and healthy while working.","Lots of voices and opinions, sometimes hard to align on strategy and move forward on initiatives."
13,Adobe,Great place to work,2022-03-07,5.0,Enterprise Business Development Representative,"Great perks, great brand, market leading products, fun team","Like most organizations it took time to move around, but it was important to network. I also worked there right as covid hit, so all sort of ""normal"" was lost for a couple years no matter where you worked. they took care us and gave us budget to build our home office"
14,Adobe,Cog in the $10 billion machine,2022-02-15,2.0,Customer Success Manager,"Adobe is major player in multiple industries and a massive enterprise globally. While I was in the Marketo organization, we certainly still felt some fundamental benefits with that gigantic umbrella above us.

- Excellent healthcare package and 401k/HSA
- Extensive additional benefits like commuter card, gym stipends, H&W, etc.
- Looks great on a resume
- Sometimes they brought a literal cash grab machine into the office (pre-COVID)","The flip side is that you're not a person or have any intrinsic value, you are simply a number or name on the spreadsheet that is expected to deliver. 

- Below industry standard salary
- For a CS role, it was extremely focused on upsell/cross-sell and you'd be expected to sell at all costs (especially to the detriment of the customer)
- Bonuses rarely came out correct or as advertised
- Management only cares about impressing those above them and the front-line employees are all expendable and simply don't matter"
15,Adobe,They prioritize the well being of their employees,2022-03-14,5.0,Customer Success Manager,Amazing benefits and warm company culture.,"Small fish in a big pond, hard to get promoted or move around within the company"
16,Adobe,Solid culture,2022-03-10,5.0,AVP-Sales,Solid leadership and consistent direction which is apparent by the stock price,Territories need to be even to ensure all Sales Professionals have a legitimate oppty to achieve quota
17,Adobe,Associate Experience Designer at Adobe,2022-03-10,5.0,User Experience Designer,Most inclusive and healthy work environment I've ever been a part of. Take extremely good care of their designers and anything that they might need.,I don't have any yet!
18,Adobe,"Values driven, employee and customer centric company",2022-03-25,4.0,Senior Director,"- Makes products that customers love!
- Great benefits (including summer and winter shutdowns)
- Smart and passionate colleagues","- Decision making slow at times because of matrixed setup
- planning processes are cumbersome and can get in the way of getting stuff done"
19,Adobe,"Fantastic products to work on, awesome customers and world-class design team",2022-02-17,5.0,Senior Experience Designer,"Product teams embrace design-led thinking and execution.
Work closely with the top creatives in the world and be inspired by their work.
Have time and freedom to develop innovative ideas and solutions for our customers.
Outstanding benefits like sabbaticals and employee stock purchase plan with 2-year price lock ins.","It can be a challenge to prioritize everything may land on your plate, but you'll never be bored."
