,company,headline,date,overall_rating,author_position,pros,cons
0,Atlassian,Phenomenal Culture,2022-04-04,5.0,Sales Analytics Manager,So far there hasn't been a ton of exec fire drills that you typically see at a lot of tech companies. It's a much more relaxed environment to work in. Fully flexible work situation where I can WFH full time or go into the office as I choose. Comp and benefits are fantastic.,"The distributed workforce can leave out a sense of camaraderie found in the trenches of the office, but it's a small price to pay for the benefit of WFH and not having to commute everyday."
1,Atlassian,Best company ever?,2022-03-30,5.0,Senior Data Scientist,"I love working at Atlassian. I primarily joined for a better Work-Life balance, and it delivers on that--though I will say it might vary based on what team you are on (though generally good). The Atlassian values are embraced by everyone. You'll find support for your new ideas, and you'll be less impeded by office politics. I hope to never leave. 

- Really collaborative culture
- Strong adherence to values
- Great support for innovation
- Solid benefits
- They are still newish to data science, so a lot of opportunities to contribute in a meaningful way to the business
- You don't need a PhD to work on machine learning models here
- Remote work is well-supported
- Large company but still feels startup-y in many ways. You thus get the stability of a company that's not about to go under","- Funding decisions are often driven by initiatives; infrastructure work or long-term projects are often underfunded and understaffed
- Wish they offered a stipend for remote employees to join coworking spaces
- Less data maturity than some tech peers, so tooling or data quality may be work-in-progress
- A lot of ""data science"" work is actually analytics--know what you're applying for
- Still very Australia or Pacific-coast staff heavy, so east coast workers may find it annoying
- Promotions are less quick than I'm used to"
2,Atlassian,It's as good as they say it is!,2022-03-14,5.0,Senior Business Analyst,"Amazing supportive culture that prioritises psychological safety, transparency and constructive feedback. Senior staff are approachable and everyone truly lives by the company values. Company values come up in conversations all the time and truly lead the way with decision making. Pay is excellent and they don't glamorise overworking but encourage balance and rest.","Sometimes the openness of the company means random people will give you feedback which can seem a little scary at first, but there is good intent and all communication is encouraged to be delivered in the most productive way and not as something to tear others down. They truly do prioritise diversity and inclusion but it is definitely a male dominated company in the engineering / development teams which can be a little intimidating when you join as a woman. Everyone is really lovely though and I have not experienced or witnessed any sexist remarks. My manager has not been super hands on with setting career milestones and plans for my future development yet, so I am a little concerned of lack of trajectory in my career but it is still very early days for me so that could change in future."
3,Atlassian,Best place I've ever worked,2022-03-31,5.0,Product Marketing Manager,"- Competitive salary, benefits, bonus, stock
- Thoughtful work/life balance measures like ""Refresh"" days for my whole team so we can take time off without getting lots of messages while we're out. 
- Flexibility - work from anywhere, unlimited PTO, lots of different ways of working across teams and individuals
- Interesting projects and challenges - the company is large but many orgs are exploring exciting new things and have exciting start-up energy
- Regular growth check-ins and opportunities to try new things
- Lots of chances to give back through paid time off for volunteering and company donation matching","- Can be long hours, especially if you're on a global team (meeting times across Australia, Europe, India, USA can lead to 12 hour days at times) 
- Pretty high workload, often with some degree of ambiguity - the company is growing quickly and supports lots of new ideas meaning you're often across multiple projects at once"
4,Atlassian,"Wonderful place to work - but be ready for lots of change, growth, and a bit of chaos!",2022-02-26,5.0,People Team Member,"* Atlassian’s future is incredibly bright and the products keep getting better and better by the day
* Pay, benefits, and the offices (once they open back up) are all excellent
* The people are warm, caring, and the culture is dynamite","* With growth comes change. I’ve seen many cases of teams going back to a “storming” phase as lots of new team members join. I would say this is normal and natural, but not always comfortable.
* Burnout is real, so you need to be the one to keep an eye on yourself, and speak up (and take action) if you are not in a good place."
5,Atlassian,Atlassian is a dream company!,2022-01-27,5.0,Channel Program Manager,"Atlassian takes the cake! The salary, RSUs, and annual bonuses are top $$! The benefits are incredible from paying for health & vision insurance 100% for not only me, but my family of five! In previous jobs, a third of every check went to insurance coverages. We also are granted a week per year to volunteer and our Foundation does so much good in this world. Our founders are dedicated to diversity, growth, and being ahead of the curve. I can't say enough great things about this company and am so happy to have just celebrated my third anniversary!","While I don't truly feel like I have a con to share, I'd say since we are a young company, we figure things out as we go, which in the end is a great way to grow!"
6,Atlassian,good company to work for,2022-04-01,5.0,Software Engineer,"work life balance
good project
good team
good culture","growing pain
distributed team make it hard to meet up"
7,Atlassian,The Best Professional Experience I've Ever Had,2021-10-01,5.0,Program Manager,"The company is truly progressive, not just in what they said, but in their actions. Employees are encouraged to express their opinions freely, whether they are positive or critical, and regardless of whether they're in direct opposition to leadership. One of the first things I noticed about Atlassian when I was interviewing was how many people have been there for 5+ years; Ive spent the last 5 years in software and I've never seen this anywhere else. In working at Atlassian, I understand why this is - there are a lot of opportunities for growth and incredible benefits. My manager has been really supportive of me doing more of everything I enjoy and less of everything I don't enjoy. I plan on staying with Atlassian for as long as I can (10+ years). I have incredible work/life balance and this is something the company supports wholeheartedly.","Working for a company this large can be pretty confusing, especially if you're coming from a smaller compan. The size of the company is both a blessing and a burden - because of its size, there are a ton of resources; however, with so many employees across so many teams and so many locales, figuring out exactly who to speak to about specific issues can be challenging. Also, the company currently determines salaries based on the going rate for the market each employee is based in. A lot of employees have expressed criticism about this and I'm hopeful that this will change in the near future."
8,Atlassian,Great Company w/ Lots of Opportunity,2022-03-02,5.0,Technical Support Engineer,"As an individual contributor, it feels like my work is always valued and appreciated. Company values each employee, considers your opinion, comp'd very fair, great benefits, and the list goes on. Always room for career growth, and is encouraged by Atlassian.","None really IMO. Company moves incredibly fast at times which can be overwhelming, but a good thing as well. You might be working on one project, then switched to another if the company/team/department moves in another direction. Realistically Atlassian is always looking at the bigger picture."
9,Atlassian,Atlassian is the real deal,2022-03-06,5.0,Product Marketing Manager,"Atlassian genuinely probably one of the best companies in the world, somehow able to balance great employee experiences with a portfolio of products across various verticals. You work with some truly driven, empathetic people and you can tell they really care about the people they hire.","Atlassian is growing incredibly quickly, so you'll experience some growing pains along the way. But overall, this is a fairly minor con that is being handled well."
