,company,headline,date,overall_rating,author_position,pros,cons
0,Bain & Company,Great firm,2021-10-31,5.0,Associate Consultant,"Solid culture, really cooperative, a lot of feedback both down and up, Leadership cares for employees",All normal consulting cons around hours
1,Bain & Company,Looove working here!,2022-03-30,5.0,Manager Assistant,"They really do care about their employees and even though my role is completely remote, they make sure to make me feel included. What I love about working here is they allow you to explore within Bain..they want you to succeed within the company.",I do not have any cons so far
2,Bain & Company,Welcome to Bain,2015-10-05,5.0,Manager,"Welcome to Bain.  I'm going to give you a problem that neither the CEO nor his entire management team could solve.  And I'm probably going to give you lots of different opinions and imperfect data sources.  And then I'll ask you to focus in on where the most value is and convince all those people with different opinions that you're right.  But don't worry, I'm also going to give you a Bain team.  Those associates and consultants are going to be tenacious in coming up with creative approaches.  Those managers and partners are going to knock down barriers for you, connect you where you need to be connected, guide, support, direct and re-direct you.  The office support staff is going to fix your computer after you spilled coffee on it for the third time, find you the unfindable data source, and smile and hand you a baked good after you ask for help re-doing dozens of slides.  You are empowered and accountable but you are not alone.  And the best part is you can't fail.  Because after all, what all those people are reinforcing is that a Bainie never lets another Bainie fail.","Here's how you know you've made it at Bain.  The reward for doing a good job is getting a bigger, tougher problem next time.  Meaning, you are always solving the easiest problem you will ever solve again.  This takes a lot of resilience and active managing of self-expectations to remember that you are not actually getting worse, the problems are just getting harder.  So my advice is to remember that.  And then take a second to realize that it would be a lot less fun if the reverse were true.  And isn't that precisely why you wanted this job in the first place anyway? It sure was for me."
3,Bain & Company,Only good things to say,2022-03-24,5.0,Senior Knowledge Specialist,"Everyone from the leadership to the assistants is not only smart and driven, but also kind and personable. People care genuinely about each other, the environment and the society. There is freedom to express yourself and an expectation that you will develop yourself to maximize your potential.",The cold brew can be slightly addictive.
4,Bain & Company,Best place to start a career,2022-01-20,5.0,Senior Associate Consultant,"You'll learn more here than just about anywhere else. The people are tremendous, and Bain has a rock solid culture of fun and respect that I haven't seen at other consulting firms. Your start class will give you friends for life, your managers will become your greatest cheerleaders, and if you choose to leave, the world will be your oyster.","Look, it's tough work. The hours are long, sometimes the job is uninteresting, sometimes clients are a nightmare, sometimes partners are a nightmare, and sometimes your team is a nightmare. That's life. There are other places that will pay you more, work you less, or be more interesting, but if you're looking for a well-rounded job that optimizes for all of the above factors, Bain is probably your best bet."
5,Bain & Company,"Learn a lot, work a lot",2022-03-30,5.0,Associate Consultant,Professional development as quickly as you can handle it,Consulting has very intense hours no matter where you work
6,Bain & Company,Good work ok pay,2022-03-30,5.0,Analyst,Work is interesting and people are great,Entry level comp is lower than market
7,Bain & Company,Great Culture & Opportunity to Learn & Grow,2022-03-16,5.0,Associate Consultant,"- Great culture; flat organizational structure allows you to get to know people across tenures / functions
- Abundant development opportunities; high level of ownership early in your career allows you to learn quickly
- Wide range of projects available; especially helpful if you want to transition from mbb / consulting to PE, PEG group is great",- Sustainability can suffer at times
8,Bain & Company,Excellent Company,2022-03-27,5.0,Practice Leader,"Level of training, calibre of people",Long Hours and travel to other cities
9,Bain & Company,Intnernship,2022-03-29,5.0,Project Management,"Culture, people, environment, mentorship, growth",I cannot think of any cons for the moment
10,Bain & Company,Consulting,2022-03-25,5.0,Senior Associate,Great firm and culture. Lots of opportunities to learn.,Up or out culture. It’s a positive for some and negative for others.
11,Bain & Company,Great place to start and build a career,2022-03-24,5.0,Anonymous Employee,"Top notch culture, training, and development",Extremely talented staff and high expectations - just is what it is but great to be surrounded by such a team
12,Bain & Company,Great place to work,2022-03-22,5.0,Senior Manager,"Amazing group of positive, friendly, collaborative people to work with. Genuinely have enjoyed every one of my teams. Good compensation. Lots of flexibility.","Not a 9-5, though not crazy. Maybe 55 hours on average."
13,Bain & Company,Great firm,2022-03-28,5.0,Associate Consultant,"Good compensation, great culture, great people",Work life balance is tough sometimes
14,Bain & Company,Bain deserves its high rating. People are amazing and it's an incredible jumping off point,2022-03-22,5.0,Associate Consultant,"Incredible people, interesting, great exit-opportunities",Longer work hours than a typical job but that's true for consulting in general
15,Bain & Company,great great great,2022-03-24,5.0,Account Executive,great great great great great,no cons at all at this company that I have worked for for some time
16,Bain & Company,Fantastic place to work at,2022-03-02,5.0,Anonymous Employee,"- Getting to work with many different industries and subject matter experts widens your perspective immensely.
- No one lets another Bainie fail, everyone is always there to help and support you.","- Sometimes, the workload could become too much depending on the case, but you also get free time between cases."
17,Bain & Company,Great Place to Work!,2022-03-24,5.0,Senior Associate Consultant,"Exit Ops
People / Culture
Professional Development 
Great benefits","Hours
Work from Office bias
Stress levels"
18,Bain & Company,Interview Process was Great,2022-03-21,5.0,Associate Consultant,"great people
local staffing model
high compensation","work life balance
make get stuck on cases you have no interest in"
19,Bain & Company,Great place to work (if you like consulting),2022-02-09,5.0,Senior Manager,"Great culture and mentorship - feels very supportive even in tough times, there's always multiple people willing to tell you they're invested in your success

Flexibility - lots of options for flexibility in working, can always find role models who are trying different approaches to making the job sustainable for themselves and their teams","Cases variety and sustainability can vary quite a bit - experience is driven by the cases you end up getting staffed on (especially early on there is lesser control, though at senior manager there is a bit more control on what cases you want to do)"
20,Bain & Company,Better than the rest!,2022-03-18,5.0,TSG Technician,"Phenomenal benefits across the board
Phenomenal people to work with",Work more from home as a business function side
21,Bain & Company,Company pretends to care about you,2022-02-05,3.0,Senior Associate Consultant,"Bain is a great investment in your career. You learn different skillsets, meet smart people, work in different industries and make decent money. The benefits are great. The prestige is also great. But the lifestyle is not for everyone.","The leadership loves saying how much they care about people, the welfare and mental health of employees, etc... and naive people like me usually believe that... until they actually need help/assistance with something regarding their personal lives. HR will tell you that they can't do anything because of ""company rules"". Partners will tell you the same. Colleagues will feel bad for you but cannot really do anything. In the end, you're just a number and there are thousands of other people dying to work for the company, so your particular issue is not worth their time. You work late nights, weekends, sacrifice your personal life for the job... but when you need something, you're on your own."
22,Bain & Company,Best place to work,2022-03-10,5.0,Associate Consultant,we've won best place to work many years in a row!,"like all consulting firms, there is high variance in how demanding each case can be, which can lead to burnout for some people"
23,Bain & Company,Great place to start your career,2022-03-11,5.0,Consultant,"Apprenticeship culture, Professional standards and best practices, Breadth of exposure offered","Hours can be long, and the job requires working harder than some may wish for"
24,Bain & Company,Good learning opportunity,2022-03-15,5.0,Associate Consultant,Great teams and challenging work.,"Hours can get long, especially when working from home."
25,Bain & Company,Consulting firm with the best culture,2022-02-11,5.0,Associate Consultant,"The firm has a wonderful culture: ""A Bainie never lets another Bainie fail."" This creates a highly collaborative working environment among people who are extremely high performing, which makes for a wonderful place to start a career.","It's hard to pick out any cons to working at this firm. I think most people applying to Bain have an idea of what to expect, and the firm, in most cases, lives up to those expectations at the least, if not exceeds them."
26,Bain & Company,Great company,2022-03-17,5.0,Consultant,Great people and company culture,"Small firm size, Fewer offices"
27,Bain & Company,The best company I can ever imagine working for,2022-03-09,5.0,Consulting Practice Senior Manager,"The people and culture. There are no sharp elbows, with everyone looking out for each other.",Longer hours come with the general consulting territory
28,Bain & Company,Overall great place to learn and be challenged,2022-01-28,4.0,Associate Consultant,"- Excellent, challenging work environment where I constantly am learning new things and skills, but still feel like I'm in control and well supported along the way; Great place to learn a lot very quickly!
- People are amazing - super friendly and social but also the right kind of nerdy for an introvert like me
- On balance, the average project is probably a little more sustainable and a little more interesting (skew shorter and more strategy focused) than the average project at direct competitors","- Has slightly lagged BCG/McK in total comp in recent years
- Leadership does not seem motivated to lead the way on either comp, flexible promotion timelines, or alternative working options (e.g. McKinseys 10% paycut for 10% of the year off)"
29,Bain & Company,"Bain is a great place, but work-life in consulting isnt great",2022-03-03,5.0,Senior Consultant,"- People care
- Mentorship model is amazing
- Fun, problem solving work",- Long hours. In general consulting is crazy work hours during the week
30,Bain & Company,Wonderful,2022-03-13,5.0,Executive Assistant,Amazing support and company culture,Divide between consultants and business functions staff
31,Bain & Company,Good,2022-03-14,5.0,Associate Consultant,"Great culture, home office model","Poor WLB, generally long hours"
32,Bain & Company,Remote PTA in China,2022-03-27,4.0,OTA/PTA,It is good because we can do it remotely,"However, most PTA asks you to do many tedious job like handly data cleaning"
33,Bain & Company,Best job yet,2022-02-22,5.0,Consultant,"Amazing growth opportunities, fantastic pay, great internal and external options for upward promotion, a real career accelerator, cares about employees, strong community and culture of mentorship.","Long hours and unrelenting pace of learning -- which can be tiring, though Bain is good at supporting employees in this environment"
34,Bain & Company,Best consulting firm,2022-03-09,5.0,Consultant,Best in class people and culture,"awful work life balance, but probably still better than many competitors"
35,Bain & Company,Great people rough work,2022-03-21,3.0,Associate Consultant,Everyone is great to work with,The work can be dull and partners tend to overscope cases
36,Bain & Company,Great starting point for your career,2022-02-28,5.0,Senior Associate Consultant,"- great, interesting and smart colleagues
- impactful work
- strong focus on professional development and career progression",- can be a demanding job
37,Bain & Company,"Overall good, but there are cons though",2022-03-02,4.0,Anonymous Employee,"People, growth, learning - most people are kind and very capable","You can still run into bad managers sometimes... and depending on which office you work for, some office leadership is not as good as others, making generalizations about employees and tough demands (4 days back in the office after COVID, while other offices within Bain, and competitors such as McK are not requiring that at all)"
38,Bain & Company,Not applicable,2022-03-07,5.0,Anonymous Employee,"Would recommend, was a good opportunity","See above, was a fine place to work"
39,Bain & Company,Best place to work,2022-03-08,5.0,Manager,Working with very smart peers,Promotion structure is quite rigid
40,Bain & Company,Amazing Culture and People,2022-03-01,5.0,Data Scientist,The people are incredibly smart and fun. Opportunity to work on a lot of interesting projects.,Work life balance can sometimes suffer
41,Bain & Company,Fantastic people and opportunities for professional growth,2022-02-14,5.0,Consultant,"Incredible people / culture - intelligent, supportive, collaborative, and fun. My supervisors have consistently been thoughtful people who are invested in my professional development. There’s a wide range of interesting projects that offer meaningful learning opportunities.",The work is demanding at times but sustainability is also valued.
42,Bain & Company,Advanced Degree Program,2022-03-04,5.0,Consultant,Pulls in ADs from all walks of life,WLB can be a steep learning curve
43,Bain & Company,Great place to work at least for a while,2022-02-25,5.0,Management Consultant,"great professional development, great opportunities for impact, great people and culture","intense and unpredictable work environment, inconsistency from supervisor to supervisor"
44,Bain & Company,"Great place to learn, really tough working hours and culture",2022-02-17,4.0,Consultant,"Insanely high quality learning

Career changing prestige

Work with very intelligent and motivated co-workers","High working hours (12 hour days are the standard)

Intense working hours - every 30 minutes count and you are expected to crank output

Managers are not much more experienced than yourself and have very little oversight. They control the quality of the case. A good manager means a great case and learning, a bad manager means case conditions can be bad enough to erode your mental health"
45,Bain & Company,Great,2022-03-03,5.0,Consultant,Great culture and professional development,No major cons to note
46,Bain & Company,Front row seat to cutting edge digital CX tool development and client management exposure,2022-01-21,5.0,Product Manager,This is an in-house team of Bain which works a lot like a nimble start up. Hence you get to work on a lot of different aspects around Product Management,At times you will find yourself in projects/activities that have not been undertaken at Bain before (As they are building a genuine software CX product). At such hours you might get a bit flustered and putting in long hours.
47,Bain & Company,Great benefits,2022-02-28,5.0,Administrative,Employer pays for health care,Need more diversity within leadership
48,Bain & Company,Fast-paced learning environment,2022-02-24,5.0,Associate Consultant,Great people and great opportunities to learn / stretch,Long hours can be tough
49,Bain & Company,Best company,2022-02-23,5.0,Scrum Master,"Best management and leadership team, great culture","No cons at all, everything is great about this company"
50,Bain & Company,Hard work but worth it!,2022-02-22,5.0,Consultant,"Incredible people, access, learning, and network","Very hard work, draining hours"
51,Bain & Company,Great place to work,2022-02-11,5.0,Senior Manager,"- Great compensation
- Leadership truly cares about employees
- Interesting work and great development opportunities
- Attractive and predictable career path",- Nature of professional services can be challenging from a work life balance perspective
52,Bain & Company,Fantastic workplace - if you can live with consulting,2022-02-16,5.0,Consultant,"Great people, great projects that keep you engaged","Work life balance is always challenging, ownership of your own work"
53,Bain & Company,Thumbs up,2022-02-22,5.0,Principal Consultant,"Comp, people, learning, fun, network","Lifestyle, hours, travel, demands, 24-7"
54,Bain & Company,Fantastic company delivering value while managing to keep a strong focus on the people side,2022-02-09,5.0,Consultant,"- Great colleagues
- Exciting projects across industries
- High impact",- demanding job that may not be the best choice for everyone
55,Bain & Company,Bain is an incredible place to work!,2022-02-10,5.0,Anonymous Employee,The culture is great and very supportive,"Nothing, I love working for Bain!"
56,Bain & Company,Great company,2022-02-10,5.0,Anonymous Employee,Fun place to work and good learnings,Long hours and need to be responsive to clients
57,Bain & Company,What they say is true... this is the best place to work!,2021-10-19,5.0,Marketing,"I've been at the company for over 6 months and I can confidently attest that the culture that everyone raves about in these reviews is 100% accurate. Even working remotely, there are a number of events and engagements that foster joy. My manager and team are exceptionally bright and I can learn from them - something that I value tremendously. People here presume trust and best intentions, so working with colleagues is amicable. I'm also impressed at the efforts the company is making to increase the diversity of the company and foster a greater sense of belonging across demographics. Work-life balance is more than fair and manageable as someone who works in a non-consulting function (marketing).",I wish there was more transparency around pay and career trajectories for non-consulting staff.
58,Bain & Company,Bain,2022-02-09,5.0,Grad Student,Invest a lot in your career,Have to work very long hours
59,Bain & Company,Great place to work,2022-01-23,5.0,Anonymous Employee,"Good work-life balance, opportunity to work on challenging projects, super smart and supportive teammates",By nature consulting is a step removed from operations and sometimes it feels like the impact of the work is muted
60,Bain & Company,Fantastic work environment. Inclusive & challenging,2022-02-02,5.0,Associate Consultant,"Very welcoming, huge focus on RESJ efforts, really interesting work, focused on professional development",Long hours & high expectations
61,Bain & Company,As good as it gets,2022-01-26,5.0,Senior Manager,"The culture is phenomenal, the work is interesting, and I have multiple mentors who are invested in my personal and professional success.",Really aren't any cons of working here
62,Bain & Company,Bain is a great place to work! Great people but long hours,2022-01-27,5.0,Associate Consultant,"The people
The stuff we work on
The benefits
I love Bain :)",If you don't wanna work long-ish hours this place isn't for you!
63,Bain & Company,High performance yet supportive culture,2022-01-12,5.0,Anonymous Employee,"Senior leaders meaningfully invest in development of next generation. Compassionate and supportive culture in demanding professional services context. Opportunity to work with happy, smart and fun people. Investing in ways they did not always used to.","Fast moving, which creates a 'no news is good news' environment at times."
64,Bain & Company,I love this company!,2022-01-20,5.0,Executive Assistant,I've for other prestigious companies in the past; but none have come close to matching how much I love working for Bain! This organization along with its people are AMAZING!,No complaints here. I love this company!
65,Bain & Company,good company,2022-02-06,5.0,Quantitative Analyst,good management and career development,low salary and heavy workload
66,Bain & Company,Best place to work,2022-02-02,5.0,Senior Associate Consultant,Best people you can hope for with high impact,hours can be challenging to manage
67,Bain & Company,Fantastic place to work - solve big problems while working as part of one team,2021-12-31,5.0,Consultant,"- Great culture and genuine vibes
- The team will support you and will be invested in your growth 
- Very smart folks who don’t take themselves too seriously",- Work / life balance can be tricky in consulting
68,Bain & Company,Good career starter,2022-02-04,5.0,Associate Consultant,Great support and career growth,Can be unsustainable at times
69,Bain & Company,Excellent,2022-02-01,5.0,Associate Consultant,"Nice people, great career advancement opportunities","Lots of travel, work-life balance is tough during weekdays"
70,Bain & Company,Best Place to Work!,2022-01-26,5.0,Anonymous Employee,"Best place to start your career, amazing professional development",Hours and intensity can be very demanding
71,Bain & Company,Great place to work,2022-01-28,5.0,Anonymous Employee,"Amazing professional development, interesting projects, great people",Expect to work a lot
72,Bain & Company,Truly an amazing place to work,2022-01-12,5.0,Consultant,"-Compensation
-Benefits
-Career progression
-Wonderful coworkers
-Interesting and impactful work",-Easy to slip into loving it so much that you spend too much time at work
73,Bain & Company,A great company but it's deemphasizing its culture,2022-02-14,4.0,Principal,Great people and interesting work,Company leadership is focusing on growth and results at the expense of its (formerly) strong culture and connectivity
74,Bain & Company,Good place to work,2022-01-21,5.0,N/A,Good/ happy place to work,there are no conns with the company.
75,Bain & Company,Great Company,2022-01-19,5.0,Senior Associate Consultant,"Bain is a great company for a reason. Always supportive, innovative, and great perks",Would be great to work less
76,Bain & Company,Challenges every day,2022-01-20,5.0,Partner,"Great people.
Tough problems to solve.
Real impact.",It’s hard - we don’t get hired for easy stuff.
77,Bain & Company,10/10 - Would recommend anyone to start their career here,2021-11-16,5.0,"Director, Professional Development","Amazing career opportunities, especially early in your career. Unparalleled informal mentorship and formal training. Great camaraderie and almost too much fun to be having in a workplace. The best possible training for other corporate roles.",Sometimes a myopic culture focused obsessively on 'results' and the 'Bain way of doing things.' Runs the risk of missing things that are more innovative or at the edge because of that discomfort. Less and less of a fit over time if you are not targeting corporate strategy roles.
78,Bain & Company,Best consulting firm,2022-01-03,5.0,Associate Consultant,"Unreal development and support from company
Sponsored MBA
Word class company and great peers
Interesting work","Travel for some but local staffing helps
General negatives with all consulting (travel, hours, etc)"
79,Bain & Company,Good,2022-02-28,3.0,Consultant,"Lots of work, good environment",Not really any I could think about
80,Bain & Company,they don't promote fast enough,2022-02-24,3.0,Consultant,they have good people at bain,they are too slow to promote
81,Bain & Company,Best Company,2022-01-17,5.0,Anonymous Employee,"Amazing people, great benefits, and rewarding work",Long hours depending on the project
82,Bain & Company,A great first job out of college,2021-12-29,5.0,Associate Consultant,"- Fantastic culture with an emphasis on mentorship and development
- The AC class is a strong community that doesn't feel competitive",Sustainability (both in terms of hours and job intensity) is a challenge
83,Bain & Company,NPS 10,2022-01-13,5.0,Associate Consultant,Bain is a great place to work,Don't have any downsides to share
84,Bain & Company,"Overall awesome place to work, a bit culty and the hours are long",2022-02-01,4.0,Associate Consultant,"- deep investment in professional development
- friendly culture
- awesome pay and benefits","- some forced socialization
- long hours"
85,Bain & Company,Great place to work,2022-01-11,5.0,Consultant,"Professional development, great teams, interesting work",Long hours - limited work life balance
86,Bain & Company,Good,2022-01-12,5.0,Senior Associate Consultant,Good and nice place to work,Not bad at all I like
87,Bain & Company,Great place for PD; bad WLB,2022-02-08,4.0,Manager,Great place to start your career and learn a bunch,"After the pandemic, its been challenging to find balance in the job. client services is very demanding"
88,Bain & Company,Great place to launch career,2022-01-03,5.0,Senior Associate Consultant,"great people, great learning environment, interesting work",it is a fast paced hard working job - not really a negative
89,Bain & Company,Great place to start your career,2022-02-16,4.0,Senior Associate Consultant,"Prestige, network, brand reputation, access","human resources, vacation days, diversity of thought"
90,Bain & Company,"Amazing company, amazing people",2021-12-20,5.0,Associate Consultant Intern,Had a great time working at Bain. The projects were interesting and motivating.,Fairly long hours and fast-paced which was stressful at time but overall manageable.
91,Bain & Company,Well-established recruiting career,2022-01-14,4.0,Senior Recruiter,"Bain is a large brand name that people are dying to interview and work for - it is great to work for a company as a recruiter when the recruits are banging down the door
Lots of flexibility in the role
Great benefits",Leadership doesn't listen to new or younger talent all the time - always doing what they've always done
92,Bain & Company,Outstanding place to work,2021-12-05,5.0,Manager,"Very bright people, excellent process and rigor, great training ground for a general management career.",Like all professional services it could be demanding at times. There’s definitely a Bain way of doing things so it might not always feel very creative or out of the box.
93,Bain & Company,Review,2022-02-12,4.0,Business Analyst,"- Bonus
- Status
- Interesting work","- Hours
- Culture
- Monote at times"
94,Bain & Company,Good work environment,2021-12-28,5.0,Research Analyst,Interesting work and good company culture,Very fast paced and busy environment
95,Bain & Company,Unbelievable experience,2021-12-24,5.0,Consultant,"Compensation, culture, people, benefits, learning curve, diversity, inclusion","Work life balance, constant travel"
96,Bain & Company,Amazing place for growth - life balance is questionable,2022-01-30,4.0,Consultant,"Emphasis on professional development, pay, ability to take on responsibility","Work life balance, review intensive and heavily constructive culture"
97,Bain & Company,Great place to work,2021-12-22,5.0,Consultant,Friendly people with strong culture and community,"Can be stressful, very high expectations and fast pace"
98,Bain & Company,Interesting work but challenging work/life balance,2021-12-24,5.0,Associate Consultant,Interesting work and supportive teams,Long hours and sometimes competitive atmosphere
99,Bain & Company,Great culture,2021-12-23,5.0,Associate Consultant,"Great cultures, training and mentorship",Sustainability is not ideal all of the time
100,Bain & Company,Great place to work,2022-02-05,4.0,Associate Consultant,"Great colleagues, learn lots of skills",The hours do add up
101,Bain & Company,Best place for working moms,2021-09-08,5.0,Partner,"Amazing colleagues who help you grow and develop, and who are invested in you to help you be your best self. 

The ability to build your own Bain career in a way that allows you live life fully on all fronts -- both inside and outside of work. 

Intellectually challenging and rewarding work that is worthwhile and makes a difference. 

An awesome peer group of senior women.   

Being a client facing partner and mom of little ones has been a terrific experience.",It is a challenging job that requires you to consistently work hard (50-60 hours a week).
102,Bain & Company,Great first job,2022-01-30,4.0,Associate Consultant,"Great learning opportunities, support from mentors via formal and informal professional development channels",Hours can be long and taxing
103,Bain & Company,"Mainly positive, but compensation and opportunity for  growth isn’t there",2021-10-28,4.0,Executive Assistant,"- The EA/MA team truly work together to help each other out and be supportive 
- When in the office there are lots of fun events 
- Unbelievable work life balance","- Compensation is not competitive for the Bat Area, causing a huge amount of our team to quit recently 
- Once promotes to EA there are no other promotions available. An amazing EA who has been there for 7+ years is not recognized any different than one who has been there for 6 months 
- since entering the regional model the “team” feeling isn’t there as much"
104,Bain & Company,Positive,2021-12-17,5.0,Senior Associate Consultant,People truly care about your personal development,Tough to carve out a niche at a junior position
105,Bain & Company,Consulting,2021-12-20,5.0,Student,Provides good learning experience for all,Doesn't go deep into each industry
106,Bain & Company,Love it!,2021-12-16,5.0,Anonymous Employee,People Culture Interesting Work Exit Opportunities,Long Hours Sustainability Attrition / turnover
107,Bain & Company,Great,2021-12-13,5.0,Consultant,Amazing people and fun problems to solve,Longer hours than I’d like
108,Bain & Company,Good Job,2021-12-14,5.0,Consultant,Great Place to work and cooperate,"Good salary, wellfare, overall atmosphere"
109,Bain & Company,"Great culture, but growing pains with rocket-ship growth",2021-11-10,5.0,Manager,"People are kind, humble, smart and invest in each other","The firm is growing really rapidly, leading to a number of policy changes that can be difficult to accept."
110,Bain & Company,Great place to work,2021-12-10,5.0,Senior Manager,"People, compensation, ability to learn about new industry/functions",The hours are relatively demanding
111,Bain & Company,good,2021-12-13,5.0,Engagement Manager,Salary are within benchmark I believe.,Long hours doing ppt formatting
112,Bain & Company,Continues to be a great place to work,2021-09-10,5.0,Consulting,"- Unparalleled learning with hands-on coaching and best-in-class training
- Interesting work - can try lots of new things, or specialize (after some time)
- Good work / life balance for the industry (but we're still in client services!)
- The best people. Bainies are kind, humble, and passionate about what they do.","- This can be a stressful job! The stakes and expectations are high.
- Variability of experience by case (due to client dynamics, leadership style, and case scope)"
113,Bain & Company,Great place,2021-12-07,5.0,Associate Consultant,"Great people, great learning, great vibes","As with many consulting jobs, hours can trend long"
114,Bain & Company,"Amazing people solving huge problems, but prepare for political culture with no WLB",2021-11-03,4.0,Senior Associate Consultant,"Awesome people solving fantastic and interesting problems. Amongst MBB, Bain is absolutely the best. The feedback culture and learning curves will constantly make you better!",You will always face a lack of work-life balance. You will begin to question your salaries as you step back and look at true hours of work - not as competitive as they seem on paper. Program management will put you in a box and give you a brand early - including assumptions about your abilities and attitude. Be careful.
115,Bain & Company,Diversity and Inclusion,2022-01-20,4.0,Program Manager,great additional perks and events,recruiting teams struggle with leaning into diversity initiatives and leadership is stagnant
116,Bain & Company,great people,2021-12-08,5.0,Senior Associate Consultant,"great people and culture
nice perks",long hours - depends on the case
117,Bain & Company,"No wonder it's rated ""the best place to work""",2021-10-07,5.0,Manager Assistant,I feel super valued as well as secure at Bain! The people are wonderful and it is full of networking opportunities and growth experiences.,"It is tough to move from my position into another department, I feel the experience can box you in. However it is just about seeking PD and building relationships with other departments, as well as diversifying your extra contributions (i.e. social groups, events, etc.)"
118,Bain & Company,Great professional development,2021-12-02,5.0,Senior Associate Consultant,Great people and cool projects,Long hours and potentially low sustainability
119,Bain & Company,"The best people,  work-life balance may not be worth it",2022-01-03,4.0,Associate Consultant,couldn't ask for more wonderful coworkers,"if you can work for a few years at Bain, you can probably get a job that pays similarly for much less hours"
120,Bain & Company,Truly the best place to start your management career,2021-11-15,5.0,Senior Manager,"High-level exposure to CEO-level problems early on, amazing colleagues and culture, endless investments in your development and coaching/mentoring",Client-services requires long hours and is demanding
121,Bain & Company,"Commitment to PD, great culture !",2021-11-10,5.0,Associate Consultant,"Great culture, real emphasis on supporting professional development. Good emphasis on keeping office upbeat during these difficult times.","A bit slower to match industry-wide compensation increases. Only by a couple months, not too bad."
