,company,headline,date,overall_rating,author_position,pros,cons
0,Block,Great company,2022-03-29,5.0,Anonymous Employee,Benefits and culture are reasons I love working for this company,I don't have any cons to share at this time
1,Block,Overall great,2022-03-29,4.0,Senior Executive Recruiter,"Decentralized, good leaders, good tech, solid reputation.","Cash App is very tribal (in a startup way) and, essentially, another company. Block doesn't pay as much as most FAANGs."
2,Block,Love this place,2022-03-29,4.0,Email Advocate,"Love the people, the mission, and the pay is decent",Not a ton of autonomy. Everything is tracked which is a bit demoralizing
3,Block,"Highly collaborative, great culture",2022-03-09,5.0,Technical Recruiter,"Pleasant on-boarding experience
Company equity offered
Approachable leadership
Remote first company",None yet happy with joining so far
4,Block,Great WLB and remote work policy,2022-03-06,5.0,Software Engineer,"Work life balance is great, as well as the remote work policy. Transfer process is quick and easy when moving to different locations.","Not much, have only recently started here."
5,Block,Great place to work!,2022-03-03,5.0,Global Onboarding Specialist,Great work life balance lots of opportunities to grow your career.,None Square/Block is an amazing company to work for.
6,Block,Great Place to Work,2022-03-02,5.0,Anonymous Employee,"Manager will make or break your experience here. I had a terrible manager before i switched teams, and i couldnt be happier","Lots of changes as we grow exponentially, so sometimes you will be working late"
7,Block,… A headache,2022-03-14,3.0,Customer Success Advocate,"Benefits, Perks, Co workers, remote","Pay, work load, stats… if you’re in GQ you’re basically everybody in one. They don’t train you for majority of the calls you receive… most is based on common sense and asking your trainers if they’re cool."
8,Block,Eh…,2022-03-16,3.0,Customer Service Associate,Remote work and great people,"Bad management, hard to get promoted, and not great pay"
9,Block,Love this company,2022-03-01,5.0,Specialist,"I've been at Block nearly 5 years, and I absolutely love this company. Tons of growth opportunities, lots of encouragement for self initiative, incredible benefits, and great group of people to work with.","There is a pretty toxic political work culture. If you aren't far left then it's just known to keep your mouth shut , or deal with coworkers that think lesser of you. There are also weird cliques on some teams. It's growing increasingly corporate, but that's expected of a company with such explosive growth."
10,Block,Love this company,2022-03-01,5.0,Specialist,"I've been at Block nearly 5 years, and I absolutely love this company. Tons of growth opportunities, lots of encouragement for self initiative, incredible benefits, and great group of people to work with.","There is a pretty toxic political work culture. If you aren't far left then it's just known to keep your mouth shut , or deal with coworkers that think lesser of you. There are also weird cliques on some teams. It's growing increasingly corporate, but that's expected of a company with such explosive growth."
11,Block,"Great people, confusing shift in business focus",2022-03-09,4.0,Software Engineer,"The people are friendly, communicative, and collaborative
Lots of products to make an impact on
You can get lucky and end up on some really great teams
I&D work is great","Crypto took over the place and it seems counter what the company's mission has always been 
Clear favoritism for certain projects and teams... valuable, mainstay products feel under-appreciated
Management has this vision for connecting all these disparate parts of the company, but doesn't put enough resources into making that technically feasible"
12,Block,Avoid PIE and ML Platforms,2022-04-02,1.0,Machine Learning Engineer,"Some nice people trying to move the needle. Good company overall goal.

If you don't know anything about ML and want to be an ML engineer, they will hire just about anybody and give them a Sr ML Engineer title. Got a physics degree, you are a shoe in. Economics degree and one year at a ""AI startup"", you'll be leading ML projects and a Lead Software engineer.","Toxic middle management. No real experience in ML, but leading projects just because they've been at Square a long time (probably because no one else will hire them). Management is political, will promise new features or lie just to put up roadblocks against other more qualified teams that can deliver.

The tech stack is an all inhouse nightmare, let's built it all ourselves mess. It's a bunch of engineers whose first answer to every question is , ""let's build something new"" or maybe if you are lucky they are like, ""let's buy something new and then package a bunch of our own tech around it and call it a new project"". Many of the projects are on the 4/5th iteration of just the same old tired nonsense so somebody new can be a DRI.

Instead of, you know, just using open source tools and ML frameworks that ALREADY do what is needed. But there's no promotion or bonuses in making the right decisions in PIE.

Maybe other parts of the company are better, but the PIE (ML Platform group) is career suicide."
13,Block,Great company,2022-02-18,5.0,Anonymous Employee,"Fair compensation
Flexible PTO
Good work/life balance",Can sometimes take several tries before successfully moving up as an internal applicang
14,Block,Amazing company,2022-02-17,5.0,Instructional Designer,Opportunity for career advancement is limitless. I feel empowered by my team and leadership and know that my voice matters.,The company is expanding rapidly which can put a strain on internal teams.
15,Block,Pretty decent,2022-03-01,4.0,Quality Assurance Specialist,"Block is a great place to start your career. Their benefits are fabulous, great stock options, and a lot of opportunity for internal mobility","Can be unorganized at times due to growth at hyper-speed, diminishing focus on employee experience, non-competitive wages"
16,Block,great,2022-02-14,5.0,Data Analyst,Work well grow well earn well,None None None None BTC
17,Block,Misplaced priorities,2022-02-24,3.0,Senior IOS Developer,"The benefits are pretty great. Flexible time off, remote work, etc.",They really do confuse complexity with quality here. Every sprint is an exercise in biting my tongue as people clamor to pad their promo packets.
18,Block,Honestly all around great job.,2022-02-10,5.0,Senior Account Executive,"Work life balance

Great benefits

Competitive pay

Supportive environment for sure.","Really struggling to figure out their outbound sales team.

Quota was set from when they were all inbound sales, and they kept those same expectations for when they went outbound which does not make sense."
19,Block,Management infighting,2022-02-25,2.0,Anonymous Employee,Easy to do nothing and still get paid,Everyone else is taking advantage of the pros
20,Block,Seller org sucks,2022-03-14,1.0,Software Engineer,People are respectful and are easy to work with.,Zero innovation! Bad leadership and plagued by politics. Too many old timers who are just coasting.
21,Block,Great place to work,2022-02-08,5.0,Anonymous Employee,Love the mission and ecosystem,Your org might not get funding
22,Block,Leadership should have listened,2022-02-10,3.0,Senior Account Executive,"- Product is pretty revolutionary
- You get to empower small businesses everyday
- Great benefits","- Widespread cheating in the sales org
- AEs do the role of a sales rep, tech support specialist, CSM, and integration specialist. There are support teams for these tasks, but they were scaled disproportionately slowly compared to the sales team. 
- AEs aren't vertically specialized, so their attention is not only scattered between tasks, but also between products"
23,Block,Unrealistic Expectations,2022-03-09,1.0,Account Executive,"Benefits, stock plan, great colleagues","There are some serious unrealistic expectations in the sales organization. The number of talented AEs leaving Square is very discouraging. Many sales leaders are very inexperienced and fail to listen to AE concerns. Compensation could be decent, but the vast majority of reps are not even close to hitting quota so they are not benefitting from what they could be making. The compensation is pretty much your base salary plus a few hundred bucks every quarter. The product is great but unfortunately the sales organization needs to really reevaluate how they will encourage reps to stay."
24,Block,Great place to work,2022-01-27,5.0,"Manager, Business Development",flexible hours for most of organisation and upwards mobility,culture is very woke and leftist
25,Block,Love working here!,2022-02-02,5.0,Anonymous Employee,"Work life balance 
Benefits 
Inclusivity",None I can think of
26,Block,Great place to work!,2022-02-16,4.0,Product Manager,Square was a wonderful place to work with incredible design and engineering talent which made my job as PM particularly enjoyable!,Not always the fastest moving
27,Block,Great product vision but poor execution at team level,2022-02-13,4.0,Data Scientist,"Work life balance is great, and people are nice",Product teams don’t talk to each other enough to reconcile roadmaps based on the strategic vision from the leadership
28,Block,Great place to work!,2022-02-01,5.0,Anonymous Employee,"Great benefits
Competitive salary
Cares about its employees and sellers",teams work well together but a centralized knowledge base is need.
29,Block,Great place if you succeed,2022-02-10,4.0,Business Development Representative,Great team members and benefits. Great pay if you hit quota,"Political, hard to hit quota, favoritism and looking the other way when people are working the system is obvious"
30,Block,Great place if you succeed,2022-02-10,4.0,Business Development Representative,Great team members and benefits. Great pay if you hit quota,"Political, hard to hit quota, favoritism and looking the other way when people are working the system is obvious"
31,Block,Love it here!,2022-01-25,5.0,Compliance Analyst,"Great benefits (medical, 401k, wellness, WFH reimbursements etc)
Compensation
Unlimited PTO",Don't have any cons at this time
32,Block,Great company,2022-02-04,4.0,Product Manager,"Great leadership, collaborative work environment, great benefits and flexible time off","Work load can be excessive at times, especially since everyone is WFH"
33,Block,On a Downward Spiral,2022-02-03,2.0,Team Lead,"Very smart people from all different industries. Mostly everyone is willing to help or point you in the right direction.

Senior leadership is generally very understanding of mental health, taking time off, and offering resources to help support you. However, YMMV depending on your manager.

The ability to wear multiple hats and learn quickly in different areas, even if it is beyond your expertise.","Lower compensation than other tech companies. Lower base, no cash bonuses, stock that used to be high-growth, but has been on a downward spiral since the second half of 2021.

Obsession with BTC/crypto/blockchain. They are putting all their eggs in this basket and every decision is meant to push the company further in this direction. People might be thinking they are joining a global fintech leader, and instead are going to a company who's stock price follows the same volatility as bitcoin.

Burnout is real. When certain leaders of organizations don't care whether you stay or quit, how you are doing, whether you live or die, it sounds like lip service from the top pretending to care about mental health. You will be forced to put slack on your personal phone, and they will contact you during weekends, holidays, pto, etc. for fake fires 365 days a year.

Speaking of these ""leaders,"" some of them pretend to care but they clearly don't. Jack and core will talk about and offer support during Black Lives Matter protests, or Stop Asian Hate, or the Capitol Riots, but there are other sociopaths at the company who really don't care. Cash App was plastered all over the ring during Logan Paul vs. Floyd Mayweather. When people brought up domestic violence against women, they made it clear that is their customer base they are targeting and they really don't care what you think. Thanks for showing your true colors!"
34,Block,Great Place to Work!,2022-01-21,5.0,Customer Success Advocate,"Nice benefits, time off, and genuine care for employees.",I have yet to find one.
35,Block,Great company,2022-01-20,5.0,Software Engineer,"Good salary & perks
Nice people to work with","Too much legacy code
Stock vests in 4 yrs"
36,Block,Amazing culture,2022-01-19,5.0,Anonymous Employee,No company culture will ever match this. Amazing community. Most supportive understanding real people I have ever had the pleasure of working with.,Volatility with Jack and the crypto space. Effecting share prices.
37,Block,Great culture,2022-01-17,5.0,Anonymous Employee,"The whole company has a nice transparent culture. You'll know how the decisions are made and thus feel a part of the whole team. 
This company is always trying to do new things and encouraging the employees being creative.",The stock is volatile... but hopefully it will go up soon
38,Block,Good Company,2022-01-29,4.0,Program Manager,Job has flexibility that is a plus.,"High attrition means established processes have either no documentation, have conflicting elements from previous employees, or a mix of both."
39,Block,Employee focused with tons of flexibility.,2022-01-13,5.0,Senior Director Treasury,Flexible work hours to work when you feel the most productive. (If your job allows is) Flexible work locations allowing remote work from practically anywhere.,Fast paced with constant changes and improvements.
40,Block,Software Engineer,2022-01-13,5.0,Anonymous Employee,very good work life balance,sometimes feels isolating at work
41,Block,A. M. A. Z. I. N. G. Company,2022-01-12,5.0,Senior Cloud Applications Architect,"I started looking and applied to a tone of companies once my former company was forcing us to go back into the office. Plus, it was just time for me to move on. Square was my TOP-PICK.

- FLEXIBILITY and Work/Life Balance - (they were one of the first companies to allow employees to choose to WFH full-time back when the pandemic first hit - This alone speaks volumes). I was looking for a fully remote role and I got it!!!! 
- HIGHLY competitive compensation
- Personal and Professional Development is wonderful and exactly what I was looking for
- Amazing Benefits and Perks (Monthly WFH stipend, Monthly wellness perk, discounts at various businesses, etc.)
- Overall just an awesome culture and place to work!",Nothing! I have no complaints.
42,Block,Good Company,2022-01-25,4.0,Account Executive,"Good benefits, stock options, fun product",Pay and commission are low
43,Block,"Culture of Nepotism, Alcoholics, and Cliques",2022-02-09,1.0,Software Engineer,I met some great coworkers here.,"Compared to their peers, Block pays below average. Their refreshers are roughly around 5-15% instead of the standard 25% of your initial offer. I know people who got $6k/yr grant as a refresher vs the expected $20k+/yr grant as a refresher (for their respective level).

Block's culture is rampant with alcoholism and cliques. When we were still in the office, they had a weekly meeting on the rooftop where all the ""old guard"" (actually what they called themselves) would grab a beer and drink. They were all white males and not very inclusive of others. Managers were also especially bad about this - they would regularly skip meetings with people to go out to the Market for a beer run and drink with one another during company hours. 

Register and Cash are fighting with one another internally - Cash keeps cannibalizing the rest of Block by literally poaching other Block employees (sometimes to the point of starting the poaching right after someone joins Block).

The company also has a history of rewarding Nepotism. People who have tenure or have special connections continue to be rewarded despite not delivering results. Managers are able to make up metrics and lie about their directs. They also don't undergo training and several managers contribute to an abusive culture. HR isn't there to help you - they will only cover for the manager."
44,Block,It's ok,2022-01-25,3.0,Retail Associate,"The Pay is pretty good
Benefits
WFH
vacation time","the metrics are hard to meet, even for a seasoned rep, it's not easy to do everything they need you to do with the small amount of time they give you in between calls. at the end of the day it's a call center, you have to deal with customers. they have no culture, only one lead for about 40 reps means you rarely talk to your lead, it takes a super long time for leadership to get back to you when you need help."
