,company,headline,date,overall_rating,author_position,pros,cons
0,Coldwell Banker,Coldwell Banker La Jolla The Best!,2022-04-04,5.0,Real Estate Agent,Great staff and supportive office manager. The best real estate office I've ever worked in. It was like a family. Really miss my co-workers. Beautiful office with views of the ocean. CB has plenty of marketing tools to help you succeed.,Finding street parking for office and weekly meetings.
1,Coldwell Banker,increds,2022-03-31,5.0,Realtor,Real estate technology is top tier and 10x better than the pyramid scheme kw.,Not a thing. Absolutely increds.
2,Coldwell Banker,Agent,2022-04-01,5.0,Anonymous Employee,Great managers and agents who helped me thrive.,I didn’t have any cons.
3,Coldwell Banker,Great company to work for ..,2022-03-25,5.0,Sales Associate,My office manager in Manalapan/Marlboro Office is the absolute best ... very supportive and helpful.,Stingy with the commission splits.
4,Coldwell Banker,In-depth Honest Review,2022-03-21,3.0,Marketing,"Pros if you are an agent - There is nowhere better than CB. 
They have the best combo of trainers, tools, and splits you will find. Amazing staff that will go above a beyond. Though each office has its own unique culture all try to be inclusive to all types of agents whether you just want to do one deal a year or want to do a hundred. 

Pros if you are staff - 
+Lots of opportunities to try out new skills. 
+No higher education is required (formal degree). 
+Challenging work but nothing extremely difficult if you are good enough with computers. 
+You are paid overtime if you go over 40hrs at your usual rate (though working OT is frowned upon). 
+Lots of paid holidays off plus 2weeks vacation after first few months, 401K matching, health benefits are... passable. 
+There are almost always snacks and drinks of all kinds in the office.
+Most managers (in our area) are flexible if you need time off or just to leave early for an emergency/life. 
+You'll work with passionate people who will bring out the best in you.","Cons if you are an agent - literally none. Seriously the best place for agents.

Cons if you are staff - TLDR: You will be underpaid and over-relied upon. 

-The staff who last at CB are the ones who truly care about their agents and the company - and both parties take advantage of that mindset. Agents have no boundaries for your personal life or time and will demand a 2-day project to be done in an hour.
-There is no formal training. If you are not a ""self-starter"" to an extremely high-degree these jobs will seem impossible.
-Recognition is not bad but it will never come in the form of a significant raise but rather in shout-outs and maybe gift cards. You can hit every metric and be the best employee but you'll likely still see the same 1-2% ""raise"" as the one who did the minimum. 
-If you work in an office, leadership will always side with the agents even when it's a written rule."
5,Coldwell Banker,Easy to get ahold of manager and helpful staff for paperwork submissions,2022-03-15,5.0,REALTOR®,Never had an issue getting an answer to a question. Free CE classes.,50/50 split on all commissions to a certain point.
6,Coldwell Banker,Coldwell Banker,2022-04-04,4.0,Realtor,Well Organized. Great Technology. Great Support,huge company and lack of referrals
7,Coldwell Banker,The Best,2022-03-21,5.0,Sales,"Unmatched technology, free classes & certifications, unbeatable marketing",You need to work hard and be good at being self-directed
8,Coldwell Banker,Great company,2022-03-23,5.0,REALTOR®,"Systems, own schedule, training and resource galore",A lot to learn. Can be overwhelming
9,Coldwell Banker,Great!,2022-03-21,5.0,Marketing Coordinator,"- Very friendly agents in the office 
- Lots of room for creativity",- There are no cons!
