,company,headline,date,overall_rating,author_position,pros,cons
0,Delta Air Lines,Awesome place to work,2022-03-30,5.0,Red Coat,Everything!!!! Cannot say anything bad about working here,Nothing that I can think of!
1,Delta Air Lines,If you hate a 9-5 and working from a cubicle I say this is the job for you!,2022-02-23,5.0,Flight Attendant,"If you hate a 9-5 and working from a cubicle I say this is the job for you! Coming from someone that's done it, it's definitely refreshing. However, I will say Covid has affected the way I feel about this job. Overall, the aviation industry has taken a hit as a whole which the world has been able to see through the news and social media. With all of this being said, I used to look forward going to work and getting to explore a new city or country but now all I hope for when I step on a plane is to get home without being screamed at or a black eye. The benefits are great and the culture is a very family oriented one, the pay can use some work but it's still competitive to other airlines. Covid is slowly becoming something we're all learning to live with because it doesnt seem to be going away any time soon so I will say that I do have hope things will slowly normalize and passengers will have a less aggressive demeanor towards all staff. Once federal mandates get flexible and airfare rises back up again I would say its worth the shot on joining the team.


Pros- flight benefits, discounted/free perks with partnering companies, health benefits, good retirement plan, profit sharing bonuses","inconsistent & hard/unflexible schedule as a junior in the company, emotionally draining, long work days"
2,Delta Air Lines,"Great work environment, good pay, stable company, excellent benefits",2018-03-19,5.0,Associate Software Developer,"Flight benefits are the standout benefit for sure. Aside from that, the work in the IT department is project based, so very team oriented with steady, predictable work patterns. Positive environment with good management.",Very hard to stand out in such a large company. Promotions are few and very far between. Commute to the main office can be rough being located on the south side next to the airport
3,Delta Air Lines,Flight Attendant,2015-09-18,5.0,Flight Attendant,"Awesome company to work for!  Fun work environment, cares about employees, great uniforms, competitive pay, just an awesome company to work for! They are very flexible, you can live anywhere in the world you want, as long as your able to get to work when you need to be there!","At the end of the day, it is a very large corporation.  So it is very easy to become just a ""number"" in the company.  The flight attendant group is not unionized, so rules can change very often. Make sure your time management is impeccable, because you cannot be late for work AT ALL, and there aren't many acceptable excuses, even rain is not an excuse."
4,Delta Air Lines,No Integrity,2022-03-27,1.0,Flight Attendant,They present themselves good but it's only facade,"I was interested in appliying as a language of destination flight attendant, so I sent a very politely and respectful formulated mail with two questions to the service who treats accommodation for people with disabilities because I am concerned.
They never sent an answer!!! They do not even have the slightest respect to respond!! Where is this integrity they speak about the whole day when they don't even have a minimum of respect? For comparison: I sent the same question to the european leader (and one of the world leaders), the famous L. group, and they responded immediately the next day in a very careful and detailed manner. I understand now why Delta is only a 3 stars company and L. a 5 stars company. So I decided to apply for L. Since this experience I think it's clear that all this talking about integrity, respect, diversity and inclusion are only marketing strategies without a real base."
5,Delta Air Lines,Reservations Agent is My Job,2022-03-22,3.0,Customer Experience Specialist,"Lots of positivity in the environment. When the Company does well, all employees are rewarded.","In my particular area of work, the amount of training that used to be offered to starting employees has been cut by about 2/3rds. Sometimes I feel that there is no way to help a customer because I simply don’t know how."
6,Delta Air Lines,One of the 2020 Fortune 100 Best Companies to Work For,2022-03-27,4.0,Sales Account Executive,"Delta has been named one of the 2020 Fortune 100 Best Companies to Work For, according to global research and consulting firm Great Place to Work® and Fortune. This is the fourth straight year Delta has earned this honor.","Promotions are hard to come by. 

Getting hired at Delta is about as difficult as it is at any Fortune 500 company. It may take several weeks for the process to be completed. As always, knowing someone inside the company never hurts. As a matter of fact, if you get a referral, it typically guarantees a call from a Delta recruiter."
7,Delta Air Lines,LAX Cargo,2022-02-08,4.0,Cargo Agent,"LAX cargo is a great place to work. Parkings no hassle, good pay, GREAT benefits. A handful of co workers who make the workplace great and make it feel like a family. I love Delta as a company but this department and new management has alot to change.","Management uses fear and lies alot to new employees. They also have a lot of favoritism especially to the ones theyre friends with. LAX has a small circle of friends within so if you complain or fight for something, they will turn on you and make your life miserable. No benefit of the doubt to employees. They will write you up for stupid reasons to make u stay and not able to transfer. Work drama and favoritism is at its best in the morning shifts. Co workers in this shift, talks alot behind other employees back. As co workers and managements are friends in this shift. Delta has a open door policy yet this management in this department will not listen or care. If you wanna complain, talk to Atlanta and not LAX HR."
8,Delta Air Lines,Love DAL,2022-03-21,5.0,CSA Ticketing Agent,"Great benefits, training, opportunities, flights go everywhere, great company to work for.","Because people never leave the company, may not receive a good shift due to so many employees have decades of seniority. Numerous people have several decades of experience, they never retire! Usually have to work weekends due to low seniority"
9,Delta Air Lines,It's a starter job,2022-03-31,3.0,Customer Experience Specialist,"-benefits (401k, health, dental, life, etc)
-flight benefits","-micromanaging
-may take years to get a good schedule
-short training period for a difficult job"
