,company,headline,date,overall_rating,author_position,pros,cons
0,Estée Lauder Companies,great company,2022-03-13,5.0,Executive Director,"Benefits, internal growth, support, and","compensation, compensation, compensation, and compensation"
1,Estée Lauder Companies,"Good benefits & work/life balance, Poor pay & opportunity for growth",2022-04-03,3.0,Analyst Package Development,"Good work life balance, 35 hour work week, 13 company holidays + half days before many of the holidays, Summer Fridays, gratis, company discount, good mentorship can be found if you know where to look and the right people to ask.","Pay is decently less than the average in the industry, with only a 2% inflation pay raise once a year, (with the exception of no raises, inflation or otherwise during 2020) unless you receive a promotion. Promotion pay raise was surprisingly low at 8%. Any type of movement in the company takes multiple lateral moves before receiving a vertical promotion. Company promotes ""stretch assignments"" which are a nice way of giving someone two or more jobs but the Company does not allow the work, knowledge or experience gained in these stretch assignments to be used for internal lateral moves to another department. Any type of internal movement or promotion can take incredibly long, two years in my experience."
2,Estée Lauder Companies,Company cares even during tough times,2022-01-07,5.0,Regional Education Trainer,"I do love working for the corporation. There is a lot of opportunity to move around within different brands, within corporate as well as within the global department. They also know how to take care of their employees especially in the upper field positions. There are many perks such as a company car, gratis rewards, random bonus incentives, etc. Even during the tough economic times right now with Covid there has been a lot of restructuring that has had to happen that most businesses have had to do. Estée Lauder companies has really done it in a classy way of making sure that the people that they’ve had to let go that they’ve taken care of really well as well as they are quick to try to bring people back as soon as similar positions open up for them.",Because the retail landscape is changing so much that means staffing and restructuring Hass to happen quite often unfortunately. It does leave you feeling uncertain about your job at times because in the past five years the organization has seen continuous restructuring’s in the US. About 10 years ago there was a lot more job security than there is in today’s times.
3,Estée Lauder Companies,great company,2022-04-04,4.0,Lab Technician,"great company to work for and grow with, to gain more experience",none so far right now
4,Estée Lauder Companies,Great opportunities,2022-04-01,5.0,Procurement Analyst,Working for the Estee Lauder Companies has been very rewarding and they offer a lot of growth opportunities.,A lot of high expectations.
5,Estée Lauder Companies,Seeking Appropriate Pay Rate,2022-03-30,4.0,Scientist,"Great people, interesting products, focus on diversity and inclusion.",Communication issues at upper levels.
6,Estée Lauder Companies,Stay clear!!,2022-03-29,1.0,Anonymous Employee,Great perks and if you negotiated your salary well then you will have a nicely paying job that will cost you your sanity.,"I dont think I can list all the cons here.

It starts with the Leadership Team. ( Toxic, self-absorbed, out of touch with reality).
It is a top-down company. You have the toxic (all hands off) leaders in seats pulling the strings ( only their self interest in heart). If you are not in that group then you are just a number! 

Don't join this company if you have career goals. If you want to stay in the company just find your circle and hope you are in the right group. If not, just buckle up for real life Game of Thrones."
7,Estée Lauder Companies,Great company culture,2022-03-31,5.0,Designer,"Great company culture, lots of holidays, and benefit",overall are competitive and stressful
8,Estée Lauder Companies,Great people and company overall but not  many career opportunities,2022-03-29,4.0,Senior Scientist,"Great culture/people 
Great benefits 
Flexible hours","Difficult to switch to new roles/opportunities 
Lack of formal training"
9,Estée Lauder Companies,Good,2022-03-31,4.0,Director,Great people on my team,Nothing of note from ELC
10,Estée Lauder Companies,Great Company,2022-03-30,5.0,Sales,"Amazing management and flexibility, great work environment.",Management changes from time to time
11,Estée Lauder Companies,Great Company,2022-03-30,4.0,Associate Scientist,Great work/life balance. Good benefits,No cons that I can think of
12,Estée Lauder Companies,Sales coordinator,2022-03-30,4.0,Sales Coordinator,Benefits are better than others,Environment of the work place
13,Estée Lauder Companies,Love this company,2022-03-28,5.0,Anonymous Employee,"Flexible, good management, strong values",Set high expectations for associates who are still in a pandemic
14,Estée Lauder Companies,Great Company,2022-03-29,5.0,Assistant Manager,Great family culture and amazing benefits package,The compensation is not competitive
15,Estée Lauder Companies,Full of opportunities,2022-03-24,5.0,Project Manager,"Great team, great support, normal working hours. Also, company benefits are unmatched!",Trying to take away WFH flexibility
16,Estée Lauder Companies,Good culture and smart people,2022-03-24,4.0,Finance & Strategy,"- Great culture and people
- Opportunity to move around internally 
- Leader in beauty sector","- Salary below average 
- Slow moving given size of company"
17,Estée Lauder Companies,Not a bad place to learn the ropes,2022-03-24,4.0,Lead Planner,great immediate team that worked well together to produce results,challenging management that was stuck in the stone ages and did not understand fast paced growth.
