,company,headline,date,overall_rating,author_position,pros,cons
0,Fidelity Investments,Fantastic company,2021-12-01,5.0,Customer Service Representative,"Accommodating, training and growth are big. If you take your development serious it is a good company to be at.",Networking is key. Must network to have good career development.
1,Fidelity Investments,"Tough job, Great Opportunities",2022-04-04,5.0,Financial Associate II,Great training and benefits. Leadership cares about associates. D and I focused.,Very metric driven. Customers can be rude and demanding.
2,Fidelity Investments,Great career-starting company,2018-06-11,5.0,QA Engineer,Benefits including profit sharing and bonuses are great. The breadth of this company provides a great opportunity to try out different career paths or boost your current one.,"In my current role, I am working overtime more often than I'd like with recognition that seems to only go so far until it sizzles out. That may be tied to the size of the company itself, where promotions work in a ""trickle down"" manner."
3,Fidelity Investments,Grow career and skills - then proactively leave,2022-04-04,2.0,Account Executive,"Profit sharing is the best in industry - you need to stay 5 years to keep it
Career growth and training is excellent - as long as you know the right people
Tuition reimbursement is excellent
Remote work is very nice","Read ""Think Again"" by Adam Grant - Fidelity is one of those companies that does not encourage thinking outside the box. 
Being wrong is not a virtue, nor is humility. 
Egoism thrives at Fidelity. 
Not a safe place for questioning the status quo. 
Do not criticize the process. 
Its all about who you know and not what you know.
Skills development is limited. Once you hit the limit, hit the door on your own and look for a company that encourages personal growth, otherwise you might get stuck in your role with no relevant skills. 
This is a spreadsheet and numbers company, not a people company. 
Your experience is highly dependent on your manager, who likely did not even do your job."
4,Fidelity Investments,Good company with good people,2022-03-30,5.0,Customer Relationship Advocate,"The benefits are good, the people are nice, and the company does try hard to take care of the employees. 7% 401k match dollar for dollar and full health care coverage on day one. 25 days of PTO for first year employees.","A lot of people working from home so it is hard to get to know your coworkers. A lot of time on the phones, but I would say 95% of the clients are nice. You have to pass your Series 7 & 63 pretty quick, they let go a few coworkers for not passing on the first try."
5,Fidelity Investments,Great benefits not so great working environment,2022-03-03,3.0,Business Transformation Consultant,"benefits, bonuses, locations, peer expertise levels","not a lot of upward mobility, hybrid agile work environment (can't quite get there), having a hard time competing for high-quality talent, revolving door remote work model"
6,Fidelity Investments,Constant opportunity for development and growth for those who want it,2015-03-02,5.0,Anonymous Employee,"Large, privately held firm with values that are reinforced at all levels of leadership. Career opportunities are ongoing and the vast majority of people at the firm will help you progress if you're willing to do the work.
Fidelity provides exceptional benefits with options based on personal needs and various family situations. While pay and bonus structures are sometimes criticized, being patient will pay off for those who are willing to wait.","Fidelity retail is open 24 hours, causing scheduling conflicts for some candidates
Career tracks within the firm can be limited due to licensing requirements, or lack of licensing flexibility in the groups"
7,Fidelity Investments,"College Grads Beware, this is a call center",2022-03-13,1.0,Anonymous,"benefits, beautiful campus, work life balance","During the interview process, they change the wording to make it seem like it’s not a call center, but it is. We take calls back to back and follow a strict schedule. If we don’t follow the schedule, then we get yelled at by our managers. I was in a post grad rotation program and our managers basically treat us like kids. It’s pretty cringey and not professional. I felt like I was still in high school going through this program and I don’t really feel much growth. I didn’t go through college just to be stuck in a call center role, getting berated by customers on the daily. I felt like I was lied to during the interview process, because they market this opportunity in such a different way. Just tell us straight up that this is a call center and not waste anyone’s time. Majority of the roles within the company are call center positions, so there’s no way getting off the phones. The one thing I don’t understand about this company, is that the pay is so bad, but people are still so enthusiastic about their job, getting yelled at by customers and being “customer obsessed.”It gives off cultish vibes. Anyways, it takes a certain personality to really like being on the phones and following a strict schedule with a timed 30 minute lunch."
8,Fidelity Investments,Fantastic Employer !!,2022-03-31,5.0,Contract Manager,"The company and corporate culture at Fidelity is outstanding. I couldn't imagine a better environment where everyone wants to help each other learn, be successful, and experience different positions. If you are looking for a company that has a fantastic culture this is the company for you.","There are a lot of acronyms used at Fidelity, and a lot of different titles that you will have to learn over time."
9,Fidelity Investments,Wonderful Place To Work,2022-03-31,5.0,Senior Technical Business Analyst,Fidelity is very invested in the success of their employees.  Very collaborative environment with room to explore different career paths.,"Annual bonuses are based on stacked-ranking, which means even if everyone on your team is goes above and beyond or does the work of 2 people, almost all will get ""meets expectations"" and at least one or two exceptional employees will have to be in the ""needs improvement"" bucket."
10,Fidelity Investments,Wow! They call it financial Disneyland for a reason.,2022-03-20,5.0,Client Management Representative,"Too many to list them all. The pay is good, extensive benefits, great training, fast promotions, and a contagious positivity! I have been around a decade in this business at 3 prior firms and none were half as good as fidelity. I am happy to sign on everyday and the relaxed dress code makes me feel comfortable! I could see myself retiring here and that says a lot since I’m 30 years away!",Not one that I have seen thus far.
11,Fidelity Investments,Great place to launch career,2022-04-04,5.0,Accounting Director,so many different types of accounting roles and easy segway into Finance roles,"morale, in the accounting department only, can be a bit dependent on your direct manager's attitudes"
12,Fidelity Investments,Great Culture and Hours,2022-04-04,4.0,Customer Relationship Advocate,CRA is a great place to start and get your licenses. Lots of PTO and an easy job. Pays well for what it is.,"Boring. Many hours of dealing with incompetent elders who can't work a website. No way around using the website, so you are stuck helping them. Not that much room for upward mobility. Stuck at the same role for at minimum 1 year, per contract."
13,Fidelity Investments,"Good Culture, Low Compensation, Weak PTO",2022-02-09,3.0,Director,"Work and life balance is very manageable
Your ability to move within the organization is very high
Generally, the benefits are quite respectable, if not good.","Very low take-home compensation in relation to competitors -- after I moved business units the number of people I talked to who took pay cuts to work at Fidelity was surprising. A variety of reasons for taking the pay cut mind you -- family moves, future opportunities at the firm, disliking their current employer that much, etc.

A very notable alert if you evaluate and offer is that the Paid Time Off is a shared pool between vacation and sick time. You are required to reserve days in case you get sick. If you use too much of either you then have to ""purchase"" additional time. I come from the tech world historically, and this was incredibly surprising. I am not alone in not recognizing that this was the case prior to joining the firm. I, and others, just assumed that PTO was vacation only."
14,Fidelity Investments,Overall a great place to start a career,2022-04-03,5.0,Customer Relationship Advocate,I always feel like I can reach out to any of my colleagues with assistance on a topic I'm not as knowledgeable on.,Rigid way of doing things
15,Fidelity Investments,Great Company,2022-04-04,5.0,Customer Relationship Advocate,Awesome work culture! Great company all around.,Licensing can be a bit of a hassle.
16,Fidelity Investments,Loved it,2022-04-04,5.0,Internship,Great team great experience and an awesome program,Nothing it was a great experience for me!
17,Fidelity Investments,Really great company if you do your time.,2022-03-11,5.0,Senior Business Analyst,"Very robust benefit package
-PTO
-Family/adoption benefits
-Tuition reimbursement 
-Medical
Lots of opportunity for growth and development 
They’re investing a lot to stay competitive and it shows.
If you’re in your early 20s get in early and it will do a lot for you.
Generally speaking, there is a lot of good leadership.","Base pay is relatively low for middle management/Sr individual contributor roles compared to other employers. This can make it hard to retain good talent. 

Some managers are incompetent. This serves to the detriment of the team and their goals. 

Bit of an old company but they are going to great lengths to modernize."
18,Fidelity Investments,Not what you think,2022-03-24,2.0,Customer Relationship Advocate,Company will provide additional supplemental income like retention bonuses because they know the job is tough,"Took this job straight out of college thinking I’d be able to move up quickly. But pretty much anything you’ll move into will be another phone role. If you’re looking to move into leadership, don’t bother, they look for mostly outside experience which I literally heard from the mouth of one of the higher-ups. 
Call center work, boring, monotonous, mind-numbing, especially if you WFH and take back-to-back calls for 8 hours a day. I found myself being cursed out, threatened, called incompetent, a criminal, etc by clients which only made it worse"
19,Fidelity Investments,Good experience,2022-04-04,5.0,Customer Relationship Advocate,"Good work life balance, training and benefits.",Customer service with constant customer interactions.
