,company,headline,date,overall_rating,author_position,pros,cons
0,First Republic Bank,Salesforce business analyst,2022-04-02,5.0,Salesforce Business Analyst,Great company.a good place to learn and grow.,No downside as such. no remote work
1,First Republic Bank,"Supportive, inclusive and fun",2022-03-14,5.0,Fraud Analyst,"High expectations for personal performance, great pay, great benefits, team very helpful and willing to train or answer questions.","Upper management offers empty promises of support and understanding to employees in personal crisis. In my case I was having performance related issues due to personal matters outside of work and a recent diagnosis of major depression. Management met with me to discuss and referred me to HR to take advantage of the ESP but during the process of completing the suggested steps of having a provider complete FMLA paperwork and request for accommodation I was fired. Clearly they were not interested in assisting an employee they claimed they had concern for and an interest in retaining as they said. 

Also, I was a remote employee and sat for 1 month after I was hired before training for my role even started. When training did start it was poorly organized and my suggestions were basically in one ear and out the other. The home office is based in SF, CA and I was in Boston, MA. We had to contend with technology issues and the time difference."
2,First Republic Bank,"It's great for some, but it's not for everyone.",2022-03-27,3.0,IT Contractor,"Good pay and benefits, reasonable hours. Cafeterias are subsidized. Stock has performed well for those in the ESPP.","This is not a traditional relaxed banking environment, more like a frenzied start-up. 

Turnover rate is high in the first 30 days (the Bank offers a financial incentive of an additional 1 months salary for those who choose to leave or are asked to leave within 30 days of hire). The termination process for all is immediate, and there are no probation plans. 

The Kool-Aid factor is high, so you either buy in or you don't. If you don't you need to be really good to stay in your job. 

The Bank currently has a hybrid work model, but some/many employees feel compelled to come into the office most days.

Some employees find their niche and stay long-term, but others find themselves in high burnout roles that are not sustainable for more than a few years.

Customers and customer service is the top priority of the Bank, with regulators coming next, then investors and employees.

The tone from the top differs greatly by department, so ratings for the firm as a whole may not be especially relevant.

Has weird cultural traits, like no org chart for a company with 6000+ employees."
3,First Republic Bank,"Fantastic culture, benefits & compensation",2022-03-30,5.0,Human Resources,"Excellent leadership, culture, core values (which everyone practices and recites regularly), compensation, benefits and perks. I feel so fortunate to be part of an organization that truly wants to do the right thing in every aspect of the business. They're also big on promoting from within and encouraging transfers if you're not quite in the right fit in your current role/department.","I've heard that the speed at which we operate can be a little too fast paced for some. But coming from the legal world where it can be like pulling teeth to move the needle on initiatives/projects, the pace here is refreshing to me."
4,First Republic Bank,Don’t Work For Lending Services,2022-03-03,3.0,Operations,Strong company with good pay and benefits.,"While the company has a great culture, promotes employees well being, growth and support, there are some departments that are absolutely awful and Lending Services is leading the pack. There is no respect, support nor appreciation for the production teams within this group. Closing and servicing teams have been mistreated, understaffed and overworked for a decade. The two senior authoritarian “leaders” that have been managing this department for over 10 years work in a vacuum and have zero compassion or respect for their operations teams. The level of their politics, favoritism, bias, control, gossip, lack of transparency and communication is unacceptable and shouldn’t be tolerated. Despite numerous complaints to HR, high turnover, especially amongst the managers who tried to make changes, nothing is being done by HR and executive management."
5,First Republic Bank,Lending Services,2022-03-24,3.0,Closing Specialist,"This team is dynamic, hardworking, and a proud team. We work so hard to meet banks needs and growth. The leadership team is amazing, ethical, they have the team members and the bank at heart. Our team had grown double its size in the past 2 years during COVID, they did everything they could to onboard, welcome, and train all new colleagues to do the best job they could. All this was done in a challenging time. Managers and team members worked side-by-side to meet the growth and keep our internal and external clients happy. Top Leaders are the motor of this team, and the most ethical, transparent, and fair leaders. Lending Services department is a great department to work for.",Work-life balance is challenging due to the growth of the company.
6,First Republic Bank,"Great Place to Work At, If You Find the Right Team",2021-12-19,5.0,Administrative Assistant,"Some of the nicest people I've worked with, but like all large companies, especially in the finance industry, some teams are more dysfunctional than others. Many in my department have worked for the bank for over 5 years. Other departments have much more attrition, as mentioned in other reviews. Luckily, my team's management keeps communication as transparent as possible. We are given opportunities to grow, but sometimes the onus is on us to really let it be known we are interested in more opportunities. 

Pay is above industry average for a bank, and the benefits package is well rounded too. With everything going on, the return to office date has been pushed back further into mid 2022 which is great because I love having the hybrid schedule of wfh and going in to the office twice a week.

I appreciate the bank providing opportunities to focus on Diversity, Equity and Inclusivity now by creating and funding several community groups. Learning and Development has a mentorship program.","Sometimes the kool-aid about our special culture comes off as a bit too strong. Ironically, not all teams are not as friendly, or helpful, which makes cross-enterprise collaboration sometimes a painful chore.

Workload can flex at times, but nothing too unmanageable with good time management."
7,First Republic Bank,Leadership Crisis at First Republic Bank,2022-03-31,2.0,Anonymous Employee,Great benefits. Solid credit philosophy leading to stability for company and existing employees.,"If the recent developments within Lending Services are any indication, the evolution of leadership and culture at First Republic Bank is heading in a very concerning direction.  This company claims to value its employees but there has been a huge organizational shake up within Lending Services and no clear reasons have been given, other than a vague reference to ""growth."" 

As of two weeks ago, the department has been split in two, with the previous head of the department demoted to managing one half. The leadership they have brought in to manage the other half of the department was here in a leadership role about 3 years ago and oversaw the complete removal of overtime approval in that department. The result of this was a Department of Labor investigation, in which complaints of employees being forced to work overtime without being properly compensated were found to be accurate. The culture of fear and retribution created during this time is very well remembered, and many are anxious and afraid about the return to the department.

Additionally, this organizational change resulted in the sudden position elimination of someone who had served FRB for 21 years. They were not even given the opportunity to say farewell to the department. The fact that this person was given the unpleasant task of investigating the allegations made against the leader mentioned above during the period of overtime abuse has raised more than a few eyebrows given the current situation. 

The announcement of these changes came through a Town Hall meeting held for the department two weeks ago. Aside from vague mentions of growth as a justification for this re-org/position elimination, no other answers have been provided, other than ""we are figuring that out."" At best, this was a poorly thought-through, poorly managed organization shift initiated by so-called leaders with no concept of empathy or change management. At worst, this development highlights an extremely worrying cultural shift for First Republic Leadership - to care more about their own accumulation of power and control than to invest in sustainable business growth and the safety and engagement of its employees. 

Ethical leadership is on its way out at First Republic."
8,First Republic Bank,Fast paced and well compensated environment,2022-02-11,5.0,,"Echoing most of the reviews, the compensation, benefits, and bonus scheme are highly competitive. Team members and management are highly qualified and knowledgeable in their respective fields. The pace is fast and the opportunity to grow equally so.","To stay on top of tasks, projects and overall deliverables, you may need to spend more time to get everything right. Attention to detail is critical but this challenge will help you advance."
9,First Republic Bank,A Call to Action for Executives to Listen to Employees,2022-03-14,2.0,Program Director,"1. Complex and challenging work 
2. Team dynamics are highly collaborative 
3. Fast paced environment 
4. Compensation is competitive
5. For those who are politically savvy and can navigate the environment, career growth potential is uncapped","1. No work-life balance 
2. Three day a week RTO policy scaring away potential talent and creating talent retention problems
3. High degree of resignations due to RTO policy 
4. Executive politics make environment difficult 
5."
10,First Republic Bank,Client Focused,2022-04-02,4.0,Director of Engineering,"Very focused and making the client happy no matter what it takes.  
Leading edge technology growth.","Escalation Culture
Weak Career Path
Human Resources not the strongest for recruiting."
11,First Republic Bank,Good growth company in need of processes,2022-03-31,4.0,Manager,"- benefits
- culture 
- employee focus
- growth company 
-entrepreneurial","- in need of better processes
- communication needs improvement between departments"
12,First Republic Bank,Extremely profitable and growing company!,2022-03-20,4.0,Human Resources,"Excellent benefits; competitive compensation; collaborative and communicative culture; colleagues are considerate, helpful and down to earth; opportunities for advancement exist; employees are treated very well; and it's easy to get your work done because there is very little hierarchy and bureaucracy.","Sometimes a little too much focus on the positive without encouraging constructive input on how things can be improved; the company has been growing at such a rapid pace that employees can sometimes be stretched a little too thin, which leads to burnout and turnover."
13,First Republic Bank,Best bank to work for,2022-03-23,5.0,Credit Analyst,"Excellent benefits, management, perks, the work is interesting. The work environment is very hospitable, the people are great. Permanent hybrid work from home program.",It's difficult to know when you will advance or what's required.
14,First Republic Bank,Great Place to Work,2022-03-27,5.0,Anonymous Employee,"Comp, benefits, and workplace environment",There can be long hours
15,First Republic Bank,Great company,2022-03-17,5.0,Manager,Great culture and team members,executives are a bit out of touch and expect a lot from employees
16,First Republic Bank,Not bad,2022-03-30,4.0,Credit Analyst,"Great benefits, great team, feel valued",Not an entrepreneurial work place even though they advertise that. Difficult to make things happen if they aren't within the norm.
17,First Republic Bank,Client service,2022-03-29,1.0,Client Service Representative,The pay is fabulous with other additives that they give to you,The managers do not care about the people under them they only want their incentives they are always drinking going out Friday for cocktails somebody needs to say something
18,First Republic Bank,Lending Services - a cultural nightmare,2022-03-06,2.0,Closing Specialist,"Eagle Cafe,  Hybrid work model,  Good People","The Senior Leadership in Lending Services is completely out of touch.  The culture is toxic, with people leaving left and right and management that does not seem to care.  No transparency, and if you are not in the ""in"" crowd you are not cared for.  Looking to leave as quickly as possible, why isn't senior leadership doing something about this?"
19,First Republic Bank,Top Notch Corporate Culture,2022-03-02,5.0,Collateral Valuations Analyst,"Model of great corporate culture, a place that wants to take care of their employees",Not really many cons here. The work is clear cut and they aim to push for growth.
20,First Republic Bank,Good,2022-03-08,5.0,Relationship Manager,good benefits and they love to hear your input,hours can be long but rewarding sometimes
21,First Republic Bank,Put Your Money Where Your Mouth Is,2022-01-23,5.0,Consumer Service Associate,"The bank cares highly about their values and proves that time and time again. The most “famous” of these values is Do the Right Thing and I can say that all employees and management are committed to doing the right thing at all times- be it for client or employee.

Embody the companies values and you will be rewarded with growth opportunities and raises.","Client care line is open 7 days a week, possibility of working on the weekends."
22,First Republic Bank,Culture Risk,2022-03-05,2.0,Anonymous Employee,salary and benefits are competitive,Hard working executives and senior leaders have been dropping like flies - WHAT is going on?? NYC is left with a bad mouthing leader who think he is entitled along with his lazy dangerous wife (don’t get fooled by the southern belle)
23,First Republic Bank,Amazing,2022-03-01,5.0,Finance Manager,Great company to work for!,Travel and time is long
24,First Republic Bank,Great pay/Antiquated way of thinking,2022-03-05,2.0,Managing Director,"- non-capped bonus structure
- Low oversight
- Benefits","- Terrible IT
- Stale leadership that is devoid of real generational succession
- Innovative ideas go to die because of bureaucracy and those in control positions that are change resistant, or do not have skillset to innovate."
25,First Republic Bank,Salary,2022-02-27,5.0,Relationship Manager,Culture and compensation. Benefits are great,Management and overall senior leadership
26,First Republic Bank,More People and Better Systems Needed,2022-02-18,3.0,Assistant Manager,"Stable growth, great benefits, solid employees, and great pay if you advocate for it while delivering the goods.",Awful systems that get in the way of efficiency. Serious hurdles dealing with siloed departments. If proven successful at a PBO they will keep you there unless you create your own developmental / escape plan.
27,First Republic Bank,Preferred Banker,2022-03-11,4.0,Preferred Banker,"Commission is unlimited. 
4 weeks vacation after 3 years.",Men are definitely treated better than women. It is not about how hard you work but who likes you.
28,First Republic Bank,"Great pay, great coworker",2022-03-10,3.0,Client Service Associate,"Coworkers will make your days fly by, management is super nice, and the pay is great.",You tend to get work burnout and feel overwhelmed.
29,First Republic Bank,Awful Risk Management Reviews Are True,2021-11-17,2.0,Anonymous Employee,"Client-focused company 
Employee development is a focus
Colleagues are supportive","Dysfunctional leadership at the highest levels
Management seems to fear the CEO getting any bad news
Risk Management department is a nightmare"
30,First Republic Bank,n/a,2022-02-01,5.0,N/A,"People are very welcoming and kind
Great Pay
Good Benefits as a FTE
Offers Remote Work through Covid",Job roles are rigid - may place you where they need help and not where you asked to be
31,First Republic Bank,Best place to work,2022-03-09,3.0,Senior Software Engineer,Best place to work... great team .. good synergy,no cons ... work life balance
32,First Republic Bank,Best Culture!,2022-02-08,5.0,Anonymous Employee,"Amazing people, great pay, world class organization.",Limited options for remote work
33,First Republic Bank,Great employer that looks after their staff,2022-01-30,5.0,Anonymous Employee,"Really looks after their staff
Great benefits and cafeteria on site
Lives their values",Likes to clean house of upper management frequently.
34,First Republic Bank,"Good benefits, bad work life balance",2022-03-01,3.0,Loan Administrator,"amazing 401k plan, stock purchase discount, and has a wellness stipend","management can be micro-managing, prepare to work long hours, understaffed"
35,First Republic Bank,Good place to work,2022-02-01,5.0,Claim Analyst II,Great company to stay with,There are no cons here
36,First Republic Bank,Pay,2022-01-27,5.0,Client Service Representative,Work life balance is great. They also raised minimum pay to $30/hr across the company.,Technology is a little outdated.
