,company,headline,date,overall_rating,author_position,pros,cons
0,In-N-Out Burger,Good,2022-04-07,5.0,Store Associate,"Free meal every shift, good hourly pay for a part-time job, a good manager who was flexible with my high school schedule","fast paced and mean customers at times, can be physically exhausting"
1,In-N-Out Burger,Associate,2022-04-07,5.0,Associate,Pay and management are good,Very stressful and the 10 min breaks are too short
2,In-N-Out Burger,Cashier,2022-04-07,4.0,Cashier,"Fun, good pay, amazing people",No cons. Heavy work as expected.
3,In-N-Out Burger,Be ready to work,2022-04-07,4.0,Associate,"Growth within the company 
Money
I honestly feel like what ever job you are at after IN-N-Out, you’ll get a sense of urgency/readiness and preparedness.","Can be stressful most of the time
Long hours depending what level you are"
4,In-N-Out Burger,Great Place To Work,2022-04-06,5.0,Level 7 Associate,"- Competitive pay for the industry with great perks and flexibility. I had decent dental insurance while being part time. 

- Management is promotion based. Somebody above you has been where you are at one point. A store manager has to start as a level 1 associate like everybody else in store. 

-Six figure salary plus bonus for store managers 

-Merit-based promotions 

-Free burgers","- Strict about weird things like hair color and tattoos
(I hope this has changed)

- You will end up being held late past your scheduled time off

- The environment is very micromanaged"
5,In-N-Out Burger,Great,2022-04-06,1.0,Associate,Great place to work at,Schedule is all over the place
6,In-N-Out Burger,Nice,2022-04-06,4.0,Sales Associate/Cashier,"Good food, streamlined work environment, great people, competitive entry level pay, room for consistent promotion","They do work you to the bone most of the time, shifts are brutally exhausting"
7,In-N-Out Burger,Good not great,2022-04-06,3.0,Associate,"-Fast-paced environment - you won't be bored
-Work with some great people (and a few not-so-great people)
-Plenty of opportunity to move up the ranks
-good culture","-Exhausting work
-(personally) had a bad experience with one of the cooks, took management a long time to fire them
-Promotions can be political"
8,In-N-Out Burger,Team member,2022-04-06,4.0,Costumer Service,Flexible hours and great coworkers,Long hours and short breaks
9,In-N-Out Burger,Under the Arrow,2022-04-05,4.0,Associate,"Competitive Pay
Flexible Schedule
Free company-sponsored events","Labor intensive
Extremely fast-paced
Management is a hit or miss"
10,In-N-Out Burger,Hard work,2022-04-05,3.0,Anonymous Employee,they make working like a competition or game. Flexible schedule because there’s over 100 employees.,Managers are high strung and the company micro manages. Employees are overworked
11,In-N-Out Burger,Good Place,2022-04-05,4.0,Associate,Love the company and coworkers,Hard work and constant go
12,In-N-Out Burger,Great benefits,2022-04-05,5.0,Cook,"Company shows they care for employees, benefits, flexibility, level up","Tiring, sometimes rude customers, smelling alike burgers/onions"
13,In-N-Out Burger,Great for High Schoolers,2022-04-02,4.0,Store Associate,"Great if your in high school
Great schedule flexibility","Punishes you once you graduate
Poor hours
inflexible schedule"
14,In-N-Out Burger,Associate,2022-04-01,3.0,Associate,"Good money for young teens, lots of hours","Management can be toxic sometimes, fast paced pressure"
15,In-N-Out Burger,Nice,2022-04-01,4.0,Line Cook,"Flexible schedule, nice crew, fast paced","There are no cons, it is a simple job"
16,In-N-Out Burger,Great place to work,2022-04-01,4.0,Anonymous Employee,"Scheduling, pay, chance to grow","Some long hours, can be stressful/a fast work environment"
17,In-N-Out Burger,10/10 recommend,2022-03-31,5.0,Associate,"Free meal
Opportunity to move up to management and get paid a living wage",Dealing with customers and hard labor
18,In-N-Out Burger,Great company,2022-03-31,4.0,Third Manager,IN-N-OUT BURGER os great company to woro for. They care about their employees.,The only issue is lack of growth in certain areas. This caps ypur growth as well.
19,In-N-Out Burger,No,2022-03-31,2.0,Sales Associate/Cashier,"Good people
Good paying job
Chances to level up","Management 
Not let off on time"
20,In-N-Out Burger,It was okay,2022-03-30,4.0,Store Associate,"Pay was good
Co workers were awsome",Rude management alot of micromanaging
21,In-N-Out Burger,Good place,2022-03-30,5.0,Human Resources Generalist,"Great place to work at, really treats their employees well.","Located in a really busy area, right next to a college campus."
22,In-N-Out Burger,Great as a starting job,2022-03-30,3.0,Associate,"Coworkers were great friends. 
No day was the same. 
Starting salary was good.","No living wage for full time associates. 
HR needs to listen, when associates are reporting management for unruly behavior. 
Nepotism exists in the company."
23,In-N-Out Burger,Great1,2022-03-30,5.0,Clerk,Great atmosphere to work in,You smell like In N Out food
24,In-N-Out Burger,Chief,2022-03-29,4.0,Associate,In N Our provides a lot of room for growth and praises team work.,The physical labor can be very exhausting.
25,In-N-Out Burger,okay place to work,2022-03-29,3.0,Cook,good team with people who are chill,pretty good and dont see issues
26,In-N-Out Burger,Awesome,2022-03-29,5.0,IT Change Management Specialist,Great company to work for,None that I can think of
27,In-N-Out Burger,"take orders, make orders, clean",2022-03-28,5.0,Associate,"great work environment, room for growth","fast paste, must be intelligent to work there"
28,In-N-Out Burger,Great part time well going to school,2022-03-28,5.0,Store Assistant,"Schedule flexibility
One free meal per shift
Decent benefits ( full time benefits are better)","Get called in a lot
Shifts often get extended the higher rank you are 
Closing sucks
Open most holidays"
29,In-N-Out Burger,Hit or miss - can be toxic or amazing,2022-03-28,3.0,Level 7 Associate,"company values - servant leadership (even if it's only modeled by a small percentage of leadership in the stores)

so many opportunities for growth and expansion

community and connection - having a family at work 

good intentions

when you find a manager who's in their heart and truly embodies what the company is about, WOO! everything changes - that manager will love you, lift you, and walk with you as you soar to new heights every day. That manager will challenge you and help you grow - that manager will make it all worth being there for because you will feel wanted, seen, valued, and loved :)

free burger and fries!! omg the fries are soooo goood!


you will learn so much about business, yourself, relationships, and your path!","not paid nearly enough for the emotional, physical, spiritual, and mental labor. we lose amazing associates because the pay is too low for the reality of the work. usually there are 1-5 toxic people in a store, often in leadership roles, and the ways they disempower others goes unchecked often. bullying and is a real problem in the stores - it's often very subtle and goes unnoticed. taking out emotions on associates is also normalized by leadership. harmful ways of communicating and relating goes without consequence, creating uncomfortable environments, especially for empathic people 

this is not for all the stores. there are definitely leaders in the company who model the company's true values and these people are so compassionate, they protect the space, and they recognize and value others."
30,In-N-Out Burger,great,2022-03-26,5.0,Cook,Best job ever ! Great job for high schoolers,None what so ever at all
31,In-N-Out Burger,A company that truly cares about their employees.,2022-03-26,5.0,Level 6 Associate,"- tons of support resources, employee assistance program for anything you could need in terms of life events
- plenty of employee events like tournaments and picnics
- extremely flexible schedule, shift start times ranging from 5am to 8:30pm
- free burger up to a double double every shift you work
- many people are very passionate about this company, makes it fun to work with people who enjoy what they do :)
- opportunity for advancement. promotions go level 1-level 7, then 4th manager, 3rd manager, 2nd manager, and store manager. Above that is DM, RM, and operations. or you could work in the warehouse.
- corporate are literally sweethearts. some of the nicest ppl you’ll ever meet. people who truly have a passion for ino and it’s history.","- your shift is based on business. if you’re full time and are scheduled to be off at 8pm during a rush, you will likely stay until it slows down again whenever that may be.
- I think we pay the tax on our break burgers but it’s small
- the scheduling is rough, especially full time. I don’t know my schedule until a week and a half ahead of time. it makes it hard to plan things outside of work."
32,In-N-Out Burger,Great,2022-03-25,5.0,Anonymous Employee,Great great great great great,None none none none none
33,In-N-Out Burger,Associate,2022-03-24,5.0,Associate,very flexible with scheduling and good pay,very fast paced and rude customers sometimes
34,In-N-Out Burger,Goox,2022-03-24,5.0,Level V Associate,Place has good pay for you,You don’t get off on time
35,In-N-Out Burger,Best job a full-time student can find. Respectable with your school schedule and great pay for a aprt time job.,2022-03-24,5.0,Associate,"Geat pay, flexible hours, great management, good team environment, plenty of room to grow","Repetitiveness, late-night hours, inconsistent schedule"
36,In-N-Out Burger,Great Place,2022-03-23,5.0,Store Associate (Level III),"Flexibility 
Great co-workers
Room for growth
Good insurance",If you dont like being busy not for you
37,In-N-Out Burger,In n out review,2022-03-23,5.0,Associate,This company is very flexible with your schedule,"There’s not many bad things to say, it really is a overall great company"
38,In-N-Out Burger,Great,2022-03-23,3.0,Associate,Starting pay is pretty good.,You can not get more than 30 hours
39,In-N-Out Burger,good,2022-03-22,5.0,Associate,pay is great and nice,rushes suck and aren’t fun
40,In-N-Out Burger,Make the Most Out of It or You Will Burnout,2022-03-22,4.0,Level 6,"- Training is one of the best things INO does
- Compared to other food-service jobs, you are taken care of much better here
- INO culture is among the best (depending on store location), but especially in the corporate offices","- Service-Industry jobs are always going to be understaffed
- Food Industry jobs will always focus on profits and different managers will care about it more than others
- Fast-paced, but everyone struggles together
- Like anywhere else, management can be either be good, bad, or anything in between. That includes your level 7's and 8's for the INO stores.
- Turn-Around shifts"
41,In-N-Out Burger,A changing and challenging environment.,2022-03-22,4.0,Level 5 Associate,"-Pay is above average and you are able to earn more relatively fast.
-It is relatively easy to move up in the company. 
-The bonds you build with coworkers and the events the company holds are very cool!
-When properly staffed it can be fun to be working as a team, it won’t really feel like working sometimes.
-They work really well around people's schedules and are good with accommodations.","- You are sometimes set up for failure due to a lack of associates on a shift. This can lead to extremely stressful days of work.
- There are many customers who are coming to In N Out and most of them are nice and a pleasure to serve, but there are always a few (like in any job) that basically harass you.
-If understaffed it can feel like you are just being used and overworked by the managers. 
-It is expected to be texted on days off and possibly be called into work."
42,In-N-Out Burger,Good company with only some issues,2022-03-22,3.0,Cashier,There’s a lot of great benefits and it’s a very accommodating job,Some workers are just not the best and rude and they give you as little breaks as possible. Had an assistant manager ask me an unacceptable question.
43,In-N-Out Burger,Good first job,2022-03-21,4.0,Anonymous Employee,"paid well 
flexible schedule
free meals","hard to move up
standing all day"
44,In-N-Out Burger,Employee,2022-03-21,5.0,Line Cook,"Great pay 
Great work envoirement",It gets really busy. Heavy work load
45,In-N-Out Burger,Amazing oportunity,2022-03-21,5.0,Corporate Trainer,In-N-Out Burger is fully invested in it's associates as well as it's customers,You are limited to the places it currently operates. No work from home opportunities.
46,In-N-Out Burger,Good  Job,2022-03-20,5.0,Associate,Good pay and great friends were made,Over worked and not enough training
47,In-N-Out Burger,Great place to work during school!,2022-03-20,5.0,Associate,"Flexible scheduling, Flexible locations (School Year vs Summer)",Might be too fast paced for some
48,In-N-Out Burger,.,2022-03-20,5.0,Anonymous Employee,You get to meet really nice people,You get very rude costumer some times.
49,In-N-Out Burger,Great team,2022-03-20,5.0,Associate,"Fun, interactive, builds teamwork, always busy",sometimes you have to deal with bad customers
50,In-N-Out Burger,Cool,2022-03-19,5.0,Associate,It was fun and I enjoyed it when I was young.,Don’t be tricked into management.
51,In-N-Out Burger,Good,2022-03-18,5.0,Store Associate,"Very responsive, adaptable, respectable, nice workers.",Labor intensive and requires a lot of labor and work.
52,In-N-Out Burger,Great place to work,2022-03-17,5.0,Mangerment,Great pay and benefits are fantastic,None that I can think of
53,In-N-Out Burger,in n out,2022-03-17,5.0,Cashier At Innout,"health benefits, and the pay is great",The time schedule sucks sometimes
54,In-N-Out Burger,"Great pay and coworkers, stressful environment",2022-03-17,4.0,Associate,I love the people and culture at In-N-Out. Can't beat the pay and free food. Lots of flexibility as well as opportunities to move up,So busy all the time and can be quite taxing if you aren't willing to work hard.
55,In-N-Out Burger,Good Job,2022-03-17,5.0,Anonymous Employee,It was a great place to work,It is a tough work environment
56,In-N-Out Burger,Great,2022-03-17,5.0,In N Out Associate Level 6,"good hours and very 
flexible",feels long and can be very stressful at times
57,In-N-Out Burger,Good place to work!,2022-03-16,5.0,Clean Up Associate,"There is really good team work so you always will be learning and doing great on the job, there is always good managers that will be there when you need help on a situation at hand, the hours are great and if you just show that you are available even better. Excellent place to improve your own customer service skills.",The only one I can think of is no set schedules
58,In-N-Out Burger,awesome,2022-03-16,5.0,Driver Helper,great place to work. Friendly environment.,"Long hours sometimes. However, they pay well."
59,In-N-Out Burger,great first job,2022-03-16,5.0,Associate,awesome staff! Fast paced enshrinement that will teach you a lot of team skills you can take going forward,no tips. You smell like burgers going home
60,In-N-Out Burger,Hard work,2022-03-16,3.0,Fry Cook,They teach great workplace ethics and everyone I worked with was very motivated. They pay well for a fast food restaurant.,Time off was hard to get. Worked long hours.
61,In-N-Out Burger,Amazing Job,2022-03-15,5.0,Level 6,In-N-out has been so good to me over the 7 years i’ve worked there. They offer great benefits and treat us well.,The only con is that sometimes we can be short staffed and it gets tiring.
62,In-N-Out Burger,Win-Lose Employment,2022-03-15,2.0,Anonymous Employee,"Good pay, good benefits, semi okay team work",Managers have trouble with communication with each other and it's hard to move up the levels because of it which gets in the way of your ability to learn more and get raises. Management holds staff over 3+ hours than what is scheduled just because?
63,In-N-Out Burger,.,2022-03-15,5.0,Assistant Manager,It pays very well. I like it.,no set schedule sothat sucks
64,In-N-Out Burger,Good place to work,2022-03-15,5.0,Level IV Associate,Community is nice good people,10 min breaks arent too bad
65,In-N-Out Burger,Good times with good people,2022-03-14,4.0,Associate,Everyone is super friendly and nice. Easy work environment. Fun and exciting. Good pay.,"Late hours, super busy stores"
66,In-N-Out Burger,Smile smile smile,2022-03-14,5.0,Cashier,Good environment. Many perks. Good times,Slow upward movement. Random shift times
67,In-N-Out Burger,Eh,2022-03-14,4.0,In N Out Associate,"very good pay
flexible with schedule","HIGHLY over worked
rude managers 
annoying customers"
68,In-N-Out Burger,Fast food,2022-03-13,5.0,Anonymous Employee,Great managers and flexible schedule,I have nothing bad to say
69,In-N-Out Burger,eh,2022-03-13,5.0,Line Cook,Good benenfits and all that stuff,work/life balance isnt all that
70,In-N-Out Burger,Great Place,2022-03-13,5.0,Anonymous Employee,Nice people. Great work. Free food,Long hours. work weekends. Fun time.
71,In-N-Out Burger,"Great people, training could be better",2022-03-13,4.0,In N Out Associate,"Great employees
Effective communication
Good pay for what it is",Training is slow and is not completed in its entirety (in n out lingo ex.)
72,In-N-Out Burger,Nice,2022-03-12,4.0,Associate,"good benefits, good pay, good people",pretty stressful environment at times
73,In-N-Out Burger,Great Place,2022-03-11,4.0,In N Out Associate,Great work environment for youth,Management can be nasty depending on person
74,In-N-Out Burger,Good,2022-03-11,4.0,Level V Associate,Food on break is a perk,Late off times is rough
75,In-N-Out Burger,Best Place to work!!,2022-03-10,5.0,Associate,"Pay starting at $17/hour
Schedule very flexible
Positions that you work
Management is great
Cool events picnic they put on","None no cons whatsoever 
None
None
None
None"
76,In-N-Out Burger,Good,2022-03-10,4.0,Cashier,"great management, pay, people, location, etc",not ideal for long term growth
77,In-N-Out Burger,level 5,2022-03-10,5.0,Associate,"Really good pay
Flexible with you","Really busy stores
strict rules
customers expect the best"
78,In-N-Out Burger,Get ready to be worked to death,2022-03-10,3.0,Level 6 Associate,"good pay, flexible hours, usually pretty cool coworkers, vision and dental for part-time, lots of fun company events","nonstop hard work, management can be very petty and not very good, lots of favoritism, you can never say no to a customer request"
79,In-N-Out Burger,Good company,2022-03-09,4.0,In N Out Associate Level 6,"Great pay, flexible schedule, friendly environment.","Long shifts, tedious tasks, no tattoos piercings nail polish."
80,In-N-Out Burger,Schedule was Flexible,2022-03-09,4.0,Associate,"Free meal each shift
Flexible schedule and easy to ask for time off","Fast paced environment 
Some associates could be stressed and hard to work with"
81,In-N-Out Burger,Great company,2022-03-09,4.0,Anonymous Employee,"Good pay good hours, decent time off",Busy and stressful environment most days
82,In-N-Out Burger,Great Job,2022-03-09,5.0,Associate,"Good pay and chances of promotion
Cool managers and peers
Flexible schedule","Very fast paced : Not a crazy bad thing unless you're lazy or really chill
Rude customers"
83,In-N-Out Burger,great but can be better,2022-03-09,4.0,Level 7 Associate,"free meal per shift, new management almost yearly depending on division needs, part time employees get dental and vision benefits, added education refund program in 2022, discounted fitness program, flexible availability","new management constantly, depending on management communication can be lacking, 401k offered only after you turn 21, physically demanding depending on position, competitive to change career paths, only 10 minute breaks with 5/6hour shifts"
84,In-N-Out Burger,Amazing work environment,2022-03-09,4.0,Anonymous Employee,"Great benefits, and great employees",Never got out on time
85,In-N-Out Burger,Great,2022-03-08,4.0,Anonymous Employee,flexibility in work schedule around school,not a lot of cons
86,In-N-Out Burger,Good first job,2022-03-08,4.0,Associate,In n out is a great company to get your first job in high school and even to carry you through colkege. Very competitive pay,Grueling sometimes and you come home smelling like burgers everyday
87,In-N-Out Burger,Awesome job,2022-03-08,5.0,Team Member,"People , schedule, managment, free food, benefits",Nothing bad about in n out
88,In-N-Out Burger,Great company,2022-03-08,5.0,Manager,"Great pay, great benefits, company cares about their associates.",Hours are not great if you have children. Work most weekends.
89,In-N-Out Burger,Great Culture and Benefits,2022-03-07,4.0,Store Associate,"- Friendly environment
- Opportunities for development and growth within the company
- Very accommodating to students when it came to scheduling
- Fun company events","- Depending on the location and the manager, you may not get trained as quickly as others"
90,In-N-Out Burger,Fast paced.,2022-03-07,5.0,Crew Member,Fast Paced. Streamlined organization. Free food.,Fast paced. Can be very tiring.
91,In-N-Out Burger,"Great company, management not so much",2022-03-07,3.0,Graphics and Communication Coordinator,Working for a successful company is great,"Management is lacking, with no leadership or support."
92,In-N-Out Burger,It’s a good first job,2022-03-07,4.0,Anonymous Employee,"Friendly
Easy to learn
Clean
Newbie friendly 
Free burger","Not the most flexible schedule
Last minute shift changes 
Customers suck sometimes 
If you have time to lean you have time to clean
Takes job a little too serious for high schoolers"
