,company,headline,date,overall_rating,author_position,pros,cons
0,Johns Hopkins University Applied Physics Laboratory,The best place I've ever worked,2022-02-11,5.0,Section Supervisor,"APL is hands down the most employee-centered place I've ever worked. There is careful thought and consideration that goes into every decision they make and how it will or could impact employees. The environment is supportive, highly innovative and extremely collaborative. The benefits are incredible and the acknowledgement of appreciation for employee work is second to none. I've never worked anywhere that views its people as integral to the operation as APL does. On top of that, the work is incredibly meaningful.",I don't have any cons
1,Johns Hopkins University Applied Physics Laboratory,Amazing Place to Grow and Learn,2022-03-30,5.0,Software Engineer,"Super smart people, impactful problems, challenging and engaging work. The best coworkers (they feel like friends)",Percentage based work. Filling up 100% with multiple projects can be a lot or not enough depending on the project. It’s really easy to maintain a healthy balance by having a good manager and leadership that cares.
2,Johns Hopkins University Applied Physics Laboratory,Motivated by Knowledge,2021-12-18,5.0,Engineer II,"Since APL a University Affiliated Research Center, it's not for profit. This place is motivated by Science and Learning, NOT profits. They really care about supporting you to be the best you can, via pursuing more education, leadership roles, lisetning to new ideas, exposing you to more work experience ,etc.

Compared to other giant organizations in the defense industry, it's way easier to move around and do different work or do different things, because they want you doing work that you are motivated to do so that we all can get the best results.

There exists a whole structure for any employee to come up with brand new ideas that APL will fund . And if you begin to show promising results they will continue to fund it even further.

This place just fosters improvement all around.

Diversity distribution in management positions reflects the diversity distribution throughout the rest of the organization

The gyms on site are wayyy cheaper than any gym membership elsewhere.

I'd highly recommend any engineer or scientist strongly consider working here.","Although every one here is incredibly friendly, it's very easy to be isolated. It may be related to my work specifically but there isnt a lot of very heavy team work involved in the tasks. You aren't working hand in hand with other people.

Location is not ideal for younger crowds who may want to live in bigger metropolitan areas like DC/Bethesda/Silver Spring or Baltimore. Though its totally feasible if you're willing to make the 35 minute drive.

Finally, this is an industry wide issue, and not specific to APL, but it is still dominated my predominantly caucasian males."
3,Johns Hopkins University Applied Physics Laboratory,Crushing Lack of Trust Between Upper Management and Technical Staff,2022-03-06,1.0,Senior Professional Staff I,"Good benefits, important mission, reasonable hours, opportunities to work with individuals with a diverse set of technical backgrounds who care about their work.

With so much turnover, there are more career growth roles available than usual.","Upper management does not seem to trust that technical staff can work effectively from home or that younger generations care about APL's mission. There is a huge amount of tension that spills out into meetings between management and staff as a significant number of staff members simply find their home environment to be where they are most effective, while increasing their quality of life and safety during recent COVID-19 surges. Upper management telling technical staff to return to cramped shared offices during the omicron surge was expectedly terrible for morale, especially with the addition of tracking employees' return to office via badge swipes. Upper management is making the return to the office the hill that they are willing to die on, and results are showing increased turnover and decreased morale. 

Pay is a bit low for the industry, but staff would overlook it due to solid benefits and their belief in the mission (as they always have previously) if they felt trusted and empowered by management.

Typical cons associated with large organizations: office politics, red tape, slow to adjust."
4,Johns Hopkins University Applied Physics Laboratory,Make your career here if you possibly can,2022-03-24,5.0,Associate Professional Staff II,"APL sets the bar for great companies to work for. Their primary concern is delivering great work product to government sponsors, but they understand better than most businesses that they cannot continue doing that on a long-term basis without investing in their staff.

Professional development is expected and supported. If the skills you want to acquire are remotely mission-relevant, you will find APL management supportive of your pursuits.

You will find yourself in an environment where brilliant people are working on cutting-edge technologies. But if you have come to expect brilliant people to be bristly and unwilling to share their expertise, as I had, you will find that the folks at APL are overjoyed to talk about what they're working on and open opportunities to get you involved in things that interest you. There is a subject matter expert on staff in pretty much any area you can imagine, and I never encountered one who was unwilling to make time in their schedule to chat with me.

There is an institutional commitment to diversity that they seem to actually follow through on. They still have a ways to go, but there are people from a variety of backgrounds, both culturally/ethnically and educationally.

Finally, I appreciate the degree to which all staff are kept up-to-date on the strategic direction and success of the company. Management will keep you up to date on tasking strategy, productivity levels, capital improvements, and other details of running the business. At first, if you're like me, this will be too much information and you will not understand why you should care. But as you settle into your position, you will realize what a rare prize it is to know these things and be able to use the information to plan ahead for your work and your career. Paying attention to these presentations is also how you can get internal money to explore your own ideas—this is encouraged and rewarded at all levels of the organization.

You will work hard at APL, but if you are bright and curious and dedicated, you will struggle to find a more fulfilling place to work.","Despite continuing progress on diversity initiatives, the management levels of APL are still mostly old white guys. They are friendly and approachable old white guys, but it would be good to see more diversity at the top levels.

Management seems resistant to having full-time remote employees on staff, even where that should be possible for a particular workload. I'm not sure whether this is because their metrics show that these staff are less productive, but I think they will start to miss out on some of the best candidates if they maintain this stance going forward.

For me, the location was a bit of a con. Howard County is fine, but it's a bit sleepy for my taste."
5,Johns Hopkins University Applied Physics Laboratory,"Cutting edge work, some major issues",2022-03-26,1.0,Biomedical Scientist,"Cutting-edge work, mostly government but close ties to academics at JHU too.  Good work-life balance (for most groups and projects).  Good vacation time and 401k matching is the best I've ever seen. Very smart peers that are not competitive and are willing to help you learn & grow.","Salaries are lower than peers (but I heard management is starting to realize that and address it).  Senior management doesn't really seem very receptive to full-time remote workers. Very hard to get patents for inventions - tech transfer manager only whines about not having enough money and having too much other work from her boss...when you do convince them you have a good product, they're not very good at getting it out there (my advice to staff still there is to try to get the Baltimore technology office involved because they know what they are doing.)"
6,Johns Hopkins University Applied Physics Laboratory,"Good place to work, especially for early career staff",2022-03-28,5.0,Software Engineer,Strong emphasis on learning and skill development,Generally not as fast-paced as other companies. Experience variance is high due to a very diverse set of tasks and scopes of work.
7,Johns Hopkins University Applied Physics Laboratory,Great Company,2022-03-29,5.0,Associate Professional Staff II,Great benefits and easy place to enjoy working,"At times pay isnt the most transparent, and at times could be higher"
8,Johns Hopkins University Applied Physics Laboratory,Great place for a long term career,2022-03-16,5.0,Mechanical Engineer,Really cool/exciting work. Excellent work-life balance. Exceptionally smart coworkers. Happy with compensation and benefits.,Surrounded by such smart people that it’s sometimes hard to keep up.
9,Johns Hopkins University Applied Physics Laboratory,Great work. Okay pay,2022-03-22,5.0,Assistant Program Manager,Great place to work. Exciting work and management that puts your growth over the end product,Not as high of compensation as other tech companies
10,Johns Hopkins University Applied Physics Laboratory,Good,2022-03-19,5.0,Engineer,"It's a nice location, and the projects are unique and challenging.",Many positions require in person
11,Johns Hopkins University Applied Physics Laboratory,Thinking Happens Here,2021-10-06,5.0,Senior Professional Staff I,"At the laboratory you work in an environment of technically competent people who value science, technology, creativity, hard work, and employee wellbeing. Mathematicians, physicists, engineers, computer scientists, and other subject matter experts collaborate to solve challenging problems. We have the option to participate in academic collaborations and to publish research based on the problems we solve at the lab.

The company is selective in choosing high quality employees, gives them a good salary and benefits, and keeps them until they retire so that expertise remains within the company. This makes APL stable, reliable, and innovative for both customers and employees. While working here you will feel like you are doing something good in the world. It is also a stable place to raise a family. It is completely the opposite of the cut-throat revolving door practices of other companies where hiring is run by Machiavellian third-party hiring companies.","The laboratory is located in between Baltimore and Washington, DC which is suboptimal for many employees causing some of them to commute from over an hour away. The reason is simple - the company attracts people who want to raise families and Maryland is not a good place to raise a family."
12,Johns Hopkins University Applied Physics Laboratory,Great organization,2022-03-06,5.0,Associate Professional Staff I,"Really Cool work, technically challenging, great team environment",Sometimes a bit slow can get lost in the process
13,Johns Hopkins University Applied Physics Laboratory,Great Company,2022-03-02,5.0,Computer Engineer,Very open and college feel,None come to mind so far
14,Johns Hopkins University Applied Physics Laboratory,Innovation happens here!,2022-01-19,5.0,Staff Member,"APL is full of people who are dedicated to our mission. The leadership team genuinely cares about the staff and it shows. When I started at APL over 13 years ago, I never thought I would stay this long. I've had the opportunity to take on new roles in my time here and my management has been committed to my professional development. Plus the retirement benefit can't be beat!",None that I can think of
15,Johns Hopkins University Applied Physics Laboratory,JHU APL Employment,2022-02-27,5.0,Electrical Engineer,"Work Environment , Work Variety, Benefits, Staff, Activities","Leadership. Office Space, Location, Parking, Food Options"
16,Johns Hopkins University Applied Physics Laboratory,Weird place to work,2022-02-17,2.0,Senior Project Manager,"Decent salary and benefits, very good retirement match.","Overall the organization does some pretty cool stuff, but at a snails pace. The IT Department is one of the worst I've worked in. You're not truly part of APL unless you have been there for 30 years, and you have to comply with how they do things. Fresh ideas from the outside are not permitted, unless you come from an expensive consulting company."
17,Johns Hopkins University Applied Physics Laboratory,"Work culture = toxic, conservative; promised work-life balance isn't true",2022-02-01,3.0,Associate Professional Staff I,"Pay is good if you have a PhD. Bachelors and masters make around the same starting. Salary increases are good enough in your first few years here, but then they only equate to inflation or less after that.

They'll pay for your graduate degree at Hopkins (or elsewhere). You can leave after, no strings attached.","The pandemic isn't being taken seriously by leadership. They once promised a flexible work environment with emphasis on remote work (since it had worked so well during the start of the pandemic). They nixed that and are forcing staff to be in a minimum of 3-days per week (but strongly encouraging 4-5 days), tracking our presence via badge scanning. The leadership is old, majority white, and majority male. Stuck in the past and harming the company's future by alienating their early-career staff (20s-30s) who are used to hybrid and remote work environments. The attrition rate in one of our sectors is 8% (increased by 4-5% since implementing the forced in-person presence and not shutting down operations in the slightest during the Omicron wave). This job doesn't care about your mental or physical health.

Tasking can be a mess depending on your group. You can be severely overtasked or undertasked at the snap of a finger. Burnout is common.

Emphasis on innovation, which can be great for fields that have a lot of ""invention"" going on. For others, it's difficult and you'll see a lot of reinventing the wheel, as to keep groups afloat with minor internal funding, in the hopes that a sponsor will fund an idea.

I'm a bit jaded as my experience here has been full of overwhelm and burnout. Group, branch, and sector leadership are failing their young staff, among others.

Little vacation time: 15 days for the first 5 years that you work here.
Little sick time: 7 days.
Location: Laurel, MD (boring suburb and a solid drive from both DC and Baltimore)

Demographics: very white, very male (both significant majorities) -- they will tell you the statistics during your onboarding. Most people here are moderate or conservative."
18,Johns Hopkins University Applied Physics Laboratory,Excellent employer for high performing engineers and scientists,2022-02-04,5.0,Principal Staff Engineer,APL provides the opportunity to work critical national programs. The wide variety of tasks gives you the opportunity to develop a lot of cutting edge skills.,It is easy to get spread thin as you become more senior.
19,Johns Hopkins University Applied Physics Laboratory,Great place to work,2022-02-14,5.0,Senior Professional Staff I,"Overall, a great place to work",Work can come in pretty sporadically so it's common to be either really busy or not busy enough during various parts of the year.
20,Johns Hopkins University Applied Physics Laboratory,Great place to work,2022-02-14,5.0,Senior Professional Staff I,The projects are interesting and technically challenging. There is a wide variety of different projects you can choose from. People are really friendly and nice.,There is really no con
21,Johns Hopkins University Applied Physics Laboratory,Meaningful and interesting work,2022-01-27,5.0,Associate Professional Staff II,Work is meaningful and interesting. Good work life balance and benefits. Most employees are intelligent and driven.,Compensation is decent but lags many other organizations and is not particularly merit-based. Fair bit of red tape and unique organizational structure can be difficult to navigate.
22,Johns Hopkins University Applied Physics Laboratory,be careful,2022-01-12,1.0,Anonymous Employee,Great benefits. Great people to work with.,"APL management actively discriminates against minority groups in its organization. If you speak up at all you will be fired.

APL fosters an environment of fear.

APL actively discriminates against its support staff. There are different sets of benefits for support or ""professional"" staff.

Career opportunities for technical staff are very limited.

Senior management is not interested in listening when concerns are brought up. They want issues swept under the rug to keep their image clean.

If you are part of any minority group (women, religious, racial) stay away from this place. I observed so much discrimination during my 1.5 years at APL it was truly shocking."
23,Johns Hopkins University Applied Physics Laboratory,Great place to work,2022-03-19,4.0,Software Engineer -2,"Family oriented workplace, awesome education package",A lot of legacy Software Projects
24,Johns Hopkins University Applied Physics Laboratory,"Great Work, Mostly Good People, Full Leftist Leadership",2022-01-11,3.0,Engineer,"The work, if you're in the right group, can be challenging and meaningful. Same goes for the people you might work with.","If you're in the wrong group or don't conform to the liberal narratives and idea, even just questioning, you'll have a hard time moving up unless you have management that isn't far-left/right. APL was a great place to work but politics have really bled into almost all aspects (except the actual work that we do)."
25,Johns Hopkins University Applied Physics Laboratory,pretty good,2022-03-16,4.0,Associate Professional Staff I,"good place to learn
decent salary",getting projects funded is a hassle but that's research i guess
26,Johns Hopkins University Applied Physics Laboratory,Great if you're looking to get a MS,2022-03-04,4.0,Anonymous Employee,Great place to learn from very smart people,"Your work-life balance is completely dependent on projects you'll be on. Some have great work life balance, others pull consistent 60-hour work weeks."
