,company,headline,date,overall_rating,author_position,pros,cons
0,Johnson & Johnson,Great values!!,2022-04-04,5.0,Vice President,Credo driven organization and amazing leaders,Sometimes to complex to navigate
1,Johnson & Johnson,Great place to be long term,2022-03-06,5.0,Finance Manager,"I've been here since college and consistently had great bosses, awesome benefits, and decent work-life balance. I believe in the pipeline long-term, the leadership has always been solid, strong financials, and the Credo values are evident in many of the decisions being made. People usually join and stay for a while. There has been great improvement in the DE&I areas (strong ERG support, lots of diverse leadership).","Getting raises is like pulling teeth. Bonus compensation can be impacted by your sector's overall performance (Pharma usually getting the best bonuses). Culture is extremely political so performance ratings many times seem unfair. Really difficult to rotate into the Pharma sector if you don't have prior experience. Long Term Incentive (stocks/RSUs) structure isn't great - if you're lucky enough to get them below the director level, 0% vest until year 4. Pension was fantastic when I joined but they've adjusted it significantly downward and there is the risk of further adjustments."
2,Johnson & Johnson,good,2022-04-04,5.0,HR Intern,good working environment and good facilities,have no free snacks and hightea
3,Johnson & Johnson,Great Company,2022-04-03,5.0,Sales Representative,"Excellent leadership, salary and benefits",The sales reporting data is not very reliable
4,Johnson & Johnson,Good,2022-04-03,5.0,Anonymous Employee,Benefits are really good and great,Pay is not good and great
5,Johnson & Johnson,Takes care of their employees,2022-03-28,5.0,Sales Consultant,Wonderful company to work for that truly cares for their employees. Great benefits and pays fairly,"I do not love how ""corporatey"" JNJ can be. Excess conference calls and leaders emails and calls takes away from getting the job done"
6,Johnson & Johnson,Excellent company to work for.,2022-03-31,5.0,Recruiting Specialist,Awesome company to work for. Friendly work environment. Supportive accountability leadership. Ethical and fair.,I only have very positive views of JNJ.
7,Johnson & Johnson,Owner,2022-04-03,5.0,Owner,A great job to be,There is nothing con about it
8,Johnson & Johnson,Huge Dosappointment,2022-03-19,2.0,Sr. Marketing Manager,If you are good at putting on shows (eg puppet) you will do well here.,"It’s all about kissing up and diversity.  White men need not apply, unless you are gay or a transexual.  Even if you stay with them for 15 years or more they will find a way to “eliminate your job” before you hit retirement age of 55 - when you get their pension.  If they force you out before 55 you get 60% of your pension.  Huge lawsuit waiting to happen here!

Also, they are very far behind in digital marketing.  Better to go with a company that is using big data so you can stay relevant!!!"
9,Johnson & Johnson,Great Company,2022-03-31,5.0,Senior Manager,Credo is how they operate,Very large organization and cumbersome
10,Johnson & Johnson,Among the Best,2022-03-27,5.0,Technical Solution Manager,"Genuine respect for colleagues, fulfilling work, respectable compensation and good benefits. Excellent career advancement opportunities for those who put in the work. Global presence and mindset.",Any large for-profit corporation will have its downsides and J&J is no different.
11,Johnson & Johnson,"Solid company with a good foundation for ethics, and day to day conduct.",2022-02-07,4.0,Manufacturing Technician,"There are many, but personally I like: Safety conscience, clean production, good benefits, recycling, and they do admit mistakes and are openly corrective about themselves to its teams... But that last one goes both ways.",Not very competetive for hourly pay. Example: Five new injection molding techs came to an interview and received offers... none excepted.
12,Johnson & Johnson,Room for growth,2022-04-03,3.0,Technician,Opportunities for growth based on experience,Difficult to show your growth when they want to keep you in the same level
13,Johnson & Johnson,Excellent Company,2022-03-31,5.0,Senior Sales Manager,J&J cares about their employees,J&J is a significant in size company
14,Johnson & Johnson,Good Company,2022-03-30,5.0,Financial Analyst,"Benefits, work/life balance, and hybrid",I can't really think of any cons
15,Johnson & Johnson,Grwat,2022-03-30,5.0,Sales Representative,Awesome company to work for,Long hours no room for development
16,Johnson & Johnson,Excellent place to work,2022-03-24,5.0,IT QA Manager,Professional environment that supports growth and development.,"No cons, it was an honor and privilege to work with some of the best teams out there."
17,Johnson & Johnson,Great place to work,2022-03-25,5.0,Deal Desk Analyst,"Great training
Positive environment
Took time to ease into new role",No complaints in this position
18,Johnson & Johnson,Decent opportunity,2022-03-30,4.0,Quality Manager,"Company cares for the employes, there are a lot of great benefits like performance bonus, pension, 12 weeks of paternity leave, 15 vacation days.","Work load is very heavy, lack of training and accountability from upper management."
19,Johnson & Johnson,Good Company To Work For,2022-03-15,5.0,Regional Sales Specialist,"•Good Benefits
•Credo Based Company
•Opportunities for Advancement","•Opportunities for advancement are highly competitive
•Some areas seem to “reorganize” a fair amount"
