,company,headline,date,overall_rating,author_position,pros,cons
0,LinkedIn,Good,2022-03-30,5.0,Developer,Amazing and Good Employer :),Nothing at all to complain about.
1,LinkedIn,Generation X and Boomers need not apply,2016-02-24,4.0,Manager,"Excellent product, world-class benefits, above average pay, relaxed dress code, growth opportunities, and friendly atmosphere. I love the management philosophy of Leadership, Leverage, Results. Early on in every position, the employee is asked ""what is your next play."" The company is always looking to determine your next role and opportunity.","LinkedIn hires on pedigree and age. Most managers are under 30, directors are under 40, and anyone over 40 is a rarity. Important positions will be staffed based on the university the employee graduated from, rather than work experience. Sales process is being created by recent Ivy League grads who have never sold. Some sales and service director positions have been filled with individuals who are extremely smart but have limited to no experience selling and retaining. The attitude is if you are smart, you can lead any team no matter if you have zero experience doing your staff's actual trade. 

The millennial focus is highlighted in many aspects of the culture. At the 2016 global sales organization meeting, messaging was all about ""you are the best-of-the-best"" and that LinkedIn would not be successful without the individual job you do. Top performers were highlighted in front of thousands of employees. As the employee came to the stage to receive their well deserved award, videos of colleagues commending them were shown. Interspersed among work-centric kudos, the awardee's parents were shown in the videos congratulating their child and stating how proud they were of them. For a non-millennial, it was weird to see their parents congratulating their kid in a work setting. But this is also a company who holds Bring Your Parents to Work Day."
2,LinkedIn,Rest and Vest,2022-02-28,4.0,Recruiter,"1. Great WLB - if you're a parent/caretaker and need boundaries, someone who is burnt out, or someone who likes doing the bare minimum, this is the company for you
2. Truly the BEST benefits out there - best food in the Bay Area, best 401K match, amazing perks and discounts, etc.
3. People are really nice and friendly. Genuinely all people you'd enjoy grabbing coffee with","1. Low pay - if you're looking for the highest offer, this won't be it. And once you're here, it is IMPOSSIBLE to get decent raises
2. There are two types of employees: really amazing star employees that work their butts off and the deadweight. It's about 50/50. The dead weight are not smart or motivated, and drag us all down
3. ""Rest and vest"" is the motto, which is great for some and not for others. Working here can be a bit boring, and you may not grow as much as you would in other companies. Your career can plateau if you spend too long here. 
4. Leadership. Yikes. Ask anyone who has been here since pre-2020 when Jeff was CEO and watch them heavy sigh or grimace"
3,LinkedIn,Transformational,2022-03-29,5.0,Human Resources Business Partner HRBP,"The culture is real. I miss it very much. It is rare and special - enjoy it, add to it, and keep it alive.",Most of the roles are highly specialized and it can be a challenge to get visibility on your work day to day.
4,LinkedIn,Analyst,2022-03-27,5.0,Analyst,"Amazing culture and ability to work with some great individuals
Great management
Focus on employee well being
Great benefits
Flexibility to be hybrid or remote",No major red flags - currently very happy with company
5,LinkedIn,Tremendous Culture,2022-03-29,5.0,Sales Performance Manager,"The culture is not just a blank statement on paper, it is built in and lived everyday","There has been a few opportunities during COVID to reduce benefits and incorporate more ""sneaky corporate practices"""
6,LinkedIn,Great work life balance and top notch people,2022-03-18,5.0,Anonymous Employee,"LinkedIn has great work life balance and cares for its employees by giving us benefits, days off, and company events. At the same time, the people who work here are good at what they do and take pride in doing a good job.",Sometimes processes can take longer due to LinkedIn being a larger company.
7,LinkedIn,Best job of my life,2022-03-29,5.0,Anonymous Employee,"Great pay, equity and bonuses. Free food. Amazing people",Nothing i can think of
8,LinkedIn,Great job,2022-03-30,5.0,LTS support consultant,It was a great environment,It was done in remote because of covid
9,LinkedIn,"Amazing Company, Great Mission, Excellent Culture",2022-03-16,5.0,Product Operations Manager,"- Genuinely kind and generous colleagues
- Great company culture
- Mission-driven
- Transparent and fair leadership (in most departments)
- Driven to provide a great experience for customers and members
- Allow for remote flexibility","- Depending on the department, they can squeeze every hour of work out of you (Business Productivity department)
- Pay is competitive but not breathtaking
- Culture seems to be less of a focus these days"
10,LinkedIn,Great Entry Level Opportunity,2022-03-28,5.0,Business Leadership Program,"Fantastic opportunity to join LinkedIn at the entry-level, especially if you're interested in sales.",The work is very entry-level and can narrow one into sales
11,LinkedIn,Fantastic place to work,2022-03-29,5.0,Senior Program Manager,Caring management.  Great work/life balance,Disorganization can feel like a large startup at times
12,LinkedIn,"Lots of good, some bad...",2022-02-18,4.0,Director,"*The benefits and perks are amazing - there is so much focus, thoughtfulness and investment put into the employee experience. 
*People are really smart and nice, you don't run into a lot of jerks. 
*Teams are generally happy and love the company culture 
*Employees are passionate about the company brand, its mission, and doing the right thing for its members.
*The campus, cafe, and workplace support is the best - truly world class.
*Though they're owned by Microsoft, they do run independently from them.","*The company size is growing, which means that it's harder to get alignment on things. It does feel like organizations/leaders are getting more ""political""
*Given the amazing perks, some people stay at the company longer than they should - and for the wrong reasons. 
* They're almost too nice , which means people aren't always held accountable and exceptions are always being made. 
*It's been harder to find growth opportunities past a certain level. In some ways, it's easier to leave the company than to stay and get promoted/find an internal move."
13,LinkedIn,Used to be a great company,2022-03-04,3.0,Anonymous Employee,"Good wlb in some teams, some really talented and nice colleagues, good perks, Msft stock","Ur growth, wlb, general happiness is very team dependent. A lot of bad managers and engineers get away with things because they r favored. Company is not giving refreshers regularly like other places and always tell u to not mention getting one if u do, showing that it’s not a common practice. Comp too low for the amount and level of work I do."
14,LinkedIn,good!,2022-03-27,5.0,Software Engineer,great work life balance and good company culture,no refresh and tech stack is not cut-edge
15,LinkedIn,Great Company,2022-03-26,5.0,Monitization,Great Benefits and an awesome environment,There are really no downsides
16,LinkedIn,"Great Company - employee, customer and product focused",2022-03-16,5.0,Program Manager,"Linkedin values it's employees providing great facilities, monthly development days, and 'unlimited' time off and it's products are focused on empowering the individual.","As the company grows in size, it seems to be growing more silo'd"
17,LinkedIn,Great Culture,2022-03-25,5.0,Consumer Support Specialist,"Great benefits and culture, 401k match",Have to work holidays in support
18,LinkedIn,Overall ok experience.,2022-03-29,3.0,Anonymous Employee,"Good benefits, and opportunity to get your hands on interesting problems to solve.",The culture and pay are not the best. Pay is sub par compared to other big tech companies and the workload is intense.
19,LinkedIn,Great company culture!,2022-03-22,5.0,Account Executive,LinkedIn really cares about their people. I recommend this experience to anyone!,Pay is slightly below market average
20,LinkedIn,"Great culture, benefits and product, but recruiters are over worked.",2021-12-08,4.0,Technical Recruiter,"- Competitive pay (for recruiters)
- Great culture. This starts with great transparency from almost every level. Management gives us opportunities to create impact and make a name for ourselves constantly. 
- There are tons of benefits and employee groups that really show a focus on employees well being. 
- Colleagues are great people who work hard, and will help you.
- Lots of holidays, including the week between Xmas and new year, and week of July 4th.
- A great focus on diversity that has paid off - diverse group of people who work here
- Great product.
- A mission that's easy to get behind, and really drives most of the decisions it would seem.","-We are heavily over worked in recruiting. This is very common nowadays across most companies I am sure, but it can be a weight when you feel like you didn't accomplish nearly enough after a 10 hour day. This also leads to (at least myself) feeling reluctant to take any vacation time.
- Technology in recruiting. The tools we have amount to not much more than Excel and LI Recruiter. There are lots of areas where recruiting could be more efficient but there are missed opportunities because of poor systems."
21,LinkedIn,Great company to work for,2022-03-09,5.0,Senior Consultant,"Working over the pandemic, it was incredible to see how they stepped up to take care of their employees. Great focus on DEIB (but always more work to be done), strong mission and vision, good people.","Can be very LTS focused, but I think this is slowly changing."
22,LinkedIn,A place where people lead with compassion,2022-03-09,5.0,Technical Recruiter,The people are amazing. The processes for Talent are relatively organized and robust enough to be successful.,Nothing specific to LinkedIn. I run across the same challenges I would with hiring candidates at any employer within the current job market.
