,company,headline,date,overall_rating,author_position,pros,cons
0,Meta,Best employer so far,2021-11-09,5.0,Software Engineer,"I’m still a bit new, but I have very good impressions so far. I have 10 years exp at 5+ other companies (although no other tech companies) and this is the best by a good margin. 

First off, everyone is nice here! Yes, folks are ambitious, but there is a shockingly small percentage of jerks here… not sure exactly how they are weeded out, but I’m grateful for it!

Lots of small benefits and well-run systems give the overwhelming feeling that this company just generally has its sh*t together. Shuttles, good food, good internal chat and groups system, not too many meetings or emails (much better than other companies!), great tech stack and automation, etc etc. 

Pretty good transparency and communication with leadership (e.g., weekly CEO/CTO Q&As). They are open to feedback and change when needed, without too much unnecessary reorg-ing and pivoting. Good examples recently are moving to annual performance reviews after years of complaints with 6-month cycle, decoupling Oculus and FB accounts, and killing facial recognition. 

Comp is fantastic, and relatively standardized within levels. Engineers don’t have different titles between levels, we’re all just software engineers. This was weird at first, but is a really cool feature that discourages dumb hierarchies. 

Work life balance is totally reasonable in my experience, but might be different on other teams. 

Mark is great, I don’t really understand why folks dislike him externally.","Some risk with new company direction. The metaverse shift is gutsy. It seems like a reasonable move, but if it doesn’t pan out, Meta might not be the same tech giant in 10-15 years. 

Like any big company, it has its share of internal koolaid/propaganda (but criticism/feedback is still welcomed and discussed openly) 

The (largely overblown) negative media coverage can lead to some family and friends judging you a bit for where you work, if you care about that sort of thing."
1,Meta,good company,2022-04-04,5.0,Software Engineer,"- wlb is pretty good
- tech driven","- psc rating
- benefits cutting"
2,Meta,"Great culture, perks.",2022-04-03,5.0,Senior User Experience Researcher,Work on the biggest issues in the world at a fast pace and with rigor.,External pressure and toxicity toward company.
3,Meta,Good Experience! Robust Training,2022-04-01,5.0,Technical Sourcer,Good Training. Good Management Team. A lot of support. Great Diversity,Talent Camp could use some improvement
4,Meta,Good benefits,2022-03-25,5.0,Software Developer,"Good benefits, good pay, and empowering environment to breed innovation.","Fast pace work environment, but have high energy"
5,Meta,Work culture,2022-03-31,5.0,Senior Tech Recruiter,"Great benefits, good pay and highly collaborative work culture.","Long hours, high stress and very fast paced performance driven culture."
6,Meta,Great place to work,2022-03-31,5.0,Software Engineer,"Lots of flexibility, plenty of different teams to choose from",Have not experienced any yet
7,Meta,Great times,2022-04-01,5.0,Digital Content Creator,Great people culture and environment,Nothing that I can think if
8,Meta,Good compensation,2022-03-31,5.0,Software Engineer,Benefits in Meta is really good,stock price is at bottom no w
9,Meta,Best workplace in the world,2022-03-31,5.0,Learning Partner,"+relatively flat organization (values everyone's perspectives and encourages hard conversations, radical candor regardless of level or tenure) 
+ People are generally nice (good combination of high smarts and high emotional intelligence) 
+ strong culture of DE&I (you really feel the management is trying hard with new initiatives, programs, communities to make everyone feel included, safe, fair, respected) 
+ Great support for making strong people managers (we have a pulse survey to check sentiment of the employees and our manager scores are always really high) 
+ Work/Life balance is totally(100%) achievable. It's really up to you and your manager and your team culture. Work time is flexible as long as you have your goals set. 
+ Great benefits",- Not much that I can think of. (I worked in 4 other international(mostly american) companies in the past and by far Meta is the best)
10,Meta,Great place to learn and grow,2022-03-28,5.0,Quantitative User Experience Researcher,"- Collaborative Culture
- Opportunities for learning
- Compensation & Benefits",- Compensation not as good as competitors
11,Meta,Rockstar company with rockstar values,2022-03-28,5.0,Senior Software Engineer,"Bottom up, Move fast, Employee centric",Lot of cross functional communication
12,Meta,Great culture and benefits,2022-03-28,5.0,Technical Recruiter,Culture and benefits are wonderful,"Nothing yet, great so far."
13,Meta,Meta,2022-03-29,5.0,Technical Sourcer,Great Company to work for,none that come to top of mind
14,Meta,Good,2022-03-25,5.0,Software Engineer,Job was good and fun,There are no downsides to this job
15,Meta,Great company for employees,2022-03-27,5.0,Operations Manager,Great perks and company culture of transparency,Can be chaotic as it takes on bottom up approaches
16,Meta,Great place for career,2022-03-28,5.0,Anonymous Employee,"Culture, compensation and people are great",Negative company image with new processes making development process slower
17,Meta,Good company,2022-03-27,5.0,Software Engineer,"Great culture, leadership and colleagues",Work and life balance is bad
18,Meta,Nice workplace,2022-03-23,5.0,Software Engineer,"They're a good company, good work-life balance.",Not so many new challenges.
19,Meta,Impact focused & positive culture with opportunity to grow your career,2022-03-20,5.0,Client Solutions Manager,"Flexibility to move around internally, drive an incredible amount of impact, and work with incredibly talented and motivated people","Very large corporate company, though they do their best to remove roadblocks to moving fast"
20,Meta,You probably already know how it is,2022-03-22,5.0,Software Engineer,"Great comp and benefits. There's so many different teams you can very likely find something you like
Transparency and open discussions for the most part","Some policy decisions make it feel more like a dinosaur than a FANG company but TC makes up for it 
Culture and WLB depends heavily on your team"
21,Meta,Engineer,2022-03-22,5.0,Research Engineer,"Move Fast, very good, good meal",A little bit long from my home.
22,Meta,"Great Company if you can avoid the ""Impact Zombies""",2022-03-19,4.0,Product Manager,"Founder-led company in truly interesting spaces in the heart of the Internet/Tech economy. Meta (Facebook) has so many strengths in being able to impact billions of people across the world, and it builds amazing products that are changing the landscape of computing with Quest and future products.","Outside of Instagram, Whatsapp, and Reality Labs Research, there is still a lot of skill gaps in deep product conviction and craftsmanship. There are so many leaders, Engineers, Product Managers, and designers doing things to make a metric, a revenue/retention/growth number, or move up in their careers and personal success. This means that sometimes, solving deep product problems on the behalf of customers, with 100% focus on making their lives better and building something great is hard to get through leaders and build. This creates pockets of politics that feel disconnected from making our customers happy. It also makes it feel like we'll do anything to maintain growth and numbers against competitors taking share from us rather than asking if a fast follow copying of features is good for the heart and soul of what we're good at as a company and what will make the job our customers hire us to do in their lives fulfilled even better."
23,Meta,Great entry point to contributing to product development,2022-04-04,4.0,Product Specialist,"-Autonomy to chase big ideas and choose your own projects
-Freedom to partner with different XFN based on project requirements","Big company with lots of moving pieces. Teams will deprecate or change focus quickly. If you're not constantly on top of your teams' priorities, you will not be able to contribute and you'll be left without any work to do."
24,Meta,Good,2022-03-16,5.0,Data Scientist,"Work Culture, Salary, Work-life balance","Pressure, Management, Expectations, Relevant Experience"
25,Meta,Customer Care Global Ops,2022-03-20,5.0,Team Lead,"Free Meals, breakfast, lunch and dinner","7am-4pm, Covid tested once a week"
26,Meta,+ for learning / - for work/life balance and leadership,2022-04-02,3.0,Director,"+ High level of accountability 
+ Interesting problems to solve
+ Motivated colleagues
+ Generous pay and benefits","- Need to be constantly available / no work-life balance
- Poor company leadership leads to teams duplicating work, infighting between teams and thoughtless prioritization
- Company direction is really led by Zuckerberg and he surrounds himself with likeminded people. While it is encouraged to question him - it doesn't seem like there is a lot you can do to change his mind."
27,Meta,The best company I have worked for so far,2022-03-19,5.0,,Great benefits and smart people. Great culture and management.,No cons so far to be honest
28,Meta,Best Job I've every had,2022-03-18,5.0,Data Center Operations Engineer,"Amazing benefits, great pay, empathetic and caring team.",Only con is when you meet someone who doesn't like Meta. They'll blame you for all sorts of stuff.
29,Meta,Great place to work,2022-03-31,4.0,Product Designer,"Overall great place to work, lots of support. Find a team that works though. You can get stuck in a place that doesn't have good growth.","Highly competitive.
If you're on a dead project it's hard to get out."
30,Meta,Focus on impact!,2022-03-17,5.0,Program Manager,The focus on ownership and your colleagues make working at Meta a true joyful experience.,"There’s a lot of change, you need to be able to be resilient and deal with this."
31,Meta,E3 salary,2022-03-29,4.0,Software Engineer,Great culture and community to work for,A bit of more work as compared to other company
32,Meta,Comfortable working environment,2022-03-28,3.0,Data Analyst,"- pto, health, sick leave, global travel days, benefits",- A big part of getting promotions at the company is posting and sharing in the internal network.
33,Meta,good,2022-03-12,5.0,Software Engineer,recommended for free food good pay,everything is good work is fun
34,Meta,Good company,2022-03-11,5.0,Software Engineer,A lot of learning opportunities,Peer pressure l. Okay work life balance
35,Meta,Great Place to Work,2022-03-07,5.0,Senior Product Marketing Manager,"Culture and Pay is good, but it is really too big to get anything done.","No autonomy, several layers, no career progression"
36,Meta,Just here to do my job,2022-03-11,5.0,Notary Signing Agent,"Fun atmosphere, build relationships with customers","The people have a ""I'll just do my job"" mindset. I didn't meet anyone that would go above and beyond for a customer"
37,Meta,FTE,2022-03-09,5.0,Senior Technical Recruiter,"Remote work, Great benefits, Wellness benefits, Great company culture","Constant change
Too much middle management"
38,Meta,Amazing Opportunities,2022-03-08,5.0,Anonymous Employee,Meta is the best place to work! Love the benefits and the opportunity for growth.,No Cons I can think of.
39,Meta,Non-tech Program Manager,2022-03-22,4.0,Program Manager,"Great benefits, perks, and office environment.","A fair amount of attrition, which makes continuity difficult"
40,Meta,Good perks,2022-03-23,4.0,Operations Specialist,Great benefits and a great work environment,Low company morale and difficulty feeling confident in leadership
41,Meta,Balanced culture,2022-03-07,5.0,Technical Recruiter,Supportive management and team atmosphere. Well balance work life balance.,I dont have anything neg to share.
