,company,headline,date,overall_rating,author_position,pros,cons
0,Milwaukee Tool,Great Benefits! Poor midlevel managment,2022-04-07,2.0,Operator,Great Benefits. Healthcare is very affordable with low deductible.,No room for advancement. People who work hard aren't rewarded for their hard work and people who don't perform aren't ever punished.
1,Milwaukee Tool,30 day review,2022-04-06,4.0,Facilities Coordinator,"The work environment is excellent, also the company benefits are amazing.
Everyone I have met and had contact with here has been very pleasant and welcoming.",Training felt rushed and there isn't any manual or literature to look back on for questions once your training is complete.
2,Milwaukee Tool,Great organization. Invest in your biggest asset (people),2022-04-06,4.0,Territory Manager,"•Incredible culture 
•Tremendous upward mobility
•Dialed in leadership","•Base compensation does not match workload. Similar industry roles paid much higher
•Favoritism exists periodically"
3,Milwaukee Tool,Amazing company,2022-04-06,5.0,Advanced Quality Engineer II,"Milwaukee Tool is leagues beyond other companies I've worked for in all aspects. Company culture is the biggest thing that sets it apart, they care about and reinvest in their employees, and the products are obviously exciting to be a part of. Pay and benefits are competitive. Flexible schedules. Work hard, play hard.",Not great paternity/maternity leave. Evening calls with TTI team sometimes.
4,Milwaukee Tool,Good company to stay long and grow.,2022-04-06,5.0,Solution Delivery Lead Analyst,"1) Transparent leadership, you can approach to leadership anytime with your ideas.
2) Work life balance.
3) Nice cafe for lunch/coffee
4) And Yes, we have extra curricular activities to participate like basketball.

I am feeling good and energized joining such a company infused with culture and values.",Didn't find any cons yet.
5,Milwaukee Tool,Market leader with a good reason,2022-04-06,5.0,Principal Electrical Engineer,"It was not an accident that Milwaukee Tool became the most successful in their market segment in 2020-2021 (and still growing fast). It's the great people and the culture of the company that made that result possible. I've been working as an electrical engineer for 12+ years and worked for quite a few organizations worldwide, but I've never felt that I am surrounded by that many clever yet friendly and positive people in a room. Milwaukee Tool realized that investing in the innovation and future technologies as well as talented people pays out and they are really walking on this path, not only talk about it as many others. Inside the walls, you always feel that there are great things happening here and you always feel supported that you can make the most out of your skills.",The company is growing so rapidly that it's difficult to know most of the people.
6,Milwaukee Tool,Good place to work,2022-04-05,5.0,Anonymous Employee,Very friendly manger and employee,less challenging and less exciting
7,Milwaukee Tool,Supportive Leadership,2022-04-05,5.0,Business Process Improvement Lead,"No matter what challenge you are faced with, there is always someone in a leadership role that can give guidance and support.","Super fast pace, be ready to be clear, direct and decisive every day."
8,Milwaukee Tool,Good company. long hours expected,2022-04-03,3.0,Electrical Engineer,"-coworkers and leadership are very approachable
-good benefits and 401(k) match
-you'll learn a lot
-you own your projects
-promote from within","-expected to work long hours (50 is seen as the gold standard in engineering groups)
-marketing drives engineering decisions in negative ways at times
-pay is poor if you consider the hours expected.
-loyalty isn't rewarded (pay raises over time).
-some benefits (eg, employee tool discount) have been axed
-executive team doesn't seem to care about most workers
-despite massive earnings growth and inflation, raises this year for lower rung employees were around 3%. Somehow I doubt the upper echelons feel that."
9,Milwaukee Tool,Good company,2022-04-02,4.0,Mechanical Design Engineer II,Good culture and company benefits,Sometimes the culture is too fast paced
10,Milwaukee Tool,Amazing Workplace Culture,2022-04-02,5.0,Engineer,"- Put in positions to be an instant leader
- Growth Opportunity
- Strong Leadership",- Growing pains attributed to company growth
11,Milwaukee Tool,Mixed Bag,2022-04-02,3.0,Senior Design Engineer,Challenging / Small Oversight / Fast Paced,"they expect a lot from engineers, promotion scale is not inline with job postings and other companies"
12,Milwaukee Tool,Best Job So Far,2022-04-02,4.0,Production Scheduler,"Workplace Culture 
Opportunity for Advancement 
Good Benefits","No Profit Sharing 
7 day work week
Lack of diversity in UPPER MANAGEMENT"
13,Milwaukee Tool,Great Company to work for,2022-03-30,5.0,Mechanical Design Engineer,"-Alot of responsibily for new grads
-Trust in employees
-Great Culture",-Fast paced environment can take a little to get used too
14,Milwaukee Tool,Decent Culture,2022-03-30,3.0,Territory Manager,Promote quickly from within the company,There is not a work life balance at all.
15,Milwaukee Tool,MET Review,2022-03-29,5.0,Senior BI Developer,"Great benefits, good pay, great work life balance.",Managers are all technical people that got promoted. They are doers not people managers and in that regard they worry about accomplishing things instead of growing the people they manage.
16,Milwaukee Tool,Very Progressive Company,2022-03-28,5.0,Set-up Technician/Technologist,"I have been loving my time at Milwaukee Tool, they provide me with the resources to excel and advance my career. The environment is fun and most issues internally are dealt with swiftly.",There is not a very good system to expect and check accountability for one's responsibilities.
17,Milwaukee Tool,Great Culture and Environment,2022-03-28,5.0,Electrical Engineer,Coworkers are very easy to work with/talk to/always answer questions. Culture is also fantastic; company leaders are sure to disperse and cultivate the right culture among coworkers.,No cons to speak of
18,Milwaukee Tool,Infectious culture encourages me continue to learn in my role,2022-03-28,5.0,Senior Accountant,"- Motivating and infectious culture
- Continued growth opportunities
- One team mentality, the collaboration that occurs cross-functionally creates wonderful learning opportunities","Being involved with such a fast-paced company and considering the growth trajectory we are on at times it can be overwhelming. Things are always changing for the better, and leadership continues to value the opinions of its employees."
19,Milwaukee Tool,Exciting and fast paced,2022-03-23,4.0,Project Engineer II,"Supportive management
Flexible work environment
Good people and teamwork","Marketing committing to unrealistic timelines
Pay is average at best"
20,Milwaukee Tool,Exciting and fast paced,2022-03-23,4.0,Project Engineer II,"Supportive management
Flexible work environment
Good people and teamwork","Marketing committing to unrealistic timelines
Pay is average at best"
21,Milwaukee Tool,Fantastic Company and Culture,2022-03-22,5.0,Anonymous Employee,Fantastic Company with great culture,none none none none none
22,Milwaukee Tool,Great job,2022-03-22,5.0,Demand Planner,"great time, good people, good stuff","very busy, undefined duties , tough"
23,Milwaukee Tool,Some growing pains but great opportunities,2022-03-21,5.0,Design Engineer,"Great culture (not overly formal or bureaucratic) and passionate people
Lots of opportunities for leadership even at early stages of career
Company has many resources at its disposal and isn’t afraid to invest in development",Company is growing so fast that some of the new groups and processes are having growing pains as they get set up
24,Milwaukee Tool,Employee review,2022-03-21,5.0,Warehouse Associate,Great management and training and also benefits,Would like to have opportunity for overtime hours
25,Milwaukee Tool,From happiness to hell,2022-03-17,2.0,Quality Auditor,it's easy work and the pay is great,the supervisor I had was very unprofessional  spiteful mean and harassing
26,Milwaukee Tool,Great Company to grow your Career,2022-03-16,5.0,Sales,"Company Vehicle
Bonus incentives 
401k Benefits",I would say pay but I can’t complain
27,Milwaukee Tool,Ok,2022-03-15,3.0,Sales Associate,Good company and much advancement,Everything was good for me
28,Milwaukee Tool,"Awesome company, awesome products, underpaid for the work.",2022-03-15,4.0,Jobsite Solutions Market Manager,Great products and a good team of people around you.,Underpaid for the hours and demand that was put on me.
