,company,headline,date,overall_rating,author_position,pros,cons
0,Mountain America Credit Union,Great company,2022-03-30,5.0,FSR1,"Great environment, great benefits, great place to learn","Low pay, management can be down your back"
1,Mountain America Credit Union,Great Company,2022-03-15,4.0,Branch Manager,They put a strong focus on development (especially leadership) of each employee. They live up to the company’s mission and vision. They take care employees and give each branch a good budget to recognize and reward people for a job well done. Company is growing like crazy opening up many opportunities.,It’s hard to request more pay if you are needing a little extra. They only pay for experience in the type of role not experience in the company.
2,Mountain America Credit Union,AMAZING,2022-03-13,5.0,Member Service Representative I (MSR I),"You can tell MACU really cares about their employees. Great training and wonderful managers, wonderful benefits. It was my favorite place to work.",Members were grumpy sometimes. No cons with MACU on its own
3,Mountain America Credit Union,Best Employer,2022-03-15,5.0,Product Manager,"Employee first, phenomenal benefits, great pay, and competitive.",PTO/Vacation time could use some work.
4,Mountain America Credit Union,Trying to hard,2022-02-08,3.0,Anonymous Employee,Great Benefits that include inexpensive and good coverage options.,"-Inconsistent expectations depending on what you do or who you report to.
-Unachievable expectations depending on market and or outside factors like economy (i.e. employee retention).
-Ineffective experience from leadership who are driving wrong behaviors while preaching the MACU core values. (i.e. sales integrity vs top performers)
-Trying to hard to be the biggest credit union out there and losing sight of the value of what a credit union is."
5,Mountain America Credit Union,Great!,2022-02-23,5.0,MSR I,Great place to work! Mountain America is one of the best credit unions around and actually care about the people working for them!,Management sometimes is not it.. and members can be rude have tough skin
6,Mountain America Credit Union,Great company to work for,2022-02-09,5.0,Dispute Resolution Specialist II,"Really value their employees, lots of incentives and bonuses. Clear expectations and path to move up in the company. Management is eager to assist in helping you grow as an employee and making sure that you are taken care of. Salaries are very fair and have a yearly review. Raises are fair and consistent.",For me it was just the commute from where I live to the building.
7,Mountain America Credit Union,"Says one thing, does another",2022-03-11,1.0,Learning Experience Designer,I got an increase in salary.,Make business decisions without consulting experts in the field. More interested in maintaining the status quo than changing and growing to improve policy and procedure. Survival of the fittest culture. High rating on Glassdoor because they lack self-awareness and have a culture of sameness.
8,Mountain America Credit Union,They take good care of their employees,2022-02-16,5.0,MEO,Awesome benefits. Want you to have a work-life balance and want to see you excel and grow in your role and within the company,9-6pm that’s basically my only complaint
9,Mountain America Credit Union,Very Nice and Want for you to succed,2022-02-20,5.0,Member Service Representative,They are willing to work with your school schedule,Sometimes you have to deal with difficult customers
10,Mountain America Credit Union,Not Ideal,2022-03-08,2.0,Member Service Representative,Leadership was very kind. You always have work.,"Hours take you away from your family way more than other jobs. 
They tell you it’s the greatest job in the world rather than encourage you to grow and look elsewhere."
11,Mountain America Credit Union,Great place to work!,2022-03-20,4.0,Anonymous Employee,"Everyone was super nice, training and materials were really helpful.","Sometimes I felt like my ideas weren’t listened to,"
12,Mountain America Credit Union,Customer service,2022-02-24,5.0,Customer Service,"Awesome benefits, cheap health insurance",The calls can be so boring
13,Mountain America Credit Union,Members First,2022-02-19,5.0,Mortgage Loan Officer,Primary focus on helping the credit union members.,Can be stressful at times.
14,Mountain America Credit Union,Needs Improvement,2022-01-22,3.0,Financial Services Representative,"Great people to work with, great culture, great benefits, okay pay and chance for incentives, very diverse company, CEO and senior leadership are amazing! Great place to have your finances.","Work life balance sucks! Sometimes you have to work while sick, the CEO said he doesn't want anyone working while sick, yet I had to do it. Branches are open until 6pm. You have to work weekends. Management promotes growth only within the company and not goals outside MACU. Meetings or trainings are not communicated well. The training you receive is basic at best and not adequate in any way to consider yourself to help people make huge financial decisions. It takes forever for management to hire people. It's like pulling teeth to ask to do things during work hours, again the work life balance needs major work. Morale is low right now in the branches. Mutual trust and respect is huge in the culture but management is the worst at giving it, even though they preach it the most. Rumors between management and negative perceptions make it hard for you to grow or shake a negative view of yourself. The sales culture is getting out of hand and people are being dishonest and nothing is done when it's reported. Branch employees are paid the same as stay at home employees, might as well stay home and make the same money without having to deal with members in the branch. Career opportunities depend heavily on where you live."
15,Mountain America Credit Union,Toxic,2021-11-14,1.0,Fraud Specialist,Some genuinely amazing people work there.,"The most toxic place I have ever worked. Management does not care, regardless of how much they pretend to. They will turn everything you say around on you and convince you it's your fault. They are pushing out quality people that genuinely care about the members of the credit union and making a difference. The team is in a constant burned out state due to the amount of turn over and significant increase in work volumes. They promote giving others the benefit of the doubt, but it is never given in return. Respect goes a long way and it's severely lacking at MACU. I have never felt as disrespected in a workplace as I have here. Even seeing promotions painting the place as the most amazing place to work makes me sick."
16,Mountain America Credit Union,Great company,2022-02-03,5.0,FSR1,"great company with good benefits, good incentives and amazing culture",they could pay a little more incentive for certain products and services
17,Mountain America Credit Union,Online Service Agent,2022-02-08,5.0,Member Technical Experience Agent,Great Team to work with,Nothing wrong in my opinion
18,Mountain America Credit Union,Good college job,2022-01-27,5.0,Member Service Representative,Great environment and good benefits,Non flexible schedule. High pressure sales.
19,Mountain America Credit Union,"Great co workers, management.",2022-01-13,5.0,Part Time Teller,"Fun, good environment, good skills, opportunities. Really pushes you to become the best you can and there is tons of opportunity for advancement.",none really that come to mind!
20,Mountain America Credit Union,Intro to wealth management,2022-01-15,5.0,Member Service Associate,Put the time in and it’ll pay off,It is a waiting game
21,Mountain America Credit Union,Great Company,2022-02-08,4.0,MEO,"Good leadership, great culture, and good communication from upper management.","Pay is alright if you're looking for a sales role, but in order to make more money you would need to work in a higher sales role that could take years to achieve."
22,Mountain America Credit Union,"Great job, good benefits, incredible culture",2022-01-05,5.0,Marketing Manager,"Strong leadership, incredible culture, really love working for Mountain America.","Not a lot to say here, especially while I still work here."
23,Mountain America Credit Union,great employer,2022-01-09,5.0,Financial Services Representative,competitive salary infinite incentives great benefits,some managers are bad to work with
24,Mountain America Credit Union,Excellent Place to Work,2022-01-04,5.0,Software Engineer,"Great place to grow, great team and management.",Haven't encountered anything to note as a con.
25,Mountain America Credit Union,Great,2022-02-09,2.0,Technical Support Specialist,Excellent place to work if you are easy going,Team leads are young and not as professional as I would have liked
26,Mountain America Credit Union,Good company,2022-02-16,4.0,Financial Service Representative,"Great coworkers, growth, Training and 
Environment",Not too many cons. Pay can be better.
27,Mountain America Credit Union,Beware,2022-01-24,2.0,Anonymous Employee,Nice building and many holidays off.,"Eliminate positions without notice. Witnessed many suddenly disappear, and this was pre-Covid, cant imagine how they are now. Watched an AVP sit on his iPhone daily and surf the internet while being paid nearly 100k while his team worked horrible hours and did all his work."
28,Mountain America Credit Union,Inconsistent,2021-12-26,3.0,Underwriter,"Benefits and Time off 
Co workers 
Products and Services","Inconsistent expectations depending on department. Some depts micromanage you, while others ignore you. Seemed to be retaliated against when trying to have difficult conversations with Managers. Coaching inconsistent and irrelevant to job at times."
