,company,headline,date,overall_rating,author_position,pros,cons
0,NIH,Good training,2022-04-02,5.0,Postdoctoral Fellow,Best training in NIH bayview campus,I know some mentors are too mean
1,NIH,Opportunity to work at a company with a worthy cause,2022-03-29,5.0,Anonymous Employee,"- You are helping others
- Great Salary and Benefits
- Some really nice people to work for and with
- Feels like campus life. Plenty of opportunities to move up if you get with the right department.","- If you end up with the wrong department, things can go left quickly
- Unfortunately with these ""bad"" departments no room for growth
- ""Bad"" Departments has poor leadership, micromanage and terrible behaviors unbecoming of what a manager should be. 
Strongly recommend doing your research prior to saying yes to a job/find out what institute or department prior to."
2,NIH,GREAT FOR RESEARCH,2022-03-30,5.0,Postdoctoral Visiting Fellow,"good resources for research
highly diverse people and talent","not a academic setting
red tape"
3,NIH,Very good place to do research,2022-03-27,5.0,Research Fellow,Many centers with very big research commmunity with scientists from all over the world.,"Basically None, very good place to do research."
4,NIH,Great Company & $0 insurance premium,2022-02-22,5.0,Scientific Program Analyst,"They pay your full monthly premium no matter which plan you choose, use bluechoice BCBS which is very good. They also have a $0 deductible plan for health insurance. I got a $5k signing bonus, the pay is very competitive, HR is very understanding. My time off requests are usually approved the same day.",Their monthly contractor-required updates are a bit of a hassle - a 1 page update of what you've accomplished. My previous contracting job (in the same position I'm in now) only required a short survey asking if I've completed what was listed on my job description.
5,NIH,Nice place to gain experience,2022-03-25,5.0,"Registered Nurse, BSN",The flexibility of the schedule,There is no increase for Per Diem
6,NIH,Working virtually,2022-02-21,5.0,Anonymous Employee,Feeling like I am doing something great to support the health and well-being of other people. The people I work with and for have also been very supportive and friendly.,"Training as a new employee in a virtual environment can be difficult. I was glad I had worked in the NIH system previously, but a completely new person may find learning how to use some of the challenges of the system. Fortunately, this is something that is recognized by management."
7,NIH,Good Place to be an older graduate student,2022-03-29,4.0,Doctoral Candidate,Higher stipend (and budget) for graduate students than any academic department I have ever come across.,Dont have access to as much variety in intellectual enrichment opportunities as you are not on a traditional academic campus.
8,NIH,Pros and Cons,2022-04-02,3.0,Microbiologist,advanced Hi-Tech institutes and cutting edge instruments,Long hours and Limited Career Growth
9,NIH,Exceptional experience but it comes with a lot of responsibilities,2022-03-31,4.0,Postbaccalaureate IRTA,"Wonderful experience, excellent place to make science","Tons of work, hard to keep up but worth it"
10,NIH,working for the government,2022-04-01,4.0,Scientific Review Officer/Health Scientist Administrator,stable prospects of employment for many years,the environment is too stifle
11,NIH,Good training experience,2022-03-10,5.0,Postbaccalaureate IRTA,"Gained a lot of hands-on experience
Helpful trainings and career resources","Experience depends heavily on your PI/mentor
Sometimes stuck doing your lab's menial tasks"
12,NIH,Excellent Place To Work,2022-03-16,5.0,Anonymous Employee,Great Training environment and opportunities,Opportunity for advancement not as readily available
13,NIH,"If you can think it,  you can do it",2022-03-07,5.0,Postdoctoral Visiting Fellow,Resources and ease of doing experiments.,"Lots of federal red tape, weird environment- niether academic science nor clinical nor is it industry like."
14,NIH,Flexible work hours,2022-03-24,4.0,Senior Systems Administrator,"Information Technologies role.  Flexible work hours, but plenty to do in an ever changing environment.",Can be very stressful at times.  Slightly understaffed.  Must be willing to adapt to new technologies.
15,NIH,Nice place to work,2022-03-31,3.0,PhD Senior Research Fellow,"Incredible teams interaction, cutting edge science","budget cutbacks, carrer avancement difficult"
16,NIH,Amazing Opportunity Limited Tenure,2022-02-18,5.0,Senior Scientist,Opportunity to collaborate with world class research scientists on chronic or emerging health issues.,"Limited tenure for essentially all roles not FTE, which are themselves limited in scope."
17,NIH,Diverse and supportive work environment,2022-02-10,5.0,Graduate Research Assistant,"- Opportunities to participate in mentorship programs focused on minorities 

- Research staff is skilled in training. Very patient and understanding. Varies from lab to lab.

- Research is top-tier and is driven by health challenges faced in the nation.","- Politics do pop up here and there, but for the most part people have been professional and there are organizations and commitees that are supportive in mediating interpersonal issues and misconduct."
18,NIH,Nothing but the best,2022-03-10,5.0,Lab Manager,The caliber of people you work with,Not really their fault but government red tape
19,NIH,Great place to work if you area federal employee,2022-02-11,3.0,Scientist,Good compensation and OK benefits.,"These so called permanent and long term contract jobs could be end up being a short term job and the FTL could end the contract as early as 6 months into your employment with no apparent reasons and you are out looking for a job again. Your position still depends upon the whims of your P.I/FTL and is no better than a post doc position. Best case scenario is you join a good lab and a great P.I and they decide to keep you on for a long time. NIH is best for post doc fellows and federal staff positions. Anything beyond that could only be a temporary situation. Just be aware. But again, the compensation is great."
20,NIH,National Institutes of Health,2022-03-10,5.0,Patient Care Technician,they have great benefits and pay,military veterans supersede civilan employees
21,NIH,Great,2022-03-07,5.0,Scientist,"Good place to work
Health insurance
Retirement",Nothing I could think of
22,NIH,Nothing like getting to do research at the NIH,2022-02-24,5.0,Graduate Student,"Great resources available, you are really only limited by what you can do in your time here.",There really aren't any cons I can think of.
23,NIH,Depressing,2022-03-26,3.0,Podcast Producer,There are a lot of learning opportunities.,"Poor social opportunities
Experience is lab dependent"
24,NIH,Excellent environment for research,2022-03-02,5.0,Postdoctoral Fellow,Protective for junior trainees and good pay,Depend on different lab culture
25,NIH,Fellow,2022-03-24,4.0,Research Fellow,Government funding allows ample resource to perform research,It is a non academic research institute.
26,NIH,Good place to work,2022-03-02,5.0,Postdoctoral Research,Good place to work here,Some cons about this place
27,NIH,Excellent Pace to Pursue Science,2022-02-26,5.0,Staff Scientist,Sufficient funding without worrying money at all,Things a bit slow as typical big organization.
28,NIH,Working as FTE Research Fellow at NIH,2022-02-25,5.0,Research Fellow,"Great resources, flexibility, work-life balance, competetive salary.",there are no cons I can think of.
29,NIH,wonderful company,2022-02-26,5.0,Consultant,"Great teams and collaborations, meaningful work.","political issues can arise, sometimes little room for upward growth"
30,NIH,Good environment,2022-02-26,5.0,Clinical Fellow,"Environment, good benefits, diversity and exciting research opportunities","salary cap, everything is very systematic"
31,NIH,One of the most trainee-friendly institutions,2022-03-17,4.0,Postdoctoral Fellow,Great place to do research,Some people are low. Sometimes need to deal with bureaucracy
32,NIH,Good,2022-02-19,5.0,Lab Tech,Nice place to work at,Nice place over all to be in
33,NIH,great place to work,2022-02-15,5.0,Postdoctoral Fellow,"Great place to do research, great colleagues, good environment",paid as a 1099 contractor
34,NIH,Mission,2022-02-13,5.0,Anonymous Employee,Stable and important work. Great mission,Working for the government can impact the job
35,NIH,Great,2022-03-15,4.0,Senior Director,Great place to work in science,"Nothing, that stands out specifically."
36,NIH,PostDocAtNIH,2022-03-11,4.0,Postdoctoral Fellow,"Great environment and culture, Great insurance",Salary of postdoc should increased
37,NIH,Statistician in OHR,2022-02-08,5.0,Statistician,"Great work-life balance, very positive culture!",Things move a bit slowly.
38,NIH,NIAID is a great place to work!,2022-02-02,5.0,Health Specialist,"Important mission, supports professional development.","Bureaucracy can sometimes be frustrating, but no worse than other government jobs."
39,NIH,Overall good,2022-02-07,5.0,Support Assistant,"work-life balance
Telework flexible
Healthcare benefits
Diversity
Overall great team work","pay scale
Working with different personalities"
