,company,headline,date,overall_rating,author_position,pros,cons
0,Rivian,I plan to retire from here!,2022-03-30,5.0,Group Leader,"Great atmosphere
Great pay
Great benefits
great product","The only problem I have is with all of the expansions, the parking lot is getting smaller"
1,Rivian,Proceed with caution,2021-07-27,3.0,Staff Software Engineer,You get to build around one of the most exciting products to come to market since the iphone. The teams you work with will be incredibly knowledgeable and helpful. RJ gives clear guidance on what is happening all the time.,"Biggest con right now is they're requesting everyone to go back to work when Covid levels are rising. Remote work should be an option for those who have been doing it for OVER A YEAR now without any issues. This shouldn't be a manager driven thing but should the employee want to do such then they have the option, not management. RSUs are a joke - you get taxed on them like crazy and they make it feel like they're a better option than stock options for the employee. Make sure you get a high base pay because a large chunk of your RSU's will get eaten up in standard income taxes vs. long term capital gains (15%) like leadership does. Lastly, company is moving fast so there are a lot of redundant roles being created because one side of the business doesn't know what the other side of the business is doing. This will result in layoffs in the future once people figure out they're building the same things."
2,Rivian,Couldn't be happier!,2022-01-20,5.0,Senior Executive Assistant,"The coolest EV truck on the market! The purpose of this organization makes me proud. The environmental efforts inside the plant- no garbage cans at your desk. Everything is disposed of in appropriate recycle bins. 
Copies and paper usage is at a minimum. If it's on the SharePoint to refer to, no need to print off. 
Cafeteria uses recycled material for containers.
Slack application is used for the #1 communication tool which provides immediate responses throughout the organization.
Stipends for cell phone and WiFi usage per paycheck.
Executives do not have offices, but desks out in the same area as everyone else. 
Office attire is jeans, casual pants and whatever shirt and shoes you are comfortable in. No suits or skirts / dresses required. 
The collaboration between everyone is impressive. One Team, One Climb is seen through interactions and collaborations. 
I love it here!","Huge parking lot, easy to lose your car {at least for me}. They have multiple city-sized buses that run back and forth to the plant almost every 5-10 minutes. Pretty good management for the transportation of staff."
3,Rivian,Real Story,2022-03-07,2.0,Technician,"They Pay Decent
Benefits are cheap","Makes promises, does NOT keep them
Says one thing about schedule in Onboarding, completely different actual schedule
Voluntary work is obsolete, ALL mandatory (12hrs 6 days week)
NO work life balance
Preaches Open Door policy; ALL doors are closed
Does NOT care about worker fatigue
Ask management anything and get no response/ignored"
4,Rivian,Not a place to work if you have a family,2022-02-10,1.0,Anonymous Employee,"Pay is nice, good benefits, CEO is very hands on and kind.","You never see your family, working 12 hour shifts 6 days a week, they blame it on it being a ""start up company"" when they are past that stage and in production of their vehicles. You will work those 70-80 hour weeks, just to come home and pass out because you are left with no energy. For your paid sick days, you are given 10 days in a year, they do not adjust or account for forced overtime. You are required to use 12 hours of your time, out of your 80 hours, while the rest of the plant gets to use their full 10 days. They tell you when you are hired that it will be awesome, you'll get super hyped and then they will drain you dry till you have nothing left to give. They are extremely inconsistent, between start times, and supervisors, things are constantly changing, no one can make up their minds and it causes a lot of conflict. Their version of HR is a joke, any concerns or complaints submitted to management are ignored, and you never hear back, almost like they are trained to avoid employees."
5,Rivian,What would you like to know?,2022-03-28,2.0,Assembly Team Member,"If I must admit the place is and has it's good things. Pay is god, could be a little better though with how much they have us all working. Benefits are great. Some management acknowledges you and what you put into work amongst may other things. There is room to grow within the company too.",Communication is a big one here. Along with having us work 12.5 hours 6 days a week. Long hours and the biggest red flag for me is the hours alone. Very indecisive work flow. You never know what time you're getting off work.
6,Rivian,Horrible work life balance. Don’t take this job if you value your family,2022-02-11,1.0,Technician,Test driving fast very trucks,"You will not have a life outside of work. If you love your family do NOT take a job here. They will never see you. They force 12 hours a day 6 days a week and the only reason it’s only 6 days is because the state of Illinois forced them to give you at least one day off a week. 

They will hire new people in making significantly more money than you (6-10 dollars an hour) to do the exact same job as you and expect you to train them. 

The management has no idea how to run a factory or what they are doing. Things change by the hour because no one can make a decision. 

If you bring any of this up to HR ( or people partners as they call them) you will get told we don’t know the answer to any of your questions and will keep telling you that for months hoping you will forget about it."
7,Rivian,Living the adventure,2021-05-08,5.0,Staff Software Engineer,"I have been at Rivian for around one year, and it feels like a lifetime given how things have changed and how the company has grown. 

Rivian has been one of the most enjoyable experiences so far. The culture here goes beyond a set of buzzwords that you would find in other companies (here called Compass values). There are a lot of smart and truly passionate people who do not hesitate to roll up their sleeves and come together to get things done and deliver the best product. RJ comes across as a genuine person and is very approachable. The leadership are not isolated in a tower and are close to the engineers on the ground, and involved in the execution details. The company has taken risks to build an internal technology solution from a clean sheet. This is paying off and enabling the engineering teams to move much faster than other Automotive OEMs. The job requires a lot of commitment, and you need to be able to deal with frequently changing directions. The processes here are sometimes immature. But this is also part of the fun experience of being at a growing start-up, and the company provides an environment where you can voice your feedback and help improve things.","The pay is good, and rather in-line with other tech companies.  However, there are no equity refreshers and there are some restrictive conditions with the RSU grants. In general, there's very little communication on the company valuation or the IPO target date, which is unfortunate."
8,Rivian,Enter with Extreme Caution,2022-03-29,2.0,Anonymous Employee,Clean sheet approach. Awesome environment.,"Lack of inclusiveness. non-diverse group of people, especially the Plymouth location. Rude and condescending leadership where belittling will occur in public during meetings. Senior leadership fired people who did not tell them what they wanted to hear."
9,Rivian,Great Place to Work,2022-03-23,5.0,Analyst,"-Always something challenging to work on.
-Always know I can ask someone for help
-Company is always trying to do better",-Typical growing pains for a company still in it's growth phase
10,Rivian,"Incredible Company, Incredible Product, Be Ready To Work",2022-03-08,5.0,"Team Lead, Workplace Operations","Company Culture
CEO is brilliant
Product is insanely cool
Company growth is skyrocketing","Company growth is skyrocketing... no company on this planet will navigate hypergrowth seamlessly. The team at Rivian is world class, and as prepared as any, but growing pains are real.
The phrase ""drinking from a firehose"" is commonplace... but if you're up for the challenge, and align with the mission, this is your place."
11,Rivian,Love it,2022-03-29,5.0,Controls Engineer,Love the culture and quality of engineers,Should probably focus on battery material sourcing...
12,Rivian,Work place environemtn,2022-03-25,5.0,Vehicle Operations Specialist,Amazing culture that Rivian has built and the company takes care of you.,Start up nature makes constant changes a bit overwhelming sometimes
13,Rivian,GREAT.....but also HELL,2022-01-06,3.0,Material Handler,"Consistent hours, lots of overtime opportunities, good pay, good benefits, great sick leave","The company does not understand work/life balance. Right now I am working 2 weeks straight with 1 day off. Some people don't mind but it does get to be a lot, especially around holidays. Plan on not seeing your kids or family a lot because you will LIVE there. Management and ""team"" environment is OK but mediocre and subpar. Management often times is more so just a title and non existent. The term ""team"" loses its claimed value at the company once you leave orientation. DO NOT COUNT ON ANYTHING THEY TELL YOU! They love to pull the rug from under you a lot so please take everything lightly and don't expect to get everything that they tell you. They promote the people that are the WORST examples.... people that you would probably use as an example of what not to be... this isn't true for all but definitely for most."
14,Rivian,"Awesome Company, with some slightly less desirable qualities.",2022-01-26,4.0,Team Member,"Outstanding work culture, perks, people and pay. I've never worked at any place with such hardworking and teamwork-oriented mindsets. The opportunities at Rivian are endless for those with the aptitude and determination to apply themselves. Alongside that, beats working for a company where for once, you can see the fruits of your hard work by watching happy customers take home some awesome vehicles that everyone had a part in creating.","Being that it's a start up company, I had forseen long hours and weekends to occur, however, not in such high frequency. I have a family at home that I barely get to see anymore and it's destroying me mentally having to put the bulk of the workload at home on my fiancé since I practically live at work. Sadly, we were all sold the lie about a healthy Work-Life balance that Rivian touted at our Onboarding Process and it feels like the only way you can make that happen is if you pour gasoline on your vacation time and set it on fire, after that has been exhausted, you're pretty much screwed. The work life balance they touted is the main reason I came here because my previous job had me working hours similar to this and it wasn't working out well with my daughter being born recently. I feel my employment here slowly dwindling by the day since finding a babysitter to watch my daughter whilst I work long hours and weekends constantly is what is consuming my vacation here and it hurts because I really want to stay employed here but I find it challenging to fulfill the requirements they set out for us."
15,Rivian,Great start-up electric vehicle company,2022-01-14,5.0,Senior Field Specialist,"Great company culture. Diverse and inclusive teams. Great pay. Good for people who are open to change/pivots. Good for those who can work collaboratively with others! Lots of learning. Lots of check-ins and feedback sessions. Good for self-starters, go-getters, and team players with a positive attitude. The team is open and willing to train anyone with a can-do attitude. Good for those who are patient with customers, coworkers, change, and with production wait times.",Lack of vehicles to train hands-on with is a challenge! Waiting on vehicles to be ready for delivery. There can be a lot of information given to you in the first few weeks that you have to navigate and manage - but be patient and you'll absorb and catch up.
16,Rivian,Tons of potential lost in the hands of amateur's.,2022-02-19,2.0,Field Specialist,"You will get to experience some of the cool parts of being in an exclusive company. 
Stock purchase discounts.","The previous mentions of it being a ""boys club"" are partially true. 
Not a very diverse company overall.
No people of color in management in most of the company.
Lack of relevant experience severely damages the employee experience. 
Pay is not competitive for the job itself and no growth potential. 
startup vibes are very heavy in culture, expect surprise trips. 
slow work days as a result of being a new brand leaves team members feeling undervalued. 
management can be questionable depending on the location and department you work in."
17,Rivian,Solid Company With Room For Improvement,2022-03-10,4.0,Team Member,"Pay is solid with many opportunities for overtime
Job itself isn’t difficult
Great coworkers
Fantastic group lead
Great benefits","Hours are rough
Scheduling isn’t great as in you aren’t sure when you’re off for the day until late in the shift
Typically a 6 day work week with 8-10 hour shifts with some departments working 12 hour shifts sometimes"
18,Rivian,no headline,2022-01-12,2.0,Quality Control Inspector,"clean, they give you snacks",In the 6 months I have worked here I have worked enough hours to have worked a full year. In my orientation they stressed how they have a strong belief in their employees having a work/life balance but since then I have rarely worked a week below 60 hours and I have worked several 84 hour weeks all mandatory. At the beginning they would have me here Monday-Saturday but in the last 3 months it has turned into Monday-Sunday and I have only gotten a day off after working 13 days straight. If I have to leave early or take a day off for anything including medical care I have to use my paid time off and I have to use as many hours as they decide what my shift would have been that day. it is always at the least 10. If you only like to get a day off when state law mandates you have to have one then this may be the place for you. I understand that this is not the experience for everyone in the company but this has been the experience of most of the people in my area of the plant.
19,Rivian,Great Place to work,2022-03-16,5.0,Trail Engineer,"I don't work in normal, but this is a great place to work. Nice offices, smart people. Also a great learning experience. People are very dedicated to the corporate values, which is unusual","Not well organized, which makes sense for a new company."
20,Rivian,Good foundations for a great company,2022-03-01,5.0,Manufacturing Engineer,"Work/Life Balance
Inclusive culture
Alot of autonomy
Great CEO and C-suite","Alot of travel if you work at the plant but live in a remote office (as expected)
Growing pains - the hiring surge makes it difficult to find the right people to answer certain questions"
21,Rivian,Great place to work,2022-03-23,5.0,Automotive Diagnostic Specialist,"Great people, pay and outlook",None that I can think of
22,Rivian,Cool environment,2022-03-18,5.0,Anonymous Employee,Work is exciting and fast-paced. People are very friendly and inclusive.,Work can be demanding sometimes.
