,company,headline,date,overall_rating,author_position,pros,cons
0,Trader Joe's,Love the people,2022-04-03,5.0,Crew Member,"Co-workers, customers, schedule flexibility, food!","It is about 50/50 when it comes to the Mates (supervisors). When they are good they are very, very good and when they are bad, they are rotten."
1,Trader Joe's,Amazing company to work for while studying,2022-04-01,5.0,Crew Member,"Great pay, full benefits, friendly environment, lots of perks (and food)","Corporate culture, only good if management is good - depending on the store you work at,"
2,Trader Joe's,Awesome Company,2022-04-01,5.0,Crew,"Schedule Flexibility, No-stress shifts, fun co-workers, happy atmosphere, decent pay and benefits",None really for what the job is!
3,Trader Joe's,Good place to work,2022-03-31,5.0,Cashier,"Money, the people , good work place.",Working weekends and short breaks
4,Trader Joe's,Awesome Place to Work,2022-03-31,5.0,Crew Member,"Flexible, great team environment, easy to make a career, gratifying,","Can be hard on the body after years of work, higher safety risk, need to be able to work around a crazy amount of people"
5,Trader Joe's,It was great experience and learned a lot,2022-03-30,5.0,Crew Memebr,It was great and fun,No cons. It was very fun.
6,Trader Joe's,"BEST Place, Benefits, Co-workers, Customers",2022-03-30,5.0,Crew Member,"Management is professional, qualified, has integrity, supportive, fun. Job is great exercise physically and everyone is ""Crew"" we all do the same things and are scheduled to switch what we're doing every hour to keep us fresh mentally and physically. Benefits, pay and raises are amazing.....fun factor amazing, we are one big family and truly work as a team. I could write for an hour about the pros.",There is a lot of free food so you can gain a little bit of weight of you don't balance it all out.
7,Trader Joe's,Great,2022-03-30,5.0,Anonymous Employee,Everything is awesome at TJs,Nothing is wrong with TJs
8,Trader Joe's,Comfortable Job,2022-03-29,5.0,Crew Member,"Good people, easy work, flexible schedule",Can’t move up very far
9,Trader Joe's,"Amazing, but hard work.",2022-03-29,5.0,Crew Member,"Great culture, physically demanding. The easiest way I've lost weight.",The work can take a toll on your body if you're not careful.
10,Trader Joe's,Excellent Company,2022-03-29,5.0,Crew Member,"Competitive Wages
Friendly Staff
Growth opportunities
Excellent benefits","Very fast-paced
Can be very physically demanding"
11,Trader Joe's,Cool place,2022-03-29,5.0,Sacker/Checker/Stocker/Customer Service/Meat and Cheese Island,"Good coworkers, great location, fun music, and good food!",Long lines in store checkouts
12,Trader Joe's,Great,2022-03-28,5.0,Anonymous Employee,Great team and very dedicated to the people,No cons because I love Trader Joe’s
13,Trader Joe's,Best retail job there is,2022-03-27,5.0,Crew,"Good pay and benefits, flexible schedule, great coworkers, fantastic culture, motivating environment.",Hard to get hired due to so many applicants
14,Trader Joe's,Great College Job,2022-03-27,5.0,Anonymous Employee,Flexible shifts for a college student!,none great job it can be physically demanding but other than that no complaints
15,Trader Joe's,Please disregard this post-glassdoor forced me to post to look at their information,2022-03-27,5.0,"Registered Nurse, BSN",it was good and fun,nothing at all it was great
16,Trader Joe's,Great,2022-03-26,5.0,Anonymous Employee,Working here is very great,The shift hours could be better
17,Trader Joe's,Fantastic,2022-03-25,5.0,Crew Member,Great crew to work with,More physical labor than expected
18,Trader Joe's,Very friendly environment,2022-03-25,5.0,Crew Member,"Team work, friendship, free food, a lot fun, good workout",Some shifts you have to work until 11 pm.
