,company,headline,date,overall_rating,author_position,pros,cons
0,Viasat,"Great Atmosphere, bad Pay",2022-03-29,5.0,Manufacturing Engineer,"Atmosphere, benefits, people, community, environment","really, really, really lousy pay"
1,Viasat,Don't even bother to try working with HR,2022-03-17,2.0,Senior Software Engineer,"Decent place for an engineer overall. The work is interesting and there are smart people on the engineering teams. There are some ""us vs. them"" attitudes from people who have been with the company a long time. From what I hear it used to be much better 10+ years ago.","They are struggling like most companies which is no surprise with the supply chain issues. 

HR is the group to avoid here. From the beginning, it was about working around 
HR to get to talk with the hiring manager (I applied - did not hear back from anyone for a couple of weeks. I then reached out to a manager on LinkedIn who passed along my resume to the hiring manager who called me right away). After that, it was the hiring manager and the team that pushed to make things happen (not HR). Even after you're hired they seem to have no interest in being a part of your success or helping you unless there is something in it for them that makes them look good or if you are part of senior leadership. They definitely do not walk the talk."
2,Viasat,"Pay is so good, but no training or structure to new hires in Software",2022-04-04,3.0,Software Engineer New Grad,"Pay is amazing for a new hire right out of school

Office is nice and food is good, although they make you pay for it.","401k is terrible. 50% match.(most decent tech companies do 100%match, yet these people do 50%)

No training structure or training at all for software roles. First few months I just came into work with no idea what i would be doing for the day besides meetings. Just had to act busy . Im happy with what I do now being here for a year and half but like i said first bit was rough without a training on how to code/test/projects/do things. I had to self teach everything to just keep up.

Unlim time off but never been able to use it without mgmt getting upset when I took time off."
3,Viasat,Runs like a start up without any of the perks of a start up,2022-03-17,3.0,Anonymous Employee,"Viasat is a place where there is a lot of opportunity to do anything you want. If you have an interest, you can fit in and do almost anything. When you start out, its very exciting.","Unfortunately, Viasat is a place where everything you do thats above and beyond immediately (and retroactively) becomes part of your job. There are a VERY small number of people who get recognition for the hard work of a lot of people. It doesn't matter if you work 32hrs or 52hrs a week, the upper management will tell you that you must work harder. You can never grow because all growth is not career advancement and all hard work is rewarded with much more work. 

Also, compensation: small raises, tiny bonuses and 401k matched in stock (search VSAT, if you're curious about that last one)."
4,Viasat,A company that cares,2022-03-22,5.0,Anonymous Employee,"There's opportunity to grow internally, passionate leaders that care about their employees, and innovative, groundbreaking work with a vision to connect the world. 

Throughout my time at Viasat, I have not been bound to one role or had to stay in my own lane. Even in the midst of shifting to a virtual setting due to COVID-19, there has been collaboration, the desire to help employees succeed, and new projects to take on.",Implementing change can sometimes take longer than expected.
5,Viasat,"The promise of a promotion is always there, but something will always come up",2022-01-27,2.0,Monitoring & Dispatch,"Job security,
Diversity of both technical and communication skills,
Looks good on resume due to military and VIP interactions.","They will promise you a promotion, even give you a date and tell you to tell your family, then on the day of your promotion will say ""well, corporate will not approve leaving M&D yet as we need all hands to maintain our current contracts"". Happened 3 times, 3 dropped promotions. Each time I asked when we would get more staff so that I could move on. First time: 3 months, Second time: a year, Third time: and least 2 years if things go smoothly. 

Lower tier agents are treated as inferior human beings. People are downright derogatory, and while M&D experiences much less of it than floor agents they themselves often turn around in their own seats to fight each other. While this makes the work place toxic, the real culprit is management. Teams are understaffed, overworked, and have to maintain mountains of SLAs and documentation at the same time."
6,Viasat,great people and culture,2022-03-29,5.0,Anonymous Employee,"great people and culture, great teams","work load a bit high from time to time
sometimes need to look for work yourself since you must fill timecard"
7,Viasat,Awesome Company and Great Place to Work,2022-03-24,5.0,Anonymous Employee,"Relaxed culture, empowerment to explore other business areas/functions if you are interested",5 day work week should be part of the past
8,Viasat,It was good stuff during my time there.,2022-03-25,5.0,Anonymous Employee,"Great company, great environment, great pay.",Location requires driving close enough to Atlanta to be part of the world-famous traffic.
9,Viasat,Great place to work,2022-03-21,5.0,Technical Analyst,"Great work environment, culture, and work life balance.  Challenging work and cutting edge technology.","As company has grown, it has lost the fast paced feel that it once had"
