,company,headline,date,overall_rating,author_position,pros,cons
0,Visa Inc.,Visa software engineer,2021-12-13,5.0,Anonymous Employee,"Takes good care of employees
Provides many benefits
Work life balance","No cons, you are valued for your work"
1,Visa Inc.,The best place to work,2022-04-01,5.0,Sr. Executive Assistant,Everything is great.  We are all respected,Work life balance is sometimes difficult
2,Visa Inc.,"Good place to work if you have 4+ years of work experience, but a challenging place to start and grow in your career",2022-03-23,3.0,Associate Solutions Manager,"Inspiring mission, access to high visibility and high impact projects","Early career roles for business side roles are essentially nonexistent for people not in the rotational program, which often cannibalized junior roles. Poor middle management, lack of accountability for tenured underperformers, pay below market for Bay Area for most non-technical roles, lots of title inflation for people with lots of work experience with no direct reports, limited innovation, uses its market position to deliver below average results for its business customers. Visa is a very revenue driven company, so that comes ahead of innovation and if your division does not make money likely because of bad division leadership, it will be shuttered and you will be let go - my division had 3 rounds of layoffs in my first two years."
3,Visa Inc.,Lots of changes going on for a waterfall company,2022-04-04,3.0,Product Manager,"Great benefits, great pay, a lot of support for it's employee's wellness from the corporate stand point.",A lot of pains that come with a waterfall company transitioning to an agile framework. Slow to make fast changes. Senior management is always changing.
4,Visa Inc.,Could Be Better,2022-03-06,3.0,Scrum Master/Agile Coach,Team members are highly skilled. Waterfall implementation and framework is exceptionally good. Folks have a firm grasp of their products and integrations as well as staying in touch with their customers and users.,"Agile transition is not occurring in areas where the company has said Agile should occur. Upper management is clinging onto Waterfall and not embracing Agile practices. Upper management sometimes comes into our Scrum ceremonies and berates team members even though they've been asked to stop. This behavior oppresses team members and hampers them from opening up and asking important questions. Consistent hurdles with management. Developers are put on multiple projects instead of being able to focus on one, but expected to be 100% on all the projects all the time -- this creates high turnover."
5,Visa Inc.,Love my job,2022-03-30,5.0,Analyst,"Best is the market 
Smart people 
A lot of resources 
Great benefits 
Cares about you career",Not flexible about remote working.
6,Visa Inc.,Amazing post-grad experience,2022-03-31,4.0,Software Engineer,"Good work-life bance, benefits, and upward mobility",Overtime is often necessary for technical support roles
7,Visa Inc.,"Like any big company, Visa has good things and bad things",2021-12-10,3.0,Director,"There is a lot about Visa to like:
- compensation is pretty good, even relative to the Bay Area
- the product basically runs itself in many ways
- interesting work that touches a huge range of human experiences and geographies
- access to an incredible amount of interesting data
- kind, empathetic people

Pro or Con depending on your point of view
- high job stability, meaning it is pretty rare that anyone is let go
- certain roles are pretty cushy
- low accountability","- Visa is an entrenched company with a lot to lose, meaning they are not willing to take risks
- Visa pays lip service to new technologies, but at the end of the day, they have a vested interest in the current system, so they aren't actually working to push forward the technical frontier
- Especially at more senior levels, the organization is intensely political. It is basically impossible to get anything done unless you know the right people (speaking as someone who actually did know the right people). And even then, the organization moves slowly
- There has been a lot of brain drain over the last 12 to 18 months
- Visa is part of the old guard in finance / payments. The leading companies of the next generation in payments are all looking for ways to work around Visa (and the networks generally). They may not be successful, but it puts Visa in the position of constantly playing defense rather than going to execute on new, interesting business opportunities"
8,Visa Inc.,A (truly) Global Company,2022-03-28,5.0,Global Sourcing Director,"Outstanding work environment.
C-level committed to provide work-life balance",Many processes and lack to appetite to take risk on key decisions
9,Visa Inc.,Great atmosphere,2022-03-29,5.0,Product Analyst,Visa truly cares about the employees and clients.,"As with any large company, change can be slow."
10,Visa Inc.,Good company,2022-03-30,4.0,Anonymous Employee,"Friendly environment, people are nice",I don't see particular cons
11,Visa Inc.,"No Hikes, No promotions,No Restricted Stock Units",2022-03-15,2.0,Senior Systems Administrator,Work Life balance is Ok. Good 401K match.,"No competitive pay for a company of its size.
Just Ok bonus
No Hikes 
No RSU -- Very very rare/limited
No Career growth --> They recently introduced some namesake intermediate roles to delay career growth/progression.

Understand 2020 is hard for all of us and employees didn't mind forgetting their hikes, RSUs and promotions. Same is the case for 2021 as well. fingers crossed for 2022."
12,Visa Inc.,Great upper management; low pay,2021-11-23,5.0,Senior Product Manager,Visa’s upper management has done an excellent job during COVID with transparency and taking into account people’s needs based on multiple surveys. Very focused on well being with half day Fridays through September and continuing for summers now. Excellent benefits overall including a free healthcare option and double 401K match up to 5%. Lots of opportunities within the company to explore other roles. I enjoy the ownership and exposure that comes with my team.,"Limited training for new employees, which makes networking a little difficult. Promotions seem hard to come by. Pay is low for PM, and new hires are coming in at higher pay with no sign of change for tenured employees. A “higher raise pool for market inflation” was touted for this year but appears the average was just 4% (higher than normal but definitely not in line with inflation). Turnover is increasing and I think this is a big reason why."
13,Visa Inc.,Too much work burden.,2022-03-27,4.0,Senior Software Engineer In Test,"Good environment, friendly work climate",Too much work burden what getting paid.
14,Visa Inc.,Both of good and bad,2022-03-28,4.0,Staff Network Engineer,Take good care of employees,Limited growth opportunities in work
15,Visa Inc.,Good place to work,2022-03-24,4.0,Anonymous Employee,"Good benefits, good work culture in most of the teams.",Some support roles may be overworked depending on the team they are in.
16,Visa Inc.,Great Place to begin your career,2022-03-22,4.0,Software Engineer,Flexibility in start and end time during the day,"Lots of meetings
Forced back to office"
17,Visa Inc.,Great place to work,2022-03-25,4.0,Director,Great place to work with supportive environment for growth,lack of work life balance
18,Visa Inc.,great company,2022-03-25,5.0,Director,The company has a good culture.,can't think of any at the moment
19,Visa Inc.,Great wlb,2022-03-24,4.0,"Staff MAchine LEarning, Software Engineer",Great work and life balance and high 401k match.,Little increasing in salary every year
20,Visa Inc.,Good company for as large as it is,2022-03-23,4.0,Sales,Good Management structure and understanding,Not much training available for new products
21,Visa Inc.,Great brand,2022-03-20,5.0,Project Analyst,"Opportunities to grow, great culture and opportunities to grow","Non to be honest, great place before I left"
22,Visa Inc.,Great place to work!,2022-03-15,5.0,Director,"The compensation, incentive, and benefits are very competitive. My immediate director is very supportive and promotes well-balanced work.",Sometimes work load can be overwhelming.
23,Visa Inc.,Great place to work,2022-03-18,4.0,Administration,"Benefits
Possibly to move throughout organization",Corporate environment that can bog down progress
24,Visa Inc.,Great work culture,2022-03-15,5.0,Marketing Manager,Visa does a fantastic job at creating work/life balance,"There's a lot of work to be done, but great balance"
25,Visa Inc.,Great Place to Work,2022-01-26,4.0,Implementation Analyst,"I really like working at Visa the environment is friendly the benefits are great. I stick around mainly because of the people. However, i will say that the chance to get gifted stock is a great perk. Dependent on the team there are alot of team centered events.","I think they could do better in flexibility in terms of WFH or giving more options to do a hybrid.
It could be difficult to move up within the team so you may have to jump from team to team to move up within Visa or would have to leave. Wish you were able to get better pay."
26,Visa Inc.,Great place to work for,2022-03-17,4.0,Software Engineer,"Great work life balance, stress-free environment",Lower pay for bay area location
27,Visa Inc.,Awesome,2022-03-12,5.0,Director,"- Wellbeing is first
- Proud workforce
- Great benefits
- Great leaders","- None really
- Sometimes, changing legacy processes is hard"
28,Visa Inc.,Great Place to work,2022-03-15,4.0,Software Engineer,"Slow-paced environment, high learning curve","work life balance, compensation and bonus,"
29,Visa Inc.,Not bad starting,2022-03-15,4.0,Software Engineer,Work life balance was good,Not enough benefits but has the pay
30,Visa Inc.,Great place to work,2022-03-14,5.0,Anonymous Employee,Great place to work! Excellent,Can't think of any cons
31,Visa Inc.,"Good Benefits, Bad Compensation and Engineering Cuture",2022-03-25,2.0,Software Engineer,"Good benefits, 
Flexibility w/ hours and load
Good place to end your career","Bad place to start your career
Below market compensation
Awful engineering culture"
32,Visa Inc.,Same in/Same Out,2022-03-30,3.0,Director,"Great salary, benefits, nice people","For LATAM region, leadership is stale and lacks vision."
33,Visa Inc.,Good place to work for,2022-03-12,4.0,Finance Director,Good stable company with decent benefits,Very bad for career growth
34,Visa Inc.,Great Work Life Balance,2022-03-10,5.0,Anonymous Employee,Great Health Care Benefits that are effective immediately upon hire,Product Management methods could be improved
35,Visa Inc.,Big glass ceiling for women,2022-03-27,2.0,Anonymous Employee,"Smart, global, mostly friendly, ownership",Cant get out of the way of itself and still has big boys club problem everywhere
36,Visa Inc.,DO NOT JOIN,2022-02-03,1.0,New Graduate Development Program (NGDP),There are no pros to the program. I suggest going to Visa as a full time associate.,"In my opinion: You are absolutely viewed as an intern at Visa. Program management is TERRIBLE and extremely restrictive. The actual purpose of the program is NOT to find a full time position, as assumed. If you find you match at Visa before the 4 rotations, you will not be allowed to convert to full time early. Also if you leave and try to come back you will be blackballed from the company. You are limited to only the options of rotations presented and nothing outside of this. You are not allowed to clock your overtime, even if your job requires working more than a 40 hour work week (which is extremely difficult giving that many team members are located across time zones). HR is open to any criticism nor feedback and favoritism is extremely prevalent. Many of the promises made when interviewing failed all expectations. This program is not ideal for any new graduate."
37,Visa Inc.,Good place to work,2022-03-10,4.0,Software Test Engineer,great 401k package and insurance,mid salary and poor stocks plan
38,Visa Inc.,Smart people and interesting work,2022-03-01,4.0,Software Engineer,Great learning experiences if you're on the right team.,Lots of communication with teams overseas makes WLB not so great.
39,Visa Inc.,Corporate Strategy,2022-03-09,5.0,Senior Director,"Amazing company, benefits, work style, culture.","Big corporation, hard to navigate."
40,Visa Inc.,Work satisfaction is team based,2022-03-22,3.0,Anonymous Employee,"Great brand, good work life balance and job security",Compensation though decent compared to finance instution but too low when compared with other companies
41,Visa Inc.,Good company to work,2022-03-05,5.0,Senior Data Engineer,Good benifits.Docuble match 401k upto 5%,I could not see any cons
42,Visa Inc.,"Successful company, yet quite corporate",2022-02-22,4.0,Analytics Manager,"very successful company, leading in the industry","Very bland, corporate HQ with cubicles from the 80s. Sharp contrast with startup culture"
43,Visa Inc.,Life at Visa,2022-03-03,4.0,Customer Service Representative,"Good benefits
Possibility for growtb and fast",Horrible scheduling - work and life balance hard
44,Visa Inc.,Decent pay with great WLB,2022-02-28,4.0,Systems Analyst,"Good WLB, good managers, make sure to utilize the ESPP and 401k plans","slow career growth, low pay"
45,Visa Inc.,Good,2022-03-03,5.0,Project Manager,"rotation within the company, salary,",The cultural environment is dense in some areas.
46,Visa Inc.,Great Benefits,2022-03-03,5.0,Anonymous Employee,"Good team, good benefits package",Pauline is low compared to market
47,Visa Inc.,Company Review,2022-03-25,3.0,Anonymous Employee,"Great work life balance
Plenty to learn","Hard to get promoted
Average Salary package"
48,Visa Inc.,Good,2022-03-03,4.0,Staff Software Engineer,Good benefits and work life balance,slow growth and more management control
49,Visa Inc.,Great company,2022-02-27,4.0,Director,"Great benefit, work-life balance, great culture",career growth can be slow depending on what functions you are in
