,company,headline,date,overall_rating,author_position,pros,cons
0,Wegmans Food Markets,Great Environment,2022-04-04,5.0,Cashier,"Friendly, Fast Paced, Very orderly","No Cons, Run very efficient"
1,Wegmans Food Markets,"Hard work for okay/low pay, but an overall good environment",2022-02-03,5.0,Prep Cook/Line Cook,"Very positive, supportive environment, good employee amenities, clean environment, handled covid better than other places. The people were great, can't think of a single person who I would actively try to avoid. The chefs were hard working and did attempt to take care of their people.","Hurt by the labor situation like everywhere else, few people doing the jobs of many. When I started the pay for part timers was very low. Started at like 10.50, but they reworked their part time wages the summer before I had to leave to around $15, which was okay. Part timers did not get any real holiday or Sunday pay, where full timers would make time and a half, part timers would get an extra dollar/hour which never felt worth it in comparison. The downside is the full timers had no control over their schedules, and would find themselves in rough Close/Opens or being moved to old departments that they had tried to leave if manning needed. Sushi department specifically had incredibly high turnover."
2,Wegmans Food Markets,Decent stepping stone,2022-02-21,3.0,Facilities Technician,The pay is decent for the work that you do and there are opportunities for advancement. Your happiness at work all depends on your manager honestly. Sometimes I am asked to do ridiculously stupid things and then sometimes I get great opportunities to learn valuable technical skills but you need to be self-motivated and seek out opportunities if you want to learn. If management likes you then you have good opportunities to climb the ladder but it all takes time. If management does not like you then they will give you a lot of false promises and never fulfill their end of the deal.,I have a manager who asked me to do a lot of other peoples jobs. It gets very frustrating when you are trying to focus on what you need to do. In my personal experience the only way to learn technical aspects of the role are to work with contractors instead of in-house. The pay is all right for what you do but should be more. You have to work weekends and have and open availability. The company used to be a lot better to work for as they closely followed their core values but nowadays it seems more so about making as much money as possible without consideration for the employees. Everybody is getting worn very thin and management does not make many accommodations but that may also be because we are shortstaffed.
3,Wegmans Food Markets,AMAZING,2022-04-01,5.0,Pharmacy Technician,"I honestly love the company, I love my job, I have nothing bad to say. This is THE best company I have ever worked for the truly care about you. I can’t wait to work my way up!",Honestly nothing. It’s a lot of learning which I was fine with but I could see someone getting overwhelmed.
4,Wegmans Food Markets,Great place for a student.,2022-04-03,5.0,Front End Associate,"- Very flexible scheduling
- Good pay with semi-annual raises.
- Family environment",- No complaints from me here.
5,Wegmans Food Markets,Good,2022-03-30,5.0,Anonymous Employee,"Good pay, good coworkers, and generally a good management team. The team tries to do their best to work with you and accommodate your needs.","Former manager that was terrible, however was removed from position for neglect of work"
6,Wegmans Food Markets,Great Part Time Work,2022-04-02,5.0,Customer Service Associate,"Good manager
good company
flexible scheduling
five words.",It was a min. wage food service job.
7,Wegmans Food Markets,great store to be in,2022-03-31,5.0,Sales Associate/Cashier,"good food at store, good people and environment",no cans that I can think of
8,Wegmans Food Markets,Fund and friendly team,2022-03-31,5.0,Grocery Customer Service,"Choose your own breaks
Casual work environment
Friendly co-workers
Flexible work hours","No room to grow
Management doesn't like people calling out with valid reasons"
9,Wegmans Food Markets,Nice job,2022-03-25,5.0,Cashier,"Training Development ,Consistent Raises ,Fresh products","Unfortunately Princeton has some stuck up residents that act like you’re supposed to bow

I didn’t like the fact that customers in Princeton could bring their dogs in a grocery store a place where food is at"
10,Wegmans Food Markets,Great place to work,2022-03-30,5.0,Baker,"Flexibile with schedule, scholarship program, and all around hiring great employees","Management has high turn over, holidays are chaotic, and customers can be brutal"
11,Wegmans Food Markets,Great Place to Work,2022-03-31,5.0,Prep Cook,Fun place! Fun people! Great food!,No cons to speak of.
12,Wegmans Food Markets,Great place to work,2022-03-22,5.0,Cashier,I was in high school when I started so everyone was my age. Cool management. Very flexible with scheduling and didn't hold it against you if you called out. Good pay which increases 0.50 cents every 6 months. Opportunities to try out and move to different departments.,There are no employee benefits.
13,Wegmans Food Markets,A caring company,2022-03-30,5.0,Anonymous Employee,"Genuinely cares about all of their employees, regardless of position",No cons come to mind
14,Wegmans Food Markets,Great place to work,2022-03-28,5.0,Anonymous Employee,"Family oriented, flexible hours and a great environment",No negative feedback at this point in time
15,Wegmans Food Markets,Great place to work pt in college,2022-03-29,5.0,Wine Sales Representative,"excellent company, management actually cares about their employees",nothing really to add here
16,Wegmans Food Markets,"Basic standards met, nothing beyond that",2022-04-04,2.0,Produce Customer Service,"Better pay than most grocery stores, good insurance for full time employees","Hours are awful, pay still not livable wage, management checked out long ago but still micro manages"
17,Wegmans Food Markets,Good job for college students,2022-03-27,5.0,Front End Coordinator,"Flexible and supportive of students, positive attitudes of management","Varying shifts, working holidays, and feeling pressured into coming in when people call off"
18,Wegmans Food Markets,Feels like working with a family,2022-03-07,5.0,Front End Cashier,"The managers are kind, supportive and can handle most if not all kinds of customers. A lot of the adults working there have lived long and interesting lives. It's refreshing to have met some of the people I've met. Most of the people that work there want to see you succeed.","Some of the work on Front-End can get tedious and well boring. But other departments can be fun, and you learn a lot."
19,Wegmans Food Markets,great,2022-03-27,5.0,Cart to Curb,"everything was great, i loved my coworkers",not many honestly. It's a great place to work.
20,Wegmans Food Markets,Look elsewhere,2022-01-27,2.0,Management,"great health insurance 
raises 2x per year 
some really amazing people work there and you can make friends easily","everyone in management is out for themselves 
although great people work there, the horrible people far outnumber the good 
almost everyone is management are awful people with horrible double standards 
near impossible to get a job in upper management unless a new store opens or you suck up to EVERYONE above you and work ridiculous hours beyond the scope of your job
work life balance does not exist at this company
almost everything positive they tell you about the company culture and benefits of working for wegmans is a complete lie 
favoritism is rampant and so are cliques 
most likely you will be managed by someone who has never actually worked in your position, they will have unrealistic expectations and chastise you for not getting something done even if it was on a day you were off or during requested vacation time"
21,Wegmans Food Markets,Terrible. From Corporate to In-Store.,2022-03-29,1.0,Retail Sales Associate,"Weekly pay
Co-workers were a pleasure to work with.
 Team Leaders were dependable and supportive","Cashiering was terrible. They treat you like a decent human being for the first three weeks you start out. Then, you're ignored and left at the (lack of) mercy of rude customers and even ruder third party employees (Instacart). Five star pandering to the screaming customer who felt like the cashier wasn't bagging their 200-500 item haul fast enough. Upper management was too lazy to enforce the limit of how many people can enter the store during peak COVID months. No support unless you were favored. I was left to rot on the register for hours with no break and mostly had lunch late. 

Team leaders had the responsibilities of managers; sadly they were not paid enough for it. Upper management continued to excel at doing absolutely nothing when it came to addressing employee concerns (hiring more people, high stress environment). With the high amounts of traffic from Instacarters placing their shopping carts everywhere and customer lines blocking the doors weekends have become a nightmare to walk into. Every week or two the freezers would break or stop working and it would take twice as long to get them fixed. Daily pallet loads are too much for two-three people to handle consistently. Upper management would 'grace us with their presence' when the help isn't needed; so their concern is performative at best. Unnecessary criticism is infuriating. Its not helpful to hear that we spent too much time on the pallets in the day when at max 3 people is there to handle 4-5 pallet loads. Too much showboating from upper management and not enough actual work. 

Corporate visits are an extreme hinderance and serve absolutely no point. Every time corporate visits and etc visit daily production is at a standstill. It becomes more about maintaining the aesthetic of a well run store when it was in fact far from the truth. Then there was having to stand in line, waiting for them to pass so we can greet them as if it was parade watching at the Macy's Thanksgiving Day Parade. As if day stocking didn't exist. And the managers are even more annoying to deal with because they want it to go so smoothly. This was frequent too. 

The company's rushed efforts of overambition just to have a store in NYC took a toll on the employees."
22,Wegmans Food Markets,Best company,2022-03-22,5.0,Team Leader,"-Amazing atmosphere and very friendly 
-Great benefits 
- Compensation is amazing",- Sometimes new management can be a little harsh
23,Wegmans Food Markets,Great,2022-03-28,5.0,Customer Service Representative,Felixable schedule and good pay,None to think of really
24,Wegmans Food Markets,Awesome!,2022-03-22,5.0,Undergraduate Student,An extremely friendly company that is great for a first-time job with lots of long-term opportunities!,"Like with any company, both customers and some other employees can be frustrating at times"
25,Wegmans Food Markets,Great Company!,2022-03-26,5.0,Overnight Stocker,Flexibility and Understanding that life happens.,No set schedule means no garunteed set of hours
26,Wegmans Food Markets,Don’t work your self trying to impress the higher ups,2022-03-15,2.0,Sub Shop Worker,"Great for freshmen, and Sophomores","Customers aren’t held to standard of everyday life 

Lack of proper training 

Lack of proper management 

Constantly put in uncomfortable situations with customers 

Constantly Told to improve on skills in order to transfer to a different department"
27,Wegmans Food Markets,Good company to work for,2022-04-04,4.0,Customer Service Associate,"flexible, core values good benefits ife balance",each peson has their own experience
28,Wegmans Food Markets,good first cashier job,2022-03-25,5.0,Anonymous Employee,meet a lot of people,doesnt change much every day
29,Wegmans Food Markets,its ok,2022-04-04,3.0,Deli Clerk,"employee only coupons, free anniversary sub, free birthday cake","short staffed, low pay for some positions"
30,Wegmans Food Markets,Great to work for,2022-03-18,5.0,Front End Coordinator,"Flexible 
Understanding 
Caring
Great benefits 
People oriented","Hours 
Super busy 
Pay 
To much responsibly for the pay rate"
31,Wegmans Food Markets,Dairy,2022-03-15,5.0,Customer Service Associate,Had the best time as employee working there.,"Try not to be late for too many time, plus always arrive 5 mins before your shift. If you don’t it’s going to effect you when you are trying to switch work position or promotion."
32,Wegmans Food Markets,Great place to work for a while,2022-03-31,3.0,Sushi Prep Cook,"Flexible scheduling for part-timers
Scholarships for basically anyone who applies
Generally friendly staff/management",Full time does not have flexible scheduling - 7 days/week morning-night availability is mandatory
33,Wegmans Food Markets,Love,2022-03-25,5.0,Anonymous Employee,Amazing first job for young adults,None they were great employers
34,Wegmans Food Markets,Subshop,2022-04-04,2.0,Customer Service,Learned to make Tasty subs.,Go home smelling like subs.
35,Wegmans Food Markets,Full time bakery,2022-03-05,5.0,Bakery Team Member,"Good management, enjoyable work that can be versatile","You stand all day, and it’s manual labor sometimes. Like any job, you rely a lot on your team which can be frustrating if they aren’t dependable"
36,Wegmans Food Markets,Poor Management,2022-03-31,1.0,Pizza Shop Attendant,A good company as a whole and a great shopping experience for the customers.,"Very poor management in many departments! On manager told an employee ""I know how make someone quit"" This shows how being in a managerial position might get to ones head just a little too much. Furthermore I have witnessed and experienced managers picking and choosing between employees that they prefer."
37,Wegmans Food Markets,"The hype is real, they really do care.",2022-02-22,5.0,Grocery Clerk,"Wegmans treats their employees like people, and it reflects in their benefits packages, HR policies, and competitive pay. I always found my hours were flexible, my managers were great, and they contributed over $10K to my college studies.","It's still a job in the retail sector, so the only complaint I would have are some of the customers that come through. There's nothing Wegmans can really do as a company to fix this as it's an endemic problem in retail."
38,Wegmans Food Markets,Bad People,2022-04-03,2.0,Front End Cashier,"Flexible Hours, coupons, atmosphere, food","terrible co workers
not enough hours"
39,Wegmans Food Markets,Love this store,2022-03-20,5.0,Bakery Team Member,Very well stocked with fresh food,Need more family pack foods
40,Wegmans Food Markets,pharmacist,2022-03-23,5.0,Staff Pharmacist,its really great i love it,no cons whatsoever its great thanks
41,Wegmans Food Markets,Great,2022-03-22,5.0,Customer Service,"Team environment, friendly management, fair",Overworked during Covid since everyone was getting sick
42,Wegmans Food Markets,Great Job,2022-03-18,5.0,Anonymous Employee,Fortune 500 speaks for it self. Great job!,Holidays can be tough especially if you have to work later hours and miss them.
43,Wegmans Food Markets,Great,2022-03-22,5.0,Asset Protection Officer,Great work experience and benefits,"There are no cons, good environment"
44,Wegmans Food Markets,Great place to work,2022-03-21,5.0,Baker,"Great perks 
Great people
Great benefits","no, no cons to share"
45,Wegmans Food Markets,Good Overall,2022-03-18,5.0,Cashier,Nice Paid time off hours and schedule flexibility.,Staying on your feet too long. Cannot sit down. Sometimes very busy
46,Wegmans Food Markets,Easy/friendly people,2022-03-21,5.0,Cashier,"• Easy job and
Nice customers",The breaks aren’t that long
47,Wegmans Food Markets,Good Job,2022-03-19,5.0,Cashier,They care about their employees and give benefits,It can be extremely frustrating being a cashier
48,Wegmans Food Markets,"Pay Okay, Flexible Hours at Part-Time Level, Not Great if You're Disabled",2022-01-01,3.0,Seafood Team Member,"Flexible Part-Time Hours
Part-Time benefits as long as you work 30 hours a week
Regular raises","Not great with mental health facilitation
Typical ""work-a-holic"" mindset, expects too much at times
Ableist policy preventing some disabled workers from advancing in the company"
49,Wegmans Food Markets,great place !,2022-03-18,5.0,Anonymous Employee,love the environment and people i work with,none ! it’s a great place to work
50,Wegmans Food Markets,Overall Very Good,2022-03-19,5.0,Produce Stocker,"Great scheduling, great teamwork environment and management","Lacking technology, non-union, communication with management"
51,Wegmans Food Markets,Great place,2022-04-02,4.0,Customer Service Representative,"Accommodating to students, room to grow in the company",Hours get cut during slower seasons
52,Wegmans Food Markets,Good start up company,2022-03-31,3.0,Frozen/Dairy Associate,Decent benefits. They offer scholarships if you're in college.,Work life is not the best. Usually they want you to be flexible with your schedule.
53,Wegmans Food Markets,Wegmans Community,2022-03-19,5.0,Customer Service,"Amazing Coworkers
Caring 
Love there employees and customers",Such an amazing work place
54,Wegmans Food Markets,Ok for a part time job,2022-03-31,3.0,Anonymous Employee,"Decent pay, friendly co-workers, easy workload, opportunities for promotion","Horrible management team, HR doesn’t effectively handle problems, hours can be very inconsistent."
55,Wegmans Food Markets,Working as a PT Employee at Wegmans,2022-03-15,5.0,Customer Service,Flexible Hours for PT workers,"The work can be tedious, but nothing is every overly difficult"
56,Wegmans Food Markets,Company has great ethics,2022-02-16,5.0,Team Leader,The company executives are always looking for healthier options for the wegman brand products. They shop and use their own brand products. That says a lot!,Unfortunately the execs can be at all the stores to see some of the partiality thats unfairly done to good employees.
57,Wegmans Food Markets,Amazing company to work for,2022-03-15,5.0,Pricing Analyst,"Scholarships, insurance, great environment and they are always wanting you to succeed",I do not have any
58,Wegmans Food Markets,Great place to work,2022-03-15,5.0,Team Lead,The family takes great care of their employees,7 days a week flexibility
59,Wegmans Food Markets,Baker,2022-03-16,5.0,Cake Decorator,It’s a great place and I enjoy working here,No cons and I cannot complain
60,Wegmans Food Markets,Great place to work,2022-03-18,5.0,Sales Associate/Cashier,A Great place to work,There are no cons to working here
61,Wegmans Food Markets,Great,2022-03-18,5.0,Customer Service Representative,"Great place to work, love my coworkers","None to report, great place to work"
62,Wegmans Food Markets,As good as a minimum wage job can be,2022-03-31,4.0,Anonymous Employee,"Regular raises, decent with scheduling","Customers, difficult to drop dead weight on teams"
63,Wegmans Food Markets,Good place,2022-03-18,5.0,Front End Cashier,There is good flexibility for all employees.,Sometimes you can get bored.
64,Wegmans Food Markets,Awesome!,2022-03-16,5.0,Front End Cashier,It was an awesome place to work!,Being a cashier was hard on your feet
