,company,headline,date,overall_rating,author_position,pros,cons
0,Workday,Best cultural fit for me,2022-03-07,5.0,Senior Account Manager,"Culture is not a tick in the box but the owners actually believe the company has no reason to exist with the core values of the company.
The technology is extremely strong.
The market is the actual core business of our customers, hence you are very relevant to these customers.","The operational processes are a bit lagging the company growth, but that is being worked on."
1,Workday,Best Company in the World,2022-04-03,5.0,Senior Associate Consultant,Started here straight out of college and was immediately skeptical of how much everyone here loved it. After almost 3 years I can confidently say that if you're going to work a corporate tech job this is the company to do it.,I honestly don't have any cons for the company as a whole besides that they're beginning to lessen our stock grants this year.
2,Workday,"Good work life balance, at cost of below industry standard pay",2022-03-22,4.0,Software Development Engineer II,"They care about their employees & their culture
Many teams at Workday allows for inter company mobility
Good leadership at the C suite level, company direction & growth is great","Below industry standard salary
Most good young engineers leave within a few years because company refuses to pay industry standard (something a lot of companies do that I will never understand, continuity & product knowledge is worth so much)

Promotions are slow to go to the deserving, years at the company is the primary factor. Promotion cycles in general are slow & locked to semi-yearly cycles 

Middle management is murky, not straightforward/honest/realistic about pay structures and hiring practices. Seems as though they are coached to not be transparent

Too much bureaucracy & too many meetings. Lost its startup feel & development can be slow paced at times

Very political about letting employees work remote, very few exceptions granted

Not really allowing remote work"
3,Workday,Turning into the competition,2022-03-21,2.0,Sales,The product is decent and there are some good teammates.,"Where to begin?  The company is more interested in national / global politics than in the company itself. If you are a leftist, this is the place for you. If not, then you will find yourself embarrassed to work here with their constant spouting off on whatever DNCC talking point they receive. 

Pay is mediocre at best.  OTE has not increased in about 10 years (if ever) so there are plenty of other places where the pay is better. They talk about RSUs but those get significantly smaller every year to the point now of barely noticeable.  

Product is still decent but they no longer innovate — except by acquisition which is generally the sign of a company past its prime. The Power of 1 (which used to be a differentiator) is long gone and they have become the same “Frakensoftware”  for which they used to criticize competitors."
4,Workday,Puzzled by bad reviews. Great place to work and friendly workmates all around!,2021-12-29,5.0,Senior Product Manager,"Incredible Sales team and engineering team. Teams are all colocated so that makes software development more agile. Workmates are all friendly, respectful and generally believe in the workday culture. Lot of emphasis on Cultural fit !

RSU granted at date of hire + RSU refresh after a year + PSU awards end of year + Cash bonus plan. Promotions are frequent.

Free Snack options and breakfast are incredible. Handmade espresso drink available as well.

Gym onsite, Bring your dog to work, Clinic on-site, TONNES of conference rooms, fantastic parking + ev charging options. Great location for commuters (right next to BART).

$30/mth Internet stipend, $50/mth Gym and Wellness stipend, $500 WFH stipend. Unlimited PTO is encouraged (especially in holiday season) and there are many holidays observed as well as Thank You Fridays random holidays.","RSU vesting period is 4 years (25% per annum) vs 3 years in many other tech firms
No tuition reimbursement plan
No sleeping pods for naps or massage chairs
Employee attrition has been rising in the last 2 years but it is unknown if this has to do with the pandemic"
5,Workday,Boy’s club,2022-04-02,2.0,Senior Account Manager,"Decent product; however, support is lacking.","While WD speaks a big game about value and and belonging, you have to look far and wide to find any diversity in sales management. The boy’s club is alive and well. 

Serious lack of leadership across the board. Company and culture is really keen on talking about making the place a great place to work; however, when corrective action is required, management simply does not know how to manage. 

HR is a bit of a joke - all good folks, but no influence. 

As a company, there’s a lot of lip service given about employee welfare - yet at every turn, they have fallen in line with the woke agenda. The utter lack of support for employee health is troubling. Follow the science people; folks who’ve had COVID are protected. The vaccine mandates are intrusive."
6,Workday,Woke culture and mandate mania is sending the corporate culture in the wrong direction,2022-01-16,2.0,Anonymous Employee,"Overall the corporate vision is sound and inspiring. 

In general, people genuinely want to collaborate and approach problems with positive ""we can figure it out"" rather than blame and finger pointing.","Product delivery is incredibly slow. Despite all the marketing hype, many areas of the product are many years behind the competition and at risk of falling further behind. 

The corporate culture and direction from senior leadership has noticeably deteriorated in recent years to be more aligned with the Woke narrative. A single monolithic narrative is actually the reverse of an inclusive culture where everyone feels valued.

When Workday announced its covid vaxx mandate for all workers, the email was like a kick in the teeth. Upload your vaxx card by X date or you will be terminated. The message was completely counter to the employee first message that Workday tries to promote. Workday's position on vaxx mandate is based on ""we want people to feel safe."" Decisions should be based on data, not emotion. Also the Workday from years ago would have said that employee's personal health data should remain private and should never be required to be shared to the company."
7,Workday,They don’t care about employees,2022-04-02,1.0,Presales Consultant,Nothing that I can think of,"Pay is below average. They took away $7,000 in PSRU stock and tried to cover it up like we are dumb. They claim to do market adjustments but that’s never been do. They claim to do market surveys for salary but they most they give is 3% if you are lucky. They keeping taking stuff away and expect people to be happy. Experiencing above average turnover right now and the only thing they care about is 10 billion."
8,Workday,We've had a challenging few years.,2022-01-16,3.0,Program Manager,"We have great benefits.  We're encouraged to take time off and take care of ourselves.  Thank you Fridays have been very appreciated by many of us as we struggle with balancing children's zoom school with our own work obligations. 

Workmates are smart and typically meet deadlines and obligations . 

All the jobs I've held have had a direct impact on our customer base","VERY liberal management team regularly tells us what to think, which causes to get behind, and even what to inject into our bodies if we want to fully participate in the company.  

Too much focus on DEI and not enough focus on producing world-class software.  People walk on eggshells for fear of offending someone.  Where we used to have bonding chit chat at the beginning of meetings we now just get down to business. 

Aneel has found great success being aligned with the controversial Davos Agenda, billionaires summer camp, and other high-tech movers and shakers.  These organizations lack ethics and were not elected by we the people, yet they believe they should be shaping a globalist future for all countries of the world.  This really concerns me as its undermining the sovereignty of individual nations."
9,Workday,Great Company and Culture,2022-03-28,5.0,Customer Support Analyst,"Work-life balance, Team work, Opportunity to Grow, and Diversity and Inclusion.",Huge ramping period. There is a LOT to learn and it seems like it keeps on growing.
10,Workday,Great company,2022-04-01,5.0,Anonymous Employee,Culture is awesome at workday,Pay may be lower than other companies
11,Workday,Very caring company,2022-03-23,5.0,Software Development Engineer II,- Amazing work-life balance. People are very welcoming and willing to help you grow in your career.,- Career growth might be a little slower based on the technology used. Not up to date with other companies. Environment is not as fast paced.
12,Workday,Good company. so flexible,2022-03-29,5.0,Data Analyst,everything is great and so flexible.,depends on your manager. it might be some favoritism
13,Workday,Loved my experience there,2022-03-29,5.0,Designer,This is a great place to work,The work was not challenging enough
14,Workday,"Experiencing some pain, but hoping there’s a light at the end of the tunnel",2022-03-07,5.0,Anonymous Employee,I work with some truly talented and genuine people. I have a chance to show my skills and develop as a professional on a regular basis.,"We’re experiencing attrition, and new talent takes time to develop.  There are moves to hire more headcount, and I’m hopeful this will help but we are experiencing pain before that happens."
15,Workday,Great,2022-03-29,5.0,Anonymous Employee,Great work environment and employee treatment.,Nothing bad comes to mind.
16,Workday,Company was good,2022-03-25,5.0,Customer Service Representative,Pay was good. Work life balance was good,Management could do much better.
17,Workday,Work life Balance,2022-03-26,5.0,Anonymous Employee,Best in Employee care. Puts Employee first.,Haven’t seen any critical downside
18,Workday,A review,2022-03-31,4.0,Solution Consultant,Great focus on SC enablement at that time I was there and a fun product to work with,"Nothing out of the ordinary, the SC managers were not as familiar with product so could not offer much support. At-bats for the financials part of the Workday solution were limited"
