,company,headline,date,overall_rating,author_position,pros,cons
0,eXp Realty,"If you enjoy sales, you might enjoy this job",2022-04-04,3.0,Real Estate Agent,"Remote work
Make your own schedule","Commission Split
Inconsistent Pay
Lack of Training"
1,eXp Realty,Amazing Company,2022-04-04,5.0,Real Estate Agent,"Multiple sources of income
Environment
Truly care about agents and not about making the owners wealthy",If you are new to the industry it can seem overwhelming at first with it being cloud based BUT you can overcome this through interacting with a local team or agents
2,eXp Realty,Love eXp!,2022-04-04,5.0,Sales Agent,"Love the teamwork, immediate access to my broker, for such a large company things get taken care of very quickly, such 1099 forms and other issues, if any, have been resolved very quickly.",No in person meetings - no local lunch and learns.
3,eXp Realty,Excellent company to work for!,2022-04-04,5.0,Anonymous Employee,"ease of doing business. marketing materials, virtual world is excellent.","isolation working from home, no comradery"
4,eXp Realty,Continued Greatness,2022-04-04,5.0,Real Estate Broker,"Forward-thinking
High Tech
Excellent Training
A culture of sharing to make everyone great
Rev Share and stock purchase have been a life changer",No real downsides. Just a HUGE amount of information and training so one does really have to roll their sleeves up and dedicate themselves to learning and navigating it all.
5,eXp Realty,Great company,2022-04-04,4.0,Licensed Real Estate Salesperson,"Flawlessly virtual: Easy access to help available in eXp World during normal business hours with other options (call, email, etc.). Great splits and low commission cap. Tons of live training every week every hour! Option for discounted stock is a huge plus. CEO is great and have met him on numerous occasions even with over 60k employees!","Definitely harder for new agents. Limited lead opportunities (there is one app they offer but it's extremely overpopulated at this point), so you're kind of on your own for clients unless you join a paid team."
6,eXp Realty,Review,2022-04-03,5.0,Software Developer,Very understanding and very willing to help improve and provide for their employees,My hiring process was messy
7,eXp Realty,EXP REALTY truly is the best brokerage,2022-04-02,5.0,Real Estate Agent,The training is better than any other brokerage in my opinion. They have revenue sharing which is better than profit sharing. Your “team/Group” does not have to be Limited to the state that you are in. Let’s not forget about the stock and health insurance. And as long as your signs/advertisement passes the legal requirements you are not obligated to brand the company you have the freedom to brand yourself.,Just like any small business you are responsible for expenses. some of the “resources” offered by Exp realty is at a considerable discount than getting it on your own.
8,eXp Realty,eXp REALTY is the BOMB!,2022-04-02,5.0,Realtor,"I love working with eXp. I have so much freedom & flexibility to run my business the way I like to run it. The support team is INCREDIBLE. I could not ask for better support. Not only do I get to earn 100% commissions, I get stock awards and revenue share. Our company pays back 50% to the agents. Absolutely the BEST brokerage on the market today. So innovative and helps me take my local business global! And we have benefits!",I cannot think of any cons.
9,eXp Realty,The best company to work for!,2022-04-02,5.0,Realtor Assistant,"Multiple ways of making money
Love the culture, the diversity among us; 
When one person win we all win!
I like that I own a piece of eXp.
Best company to work at!","Love eXp realty!
Best company to work at!"
10,eXp Realty,LOVE IT!,2022-04-02,5.0,Transactions,"I love everything about EXP. They understand that treating your staff well translates to a bigger bottom line. I've been here since Aug and every quarter they have done something to benefit staff. Bonuses, upgraded benefits, across the board cost of living increases (in addition to merit increases), etc. At this point, I wouldn't be surprised if the next announcement was that we are all getting a car LOL. I've been around for a while and this is by far the best company I have ever worked for. This is saying quite a lot since I have worked for two other Glassdoor Best Place to Work winners.","None to me. If you need someone to micromanage you in order to do your job, this may not be the place for you."
11,eXp Realty,Best Company Culture,2022-04-01,5.0,Anonymous Employee,The culture here is like nothing I have ever experienced!,Virtual brokerage is not for everyone.
12,eXp Realty,Amazing opportunities & support!,2022-04-01,5.0,Contract Compliance Specialist,"* Supportive managers & co-workers.
* Work from home.
* Ample opportunity for anyone to advance.
* 401k plan.
* Full benefits.
* Company growth has been consistent.",No cons in my opinion.
13,eXp Realty,eXp is amazing.,2022-04-01,5.0,Real Estate Broker,They have the best team and have unlimited support.,None that I am aware of.
14,eXp Realty,GREAT COMPANY! AWESOME & KNOWLEDGEABLE BROKERS!,2022-03-31,5.0,Real Estate Agent,"I love this company! I have worked for a few different brokers, large franchise names and smaller family owned brokerages and I have to say that the people that work at eXp are very knowledgeable and provide great assistance! The pay is great and the stock share is great! There are multiple revenue streams available to earn a lot of money.","For real estate agents, this may not be the best choice for brand new licensees just starting out. I say this only because most agents have no idea where to begin after you pass your state exam. Sometimes newbies need to have the physical one on one interaction for training and learning the ropes. This does not mean that a new agent cannot succeed here because there's a lot of them that have. You just have to stay motivated and ENGAGE in as much as you can."
15,eXp Realty,Cloud Based,2022-03-31,5.0,Real Estate Agent,"- Lots of opportunities for agent training 
- Cloud-based system is great!! Lots of great resources at your fingertips.","Currently, I do not have anything specific to share in this area."
16,eXp Realty,The 800 lb Guerilla in the room when it comes to real estate models.,2022-03-31,5.0,REALTOR®,"Offers multiple streams of income. Revenue share model allows agents to share in the revenue of the company. eXp Realty is under eXp World Holdings, publicly traded on Nasdaq, which also owns Virbella, and the Success Brand (Success magazine, Success coaching, and Success lending). The Virbella platform allows for a completely seamless, virtual office, in addition to Workplace (Facebook) and Regius centers. Now operating in all 50 states as one company (no franchise) and 20 countries, collaboration and business across states lines is not only possible, it's likely, and FREE - no costly expansion team agreements. Low split and fees, and each agent has a sponsor. Mentors are also available. Over 50+ hours of live training in Virbella by ICON agents (top agents in the business currently doing business) 50% of the revenue of eXp World Holdings is returned back to the agents (written in the charter)","Sponsorship is not a requirement for mentorship. All the resources,training and leads are provided on demand, however if you do not implement or like to find blame in others, this is not the model for you."
17,eXp Realty,Great company,2022-03-30,5.0,Real Estate Agent,Great company to work for great,None none none none none
18,eXp Realty,Great Culture - Work life balance,2022-03-28,5.0,Anonymous Employee,There are a lot of great things about eXp especially that management trusts their employees. Great work-life balance,No Cons at this time.
19,eXp Realty,GREAT company and tons of positive energy and support!,2022-03-27,5.0,Real Estate Agent,MADE my transition after 35 years super easy and were so supportive.,A bit od a learning curve after being with RE/MAX so many years.
20,eXp Realty,Great opportunities,2022-03-26,5.0,Transaction Settlement Specialist,"Remote, virtual environment, innovative, agent centric",Limited flexibility with schedule and hours
21,eXp Realty,Great,2022-03-25,5.0,Real Estate Agent,Great Company to work for.,I do not have any cons
22,eXp Realty,Good company overall,2022-03-24,3.0,Real Estate Agent,Great online training available for agents,Felt pressured to recruit new agents to the company
23,eXp Realty,Eh,2022-03-24,3.0,Realtor,Kv core is great. Liked the independence,"Not great, kinda of feels like a pyramid scheme"
24,eXp Realty,"So many agents, so few staff",2022-03-24,3.0,Real Estate Managing Broker,"Great team, good benefits, brokerage ops has unlimited PTO. WFH w/ tech provided.","Almost impossible to get time off where you can totally relax; huge agent counts with little support as far as admin goes; constantly feel like a hamster in a wheel. The pay is ridiculously low for the number of agents you are expected to supervise. 70,000+ agents and under 2000 staff members for the entire company?"
25,eXp Realty,Remote work,2022-03-23,5.0,Anonymous Employee,remote remote remote remote remote,none none none none none
26,eXp Realty,Don't select EXP if you like to be around people,2022-03-23,3.0,Realtor,The stock did make me money!,"No office, only one Broker Manager for a large area, so no one to talk to if you run into a problem."
27,eXp Realty,Good,2022-03-22,5.0,REALTOR®,Amazing pay really good pay,None there are non .
28,eXp Realty,Great Company,2022-03-22,4.0,Real Estate,"Work from home, always evolving, forward thinking",Not too many - just the usual corporate-related stuff.
29,eXp Realty,Great staff morale,2022-03-22,5.0,Managing Broker,Constantly evaluating internally to bring value to their employees. Great staff meetings to stay connected. Support work life balance and always evolving. Awesome benefits.,"This is not an 8-5 job, long hours 
Salary offered could be more competitive"
30,eXp Realty,Hard to reach ICON,2022-03-21,4.0,Agent,"Great paltform, lots of training available. eXp World is awesome.","NO actual brick and mortor office to meet clients at.
Capping and reaching ICON is a bit challenging."
