,company,headline,date,overall_rating,author_position,pros,cons
0,Bite Squad,Company Does Not Care,2022-04-05,2.0,Senior Accountant,"Remote Work
Free Delivery in App","No Merit Increases
CEO is a scumbag
No women in leadership
Low Pay
Poor Work/Life Balance"
1,Bite Squad,Ohhh… It’s good if you don’t mind job insecurity,2022-04-04,3.0,Account Manager,"Flexible, benefits, and networking potential.","Job insecurity, micro management, unrealistic goals."
2,Bite Squad,Manager,2022-03-28,3.0,Account Manager,Managed accounts for local places that sold food,ANnoying owners and managers who did not understand
3,Bite Squad,Run the other way!,2022-03-18,1.0,Marketing Manager,Working with Restaurant owners that quickly become your friends!,The management team has zero idea on how to operate a company. 5 layoffs in four years.  High demand and expectations where they manage you like a child. Consistently have to wonder if you will keep your job if a complaint is made. Will take advantage of you fully - tell you not to worry about your job and then layoff everyone.
4,Bite Squad,It’s okay,2022-03-11,3.0,Delivery Driver,Work when you want for how ever long you want,"Pay fluctuates, too many drivers, support not quick enough"
5,Bite Squad,Okay,2022-01-27,3.0,Anonymous Employee,Okay in everything. Good culture,Not a very big company.
6,Bite Squad,Good job,2022-01-26,3.0,Anonymous Employee,"Good management, decent commission structure, good base pay",Online system hard to navigate
7,Bite Squad,They won’t give W-2 2020,2022-01-25,2.0,Sub Contractor,Get to do your own thing on your own time,"Back in 2019-2020 it was W-2 hourly pay, when the tips were included in the payment non cash the company would take your tips to make up your hourly base rate. So in other words they wouldn’t include your tips the way it should be."
8,Bite Squad,Don't work here,2022-01-21,1.0,Delivery Driver,Literally none. This management only micro-managed and didn't work with my schedule at all.,"Micro managey management, dispatch is always rude, not willing to work with my school schedule, rude lead drivers, literally everything about this job was not ideal"
9,Bite Squad,Driver,2022-01-14,4.0,Delivery Driver,"Pay was decent, didn't cover the costs of maintenance on the vehicle, but still provided a job when I needed one. Management was flexible about medical condition and not harsh about needing to take days off. Lots of time to drive, chill, and listen to music, even when busy.","Not enough drivers staffed to finish off the night. You will not ever leave at the end time of your shift, regardless of reason."
10,Bite Squad,Freddy was awesome,2022-01-09,3.0,Ops Manager,"Direct Supervisor, Freddy, was amazing. He was knowledgable and attentive. He was positive and it was easy to take constructive criticism from him.",The assigning was kind of a mess. Benefits were not great.
11,Bite Squad,Driver Company Review,2022-01-04,4.0,Delivery Driver,Flexible Schedule and Easy Cash Out,"Hard to cancel orders when restaurant is closed
Difficult to reach management through app"
